feature,family,construct,source,real_time_status,claim_role,correlation_scope,adjustment,n,subjects,spearman_rho,spearman_pvalue,spearman_qvalue_bh
kg,workload_dose,external load,rpe_only,known_before_set,control covariate,rpe_only_143_sets,raw,143,6,-0.1930663376703001,0.02087405231647405,0.036799797729849364
kg,workload_dose,external load,rpe_only,known_before_set,control covariate,rpe_only_143_sets,subject_centered,143,6,-0.17465027229986535,0.036956366846587506,0.06467364198152814
kg,workload_dose,external load,rpe_only,known_before_set,control covariate,rpe_only_143_sets,exercise_centered,143,6,-0.048396885326706995,0.5659680119553947,0.6095040128750404
kg,workload_dose,external load,rpe_only,known_before_set,control covariate,rpe_only_143_sets,subject_exercise_centered,143,6,0.1971220275530139,0.018287241093123234,0.060372303518431536
n_reps,workload_dose,set volume,rpe_only,known_after_set_or_planned,control covariate,rpe_only_143_sets,raw,143,6,-0.292661641766913,0.00038965230877245014,0.0013637830807035755
n_reps,workload_dose,set volume,rpe_only,known_after_set_or_planned,control covariate,rpe_only_143_sets,subject_centered,143,6,-0.255238745718126,0.0020941323090269953,0.0058635704652755865
n_reps,workload_dose,set volume,rpe_only,known_after_set_or_planned,control covariate,rpe_only_143_sets,exercise_centered,143,6,-0.15013707693924896,0.07348929486581382,0.1714750213535656
n_reps,workload_dose,set volume,rpe_only,known_after_set_or_planned,control covariate,rpe_only_143_sets,subject_exercise_centered,143,6,-0.06344483982528945,0.4515760843106789,0.7024516867055005
total_tut_sec,workload_dose,time under tension dose,rpe_only,post_set_summary,dose evidence,rpe_only_143_sets,raw,143,6,-0.003338860076654139,0.9684306480106444,0.9684306480106445
total_tut_sec,workload_dose,time under tension dose,rpe_only,post_set_summary,dose evidence,rpe_only_143_sets,subject_centered,143,6,-0.04523236604765765,0.5916629006503156,0.6902733840920349
total_tut_sec,workload_dose,time under tension dose,rpe_only,post_set_summary,dose evidence,rpe_only_143_sets,exercise_centered,143,6,0.016330066658185486,0.8465061617706401,0.8465061617706401
total_tut_sec,workload_dose,time under tension dose,rpe_only,post_set_summary,dose evidence,rpe_only_143_sets,subject_exercise_centered,143,6,-0.2734222772852225,0.0009526374158533876,0.004445641273982476
cumulative_tut_exercise_sec,cumulative_dose,cumulative TUT within the same subject and exercise up to the current set,rpe_only,known_after_current_set,cumulative dose evidence,rpe_only_143_sets,raw,143,6,0.4986533399567895,2.3264350330566053e-10,3.2570090462792475e-09
cumulative_tut_exercise_sec,cumulative_dose,cumulative TUT within the same subject and exercise up to the current set,rpe_only,known_after_current_set,cumulative dose evidence,rpe_only_143_sets,subject_centered,143,6,0.5395252573993283,3.582778454973911e-12,5.015889836963476e-11
cumulative_tut_exercise_sec,cumulative_dose,cumulative TUT within the same subject and exercise up to the current set,rpe_only,known_after_current_set,cumulative dose evidence,rpe_only_143_sets,exercise_centered,143,6,0.5888686140877234,1.0311768076050839e-14,1.4436475306471174e-13
cumulative_tut_exercise_sec,cumulative_dose,cumulative TUT within the same subject and exercise up to the current set,rpe_only,known_after_current_set,cumulative dose evidence,rpe_only_143_sets,subject_exercise_centered,143,6,0.7790967744482591,2.179410402615778e-30,1.5255872818310445e-29
set_index_numeric,set_order_diagnostic,experimental order / accumulated exposure proxy,rpe_only,protocol_context,diagnostic proxy only,rpe_only_143_sets,raw,143,6,0.4396565277174376,3.934199092595267e-08,2.753939364816687e-07
set_index_numeric,set_order_diagnostic,experimental order / accumulated exposure proxy,rpe_only,protocol_context,diagnostic proxy only,rpe_only_143_sets,subject_centered,143,6,0.4981893021457373,2.431749773839692e-10,1.7022248416877843e-09
set_index_numeric,set_order_diagnostic,experimental order / accumulated exposure proxy,rpe_only,protocol_context,diagnostic proxy only,rpe_only_143_sets,exercise_centered,143,6,0.5016539478646443,1.7444512878800878e-10,1.2211159015160615e-09
set_index_numeric,set_order_diagnostic,experimental order / accumulated exposure proxy,rpe_only,protocol_context,diagnostic proxy only,rpe_only_143_sets,subject_exercise_centered,143,6,0.7996769786028746,4.843868569694262e-33,6.781415997571967e-32
rep_duration_cv,lowdim_set_trend,within-set repetition duration variability,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,raw,143,6,-0.07315662240061654,0.38522344522963203,0.4148560179396037
rep_duration_cv,lowdim_set_trend,within-set repetition duration variability,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,subject_centered,143,6,0.1623851780411879,0.052661991342263494,0.08191865319907654
rep_duration_cv,lowdim_set_trend,within-set repetition duration variability,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,exercise_centered,143,6,-0.13230682466706775,0.11520876454218963,0.23041752908437926
rep_duration_cv,lowdim_set_trend,within-set repetition duration variability,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,subject_exercise_centered,143,6,-0.05450376407787077,0.5179357138679495,0.7251099994151293
movement_rate_cv,lowdim_set_trend,within-set movement rate variability,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,raw,143,6,-0.15040496044734641,0.07297129664010718,0.09654503048941518
movement_rate_cv,lowdim_set_trend,within-set movement rate variability,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,subject_centered,143,6,0.03157386847006473,0.7081453206740758,0.7626180376490047
