feature,family,construct,source,real_time_status,claim_role,correlation_scope,subjects,n_exercise_centered,n_raw,n_subject_centered,n_subject_exercise_centered,spearman_pvalue_exercise_centered,spearman_pvalue_raw,spearman_pvalue_subject_centered,spearman_pvalue_subject_exercise_centered,spearman_qvalue_bh_exercise_centered,spearman_qvalue_bh_raw,spearman_qvalue_bh_subject_centered,spearman_qvalue_bh_subject_exercise_centered,spearman_rho_exercise_centered,spearman_rho_raw,spearman_rho_subject_centered,spearman_rho_subject_exercise_centered,model_evidence_dataset,model_evidence_lag_sec,model_evidence_comparison,model_evidence_type,model_mae_reduction,model_spearman_gain,model_pm1_acc_gain,model_interpretation,claim_strength
cumulative_tut_exercise_sec,cumulative_dose,cumulative TUT within the same subject and exercise up to the current set,rpe_only,known_after_current_set,cumulative dose evidence,rpe_only_143_sets,6,143,143,143,143,1.0311768076050839e-14,2.3264350330566053e-10,3.582778454973911e-12,2.179410402615778e-30,1.4436475306471174e-13,3.2570090462792475e-09,5.015889836963476e-11,1.5255872818310445e-29,0.5888686140877234,0.4986533399567895,0.5395252573993283,0.7790967744482591,,,,,,,,,feature-level association evidence
vo2_mean,delayed_vo2_45s,mean VO2 in delayed post-set window,vo2_lag45,delayed_45s_physiology,delayed physiological evidence,vo2_overlap_lag45_96_sets,4,96,96,96,96,0.40997215429034295,0.10065831864065775,0.9187267707256322,0.06963188960904314,0.5217827418240728,0.11743470508076737,0.9187267707256322,0.1624744090877673,-0.08505493678324201,-0.16855914278455777,0.01055211568996149,0.18598813572383255,rpe_vo2_lowdim_96_sets,45.0,C_minus_B_vo2_gain,random_forest,0.0906296651843527,0.1087092884759823,0.0520833333333333,45 s delayed VO2 gives the clearest additional gain after low-dimensional IMU trend.,promising delayed auxiliary evidence
vo2_peak,delayed_vo2_45s,peak VO2 in delayed post-set window,vo2_lag45,delayed_45s_physiology,delayed physiological evidence,vo2_overlap_lag45_96_sets,4,96,96,96,96,0.13571115085605395,0.07585680967025478,0.24256041920296056,0.7820533694797043,0.2374945139980944,0.09654503048941518,0.308713260803768,0.8422113209781431,-0.15337857230892268,-0.18205301302555485,-0.1204136640043209,-0.028603792597689633,rpe_vo2_lowdim_96_sets,45.0,C_minus_B_vo2_gain,random_forest,0.0906296651843527,0.1087092884759823,0.0520833333333333,45 s delayed VO2 gives the clearest additional gain after low-dimensional IMU trend.,promising delayed auxiliary evidence
vo2_slope,delayed_vo2_45s,VO2 slope in delayed post-set window,vo2_lag45,delayed_45s_physiology,delayed physiological evidence,vo2_overlap_lag45_96_sets,4,96,96,96,96,0.031812279158235854,0.0002683207629031439,0.007640521335823769,0.6458118562309223,0.09253139649140316,0.0012521635602146715,0.015281042671647538,0.7534471656027426,0.21930105474403944,0.36385793608956896,0.2706992104386702,0.047502283107186245,rpe_vo2_lowdim_96_sets,45.0,C_minus_B_vo2_gain,random_forest,0.0906296651843527,0.1087092884759823,0.0520833333333333,45 s delayed VO2 gives the clearest additional gain after low-dimensional IMU trend.,promising delayed auxiliary evidence
gyro_diff_gain_last2_vs_first2,lowdim_set_trend,late-vs-early gyroscope change,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,6,143,143,143,143,0.17278678134021583,0.01911141038013813,8.426515655466402e-05,0.11622407818333502,0.26877943764033574,0.036799797729849364,0.0003932373972550987,0.23244815636667004,0.11463509551167604,0.1957787919012138,0.3227918530021655,0.13194175058754157,rpe_vo2_lowdim_96_sets,45.0,B_minus_A_lowdim_imu_gain,random_forest,0.2270621622301318,0.3483821886866761,0.1041666666666666,Low-dimensional IMU trend improves the workload/dose model on the VO2-overlap subset.,promising group-level IMU evidence
gyro_mag_diff_rms_slope,lowdim_set_trend,gyroscope difference trend across reps,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,6,143,143,143,143,0.5013952801719723,0.021028455845628208,0.0030154492740392244,0.2559575611277538,0.5849611602006344,0.036799797729849364,0.007036048306091523,0.44792573197356916,0.056672399173720474,0.1928382623084412,0.24636986019366752,0.0956182557992007,rpe_vo2_lowdim_96_sets,45.0,B_minus_A_lowdim_imu_gain,random_forest,0.2270621622301318,0.3483821886866761,0.1041666666666666,Low-dimensional IMU trend improves the workload/dose model on the VO2-overlap subset.,promising group-level IMU evidence
movement_rate_cv,lowdim_set_trend,within-set movement rate variability,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,6,143,143,143,143,0.033046927318358274,0.07297129664010718,0.7081453206740758,0.575740853786689,0.09253139649140316,0.09654503048941518,0.7626180376490047,0.7327610866376042,-0.17837947372886334,-0.15040496044734641,0.03157386847006473,0.047185557422497394,rpe_vo2_lowdim_96_sets,45.0,B_minus_A_lowdim_imu_gain,random_forest,0.2270621622301318,0.3483821886866761,0.1041666666666666,Low-dimensional IMU trend improves the workload/dose model on the VO2-overlap subset.,promising group-level IMU evidence
pca_diff_rms_mean,lowdim_set_trend,mean waveform difference magnitude,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,6,143,143,143,143,0.0016947130260893612,0.0005313849589315294,0.0007894958469526034,0.021561536970868406,0.007908660788417019,0.0014878778850082825,0.002763235464334112,0.060372303518431536,-0.26024965064490724,-0.2861385551605403,-0.2775800785648773,-0.19206176493608554,rpe_vo2_lowdim_96_sets,45.0,B_minus_A_lowdim_imu_gain,random_forest,0.2270621622301318,0.3483821886866761,0.1041666666666666,Low-dimensional IMU trend improves the workload/dose model on the VO2-overlap subset.,promising group-level IMU evidence
rep_duration_cv,lowdim_set_trend,within-set repetition duration variability,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,6,143,143,143,143,0.11520876454218963,0.38522344522963203,0.052661991342263494,0.5179357138679495,0.23041752908437926,0.4148560179396037,0.08191865319907654,0.7251099994151293,-0.13230682466706775,-0.07315662240061654,0.1623851780411879,-0.05450376407787077,rpe_vo2_lowdim_96_sets,45.0,B_minus_A_lowdim_imu_gain,random_forest,0.2270621622301318,0.3483821886866761,0.1041666666666666,Low-dimensional IMU trend improves the workload/dose model on the VO2-overlap subset.,promising group-level IMU evidence
sim_to_first_slope,lowdim_set_trend,trend in similarity to first repetition,rpe_only,post_set_summary,IMU trend evidence,rpe_only_143_sets,6,143,143,143,143,0.2085928960005647,0.05849583262720475,0.06987599024249669,0.939700367671505,0.29203005440079055,0.09099351742009627,0.09782638633949536,0.939700367671505,-0.10578587594740768,-0.15860299011343792,-0.15203861364665083,-0.006381821945532292,rpe_vo2_lowdim_96_sets,45.0,B_minus_A_lowdim_imu_gain,random_forest,0.2270621622301318,0.3483821886866761,0.1041666666666666,Low-dimensional IMU trend improves the workload/dose model on the VO2-overlap subset.,promising group-level IMU evidence
set_index_numeric,set_order_diagnostic,experimental order / accumulated exposure proxy,rpe_only,protocol_context,diagnostic proxy only,rpe_only_143_sets,6,143,143,143,143,1.7444512878800878e-10,3.934199092595267e-08,2.431749773839692e-10,4.843868569694262e-33,1.2211159015160615e-09,2.753939364816687e-07,1.7022248416877843e-09,6.781415997571967e-32,0.5016539478646443,0.4396565277174376,0.4981893021457373,0.7996769786028746,rpe_lowdim_143_sets,,order_diagnostic_gain,random_forest,0.2878493403934834,0.3889433784822188,0.1258741258741259,"Set order improves the workload model, but this is a protocol/progression proxy.","strong diagnostic proxy, not a physiological or IMU claim"
kg,workload_dose,external load,rpe_only,known_before_set,control covariate,rpe_only_143_sets,6,143,143,143,143,0.5659680119553947,0.02087405231647405,0.036956366846587506,0.018287241093123234,0.6095040128750404,0.036799797729849364,0.06467364198152814,0.060372303518431536,-0.048396885326706995,-0.1930663376703001,-0.17465027229986535,0.1971220275530139,rpe_lowdim_143_sets,,included_as_Model_A_controls,ridge/random_forest,,,,"kg, n_reps, and total_tut_sec define the workload/dose control baseline.","control/dose evidence, not sufficient alone"
n_reps,workload_dose,set volume,rpe_only,known_after_set_or_planned,control covariate,rpe_only_143_sets,6,143,143,143,143,0.07348929486581382,0.00038965230877245014,0.0020941323090269953,0.4515760843106789,0.1714750213535656,0.0013637830807035755,0.0058635704652755865,0.7024516867055005,-0.15013707693924896,-0.292661641766913,-0.255238745718126,-0.06344483982528945,rpe_lowdim_143_sets,,included_as_Model_A_controls,ridge/random_forest,,,,"kg, n_reps, and total_tut_sec define the workload/dose control baseline.","control/dose evidence, not sufficient alone"
total_tut_sec,workload_dose,time under tension dose,rpe_only,post_set_summary,dose evidence,rpe_only_143_sets,6,143,143,143,143,0.8465061617706401,0.9684306480106444,0.5916629006503156,0.0009526374158533876,0.8465061617706401,0.9684306480106445,0.6902733840920349,0.004445641273982476,0.016330066658185486,-0.003338860076654139,-0.04523236604765765,-0.2734222772852225,rpe_lowdim_143_sets,,included_as_Model_A_controls,ridge/random_forest,,,,"kg, n_reps, and total_tut_sec define the workload/dose control baseline.","control/dose evidence, not sufficient alone"
