dataset,model_stage,fold,val_subject,n_features,added_feature_coef,n,mae,rmse,r2,spearman,rounded_exact_acc,rounded_pm1_acc
rpe_only_143_sets,M0_exercise_mean,1,haoyu0512workout,0,,24,1.4625000000000004,1.7200209947039082,-1.9791608391608388,0.4277602959934155,0.3333333333333333,0.5416666666666666
rpe_only_143_sets,M0_exercise_mean,2,hsianshun0514workout,0,,23,1.2463768115942029,1.5681614823680017,0.37033881897386267,0.664207080209077,0.17391304347826086,0.6521739130434783
rpe_only_143_sets,M0_exercise_mean,3,tsenyu0515workout,0,,24,1.6031746031746035,2.039980214211995,-0.0875839845920221,0.5184194063072334,0.25,0.5833333333333334
rpe_only_143_sets,M0_exercise_mean,4,yanz0510workout,0,,24,1.307936507936508,1.491593982191451,-0.11339279065231667,0.2992256351927236,0.20833333333333334,0.5416666666666666
rpe_only_143_sets,M0_exercise_mean,5,yoru0511workout,0,,24,1.3583333333333334,1.7241745206845445,-0.38987012987013014,0.5084340675271551,0.25,0.625
rpe_only_143_sets,M0_exercise_mean,6,yushuan0513workout,0,,24,1.2674603174603174,1.5855069219484617,-0.18394713568174637,0.2984817122455866,0.25,0.75
rpe_only_143_sets,M1_exercise_plus_set_index,1,haoyu0512workout,9,,24,1.6331795441551906,1.8637614033679468,-2.4978975237098213,0.5618994673025994,0.08333333333333333,0.5416666666666666
rpe_only_143_sets,M1_exercise_plus_set_index,2,hsianshun0514workout,9,,23,0.9071094562596419,1.1663363954888897,0.6516843316762699,0.8997144913848533,0.34782608695652173,0.782608695652174
rpe_only_143_sets,M1_exercise_plus_set_index,3,tsenyu0515workout,9,,24,1.428016095987629,1.757762269358481,0.1925211249300185,0.6924401247324645,0.20833333333333334,0.5416666666666666
rpe_only_143_sets,M1_exercise_plus_set_index,4,yanz0510workout,9,,24,0.9460229766149774,1.1301321434753948,0.3608458478292065,0.6826595252832514,0.25,0.8333333333333334
rpe_only_143_sets,M1_exercise_plus_set_index,5,yoru0511workout,9,,24,1.4462236736797898,1.7542623840235736,-0.4388014861299039,0.6509771661334762,0.125,0.5416666666666666
rpe_only_143_sets,M1_exercise_plus_set_index,6,yushuan0513workout,9,,24,1.0864040422731784,1.5582785230465086,-0.14363173041986332,0.5312126393368164,0.2916666666666667,0.7916666666666666
rpe_only_143_sets,M2_exercise_plus_cumulative_tut,1,haoyu0512workout,9,,24,1.176444198004681,1.4076098063335782,-0.9952210687527923,0.6014927695353116,0.16666666666666666,0.6666666666666666
rpe_only_143_sets,M2_exercise_plus_cumulative_tut,2,hsianshun0514workout,9,,23,1.0649566793812268,1.2470373567312036,0.601815562708139,0.8490051366806846,0.30434782608695654,0.6956521739130435
rpe_only_143_sets,M2_exercise_plus_cumulative_tut,3,tsenyu0515workout,9,,24,1.9552200827627004,2.171349877743624,-0.2321696587788098,0.8515559013259845,0.0,0.375
rpe_only_143_sets,M2_exercise_plus_cumulative_tut,4,yanz0510workout,9,,24,1.1517252846201338,1.297970321116234,0.15690466916491586,0.7213006304879637,0.041666666666666664,0.7083333333333334
rpe_only_143_sets,M2_exercise_plus_cumulative_tut,5,yoru0511workout,9,,24,0.9870266764060781,1.2349698266403673,0.28694263613458426,0.7628777431223138,0.3333333333333333,0.75
rpe_only_143_sets,M2_exercise_plus_cumulative_tut,6,yushuan0513workout,9,,24,0.9818179710573954,1.4594462018172967,-0.0031646217623759743,0.5188073400028457,0.375,0.7916666666666666
rpe_only_143_sets,M3_progression_control,1,haoyu0512workout,10,,24,1.4302986256253245,1.6505718893069374,-1.7434392230413938,0.6248148516723885,0.16666666666666666,0.6666666666666666
rpe_only_143_sets,M3_progression_control,2,hsianshun0514workout,10,,23,0.9662114492493898,1.1624087014756346,0.6540263212382105,0.8695901222536639,0.30434782608695654,0.782608695652174
rpe_only_143_sets,M3_progression_control,3,tsenyu0515workout,10,,24,1.9242896827094114,2.141193704253508,-0.198182048993502,0.8471482620851668,0.0,0.3333333333333333
rpe_only_143_sets,M3_progression_control,4,yanz0510workout,10,,24,1.0508312563796511,1.2038177733887638,0.27478185459655224,0.7403991077730515,0.08333333333333333,0.8333333333333334
rpe_only_143_sets,M3_progression_control,5,yoru0511workout,10,,24,1.2212215614510478,1.4802049282959442,-0.024366735987761734,0.6993786061802353,0.2916666666666667,0.6666666666666666
rpe_only_143_sets,M3_progression_control,6,yushuan0513workout,10,,24,1.0048704400228283,1.509874038512367,-0.07368642404907555,0.5117185975262911,0.4583333333333333,0.7916666666666666
rpe_only_143_sets,M4_add_one__kg,1,haoyu0512workout,11,-0.220312897334639,24,1.474009020951133,1.6933210755024084,-1.8873875672912668,0.5987808995193724,0.125,0.6666666666666666
rpe_only_143_sets,M4_add_one__kg,2,hsianshun0514workout,11,-0.23095496255222028,23,1.0371023781919069,1.2256576592509507,0.6153517845726066,0.8555320833257756,0.21739130434782608,0.6956521739130435
rpe_only_143_sets,M4_add_one__kg,3,tsenyu0515workout,11,-0.15679414510498535,24,1.9041927102730132,2.1350705816918363,-0.19133901994201796,0.8334845804386318,0.0,0.375
rpe_only_143_sets,M4_add_one__kg,4,yanz0510workout,11,-0.15990281437512993,24,1.0431977871852753,1.2079980940952562,0.2697363929499944,0.7506145723674007,0.08333333333333333,0.8333333333333334
rpe_only_143_sets,M4_add_one__kg,5,yoru0511workout,11,-0.1684811384690575,24,1.2248408067739405,1.4981433950421992,-0.049345594232576895,0.7135882032581828,0.25,0.6666666666666666
rpe_only_143_sets,M4_add_one__kg,6,yushuan0513workout,11,0.3655481940244671,24,1.4577587526878115,1.9553263152142926,-0.8006716070371496,0.5405166138372944,0.20833333333333334,0.625
rpe_only_143_sets,M4_add_one__n_reps,1,haoyu0512workout,11,-0.13921752825715777,24,1.4430636823785736,1.6663689356393312,-1.7962035095914755,0.6248148516723885,0.125,0.6666666666666666
rpe_only_143_sets,M4_add_one__n_reps,2,hsianshun0514workout,11,-0.07656225070632729,23,0.9569385786736394,1.1489829787439012,0.6619721019363712,0.8796315786307272,0.30434782608695654,0.8260869565217391
rpe_only_143_sets,M4_add_one__n_reps,3,tsenyu0515workout,11,-0.21914661898024138,24,1.9334282544173842,2.207786757880581,-0.27387009261577133,0.8383329836035314,0.0,0.375
rpe_only_143_sets,M4_add_one__n_reps,4,yanz0510workout,11,0.006419260577476351,24,1.0538450468805285,1.2081695026608716,0.26952913712940474,0.7368459026967561,0.08333333333333333,0.8333333333333334
rpe_only_143_sets,M4_add_one__n_reps,5,yoru0511workout,11,-0.09973016481909608,24,1.2015444796594401,1.4675437744669282,-0.006917536092973853,0.6838368593762301,0.2916666666666667,0.6666666666666666
rpe_only_143_sets,M4_add_one__n_reps,6,yushuan0513workout,11,-0.03014757472471759,24,0.9993524952697949,1.5005449534332425,-0.06045940358937685,0.5298835001224624,0.4166666666666667,0.7916666666666666
rpe_only_143_sets,M4_add_one__total_tut_sec,1,haoyu0512workout,11,-0.294588272701535,24,1.451908440986277,1.7165497658797115,-1.967148295236389,0.6139673716086318,0.16666666666666666,0.5833333333333334
rpe_only_143_sets,M4_add_one__total_tut_sec,2,hsianshun0514workout,11,-0.22289242354157474,23,0.9855362619365089,1.1966542200100658,0.6333406972508622,0.8610548843331604,0.43478260869565216,0.6521739130434783
rpe_only_143_sets,M4_add_one__total_tut_sec,3,tsenyu0515workout,11,0.18097034923661143,24,2.061864699103808,2.2726913374917292,-0.34986956775577527,0.8370106918312858,0.0,0.3333333333333333
rpe_only_143_sets,M4_add_one__total_tut_sec,4,yanz0510workout,11,-0.07061695210493853,24,1.045237407855791,1.189785712650833,0.29159003978439846,0.7324043963513868,0.08333333333333333,0.7916666666666666
rpe_only_143_sets,M4_add_one__total_tut_sec,5,yoru0511workout,11,-0.27294589322442214,24,1.2937714249254373,1.5198664472235626,-0.07999720293837798,0.7553288946746541,0.20833333333333334,0.625
rpe_only_143_sets,M4_add_one__total_tut_sec,6,yushuan0513workout,11,-0.05841417505718658,24,0.9961529127552388,1.49781061371315,-0.05659812060655378,0.5152629687645683,0.4166666666666667,0.7916666666666666
rpe_only_143_sets,M4_add_one__rep_duration_cv,1,haoyu0512workout,11,-0.19320927635066348,24,1.4701632670378093,1.7646056843095128,-2.1356082785876356,0.5906452894715548,0.16666666666666666,0.5833333333333334
rpe_only_143_sets,M4_add_one__rep_duration_cv,2,hsianshun0514workout,11,-0.13154365787441602,23,0.9967158916116222,1.2099782242273367,0.6251301919931291,0.8615569571520134,0.34782608695652173,0.6956521739130435
rpe_only_143_sets,M4_add_one__rep_duration_cv,3,tsenyu0515workout,11,-0.12910344250582867,24,1.9433863128878397,2.156243293326815,-0.21508431971402797,0.8427406228443489,0.0,0.3333333333333333
rpe_only_143_sets,M4_add_one__rep_duration_cv,4,yanz0510workout,11,-0.03820495148720642,24,1.037859764102498,1.1937634001131414,0.28684541447522116,0.7457289153874945,0.125,0.8333333333333334
rpe_only_143_sets,M4_add_one__rep_duration_cv,5,yoru0511workout,11,0.17481782698085765,24,1.4485733949880852,1.6911828253852264,-0.33718930596891505,0.6705153621156541,0.125,0.5416666666666666
rpe_only_143_sets,M4_add_one__rep_duration_cv,6,yushuan0513workout,11,-0.030058488446389975,24,0.998319841490885,1.5045466908185152,-0.06612313085469856,0.502414623025813,0.4583333333333333,0.7916666666666666
