dataset,model_stage,model_type,subjects,n_features,added_feature,added_feature_family,added_feature_coef_mean,added_feature_coef_median,n,mae,rmse,r2,spearman,rounded_exact_acc,rounded_pm1_acc,claim_role
rpe_only_143_sets,M0_exercise_mean,exercise_mean,6,0,,,,,143,1.375191475191475,1.698446221152774,0.07067820265670044,0.2703929309831791,0.24475524475524477,0.6153846153846154,
rpe_only_143_sets,M1_exercise_plus_set_index,ridge,6,9,,,,,143,1.2434953110421687,1.5680299852456514,0.20791598257391442,0.49397560387410233,0.21678321678321677,0.6713286713286714,
rpe_only_143_sets,M2_exercise_plus_cumulative_tut,ridge,6,9,,,,,143,1.220612760378965,1.5067007005051163,0.26866475484502095,0.5770945736964739,0.20279720279720279,0.6643356643356644,
rpe_only_143_sets,M3_progression_control,ridge,6,10,,,,,143,1.2683856008479317,1.5612741302455766,0.2147266647556525,0.5349407264207916,0.21678321678321677,0.6783216783216783,
rpe_only_143_sets,M4_add_one__kg,ridge,6,11,kg,workload_dose,-0.09514962730192748,-0.1641919764220937,143,1.3590862417295249,1.6586708057111654,0.11369556014395732,0.4956231346388473,0.14685314685314685,0.6433566433566433,load control
rpe_only_143_sets,M4_add_one__n_reps,ridge,6,11,n_reps,workload_dose,-0.0930641461516773,-0.08814620776271168,143,1.2668475686435736,1.5750461264008644,0.20081177341612988,0.53792922209912,0.20279720279720279,0.6923076923076923,volume control
rpe_only_143_sets,M4_add_one__total_tut_sec,ridge,6,11,total_tut_sec,workload_dose,-0.12308122789884092,-0.14675468782325662,143,1.3079844145424961,1.610438248587888,0.16449187649543673,0.5083612585769004,0.21678321678321677,0.6293706293706294,single-set TUT
rpe_only_143_sets,M4_add_one__rep_duration_cv,ridge,6,11,rep_duration_cv,lowdim_set_trend,-0.05788366494727449,-0.08365419699651755,143,1.3180680240506162,1.6240376950964681,0.1503212946744864,0.5028159619902463,0.20279720279720279,0.6293706293706294,IMU trend
rpe_only_143_sets,M4_add_one__movement_rate_cv,ridge,6,11,movement_rate_cv,lowdim_set_trend,-0.20317119240517398,-0.21135597001420425,143,1.2321009289319855,1.547728156237519,0.22829397645902594,0.5349720086505019,0.24475524475524477,0.6923076923076923,IMU trend
rpe_only_143_sets,M4_add_one__gyro_diff_gain_last2_vs_first2,ridge,6,11,gyro_diff_gain_last2_vs_first2,lowdim_set_trend,0.01446093796867877,0.033448623544581876,143,1.2736437983145918,1.5717950055219774,0.2041076463409791,0.528880315784907,0.2097902097902098,0.6643356643356644,IMU trend
rpe_only_143_sets,M4_add_one__gyro_mag_diff_rms_slope,ridge,6,11,gyro_mag_diff_rms_slope,lowdim_set_trend,-0.05583554770914325,-0.012283788855928944,143,1.2879334704986023,1.5859250665958797,0.18973356195393865,0.5184216236517478,0.1958041958041958,0.6643356643356644,IMU trend
rpe_only_143_sets,M4_add_one__sim_to_first_slope,ridge,6,11,sim_to_first_slope,lowdim_set_trend,-0.17309390851291087,-0.15952608042984068,143,1.2543499528926572,1.551187975112773,0.22483994960432774,0.5362629219965489,0.2097902097902098,0.6573426573426573,IMU trend
rpe_only_143_sets,M4_add_one__pca_diff_rms_mean,ridge,6,11,pca_diff_rms_mean,lowdim_set_trend,-0.2442629726041101,-0.24120913557436047,143,1.2720287873987777,1.5443590652939214,0.23165001541783148,0.5455745990403287,0.2097902097902098,0.6643356643356644,IMU trend
vo2_lag45_96_sets,M0_exercise_mean,exercise_mean,4,0,,,,,96,1.3726851851851851,1.6827923589845513,-0.16925527678215868,0.092940368135197,0.22916666666666666,0.6041666666666666,
vo2_lag45_96_sets,M1_exercise_plus_set_index,ridge,4,9,,,,,96,1.3051087405307333,1.6508820297373024,-0.12533119013555827,0.24548513660450616,0.25,0.6666666666666666,
vo2_lag45_96_sets,M2_exercise_plus_cumulative_tut,ridge,4,9,,,,,96,1.0579337213397988,1.3859140498654061,0.206912927539889,0.5381345983280974,0.3541666666666667,0.7291666666666666,
vo2_lag45_96_sets,M3_progression_control,ridge,4,10,,,,,96,1.1187385563712002,1.450595248748862,0.13115805906879052,0.47931987208591537,0.3020833333333333,0.7083333333333334,
vo2_lag45_96_sets,M4_add_one__kg,ridge,4,11,kg,workload_dose,-0.044568081871626225,-0.05851287959757324,96,1.1939533545006875,1.5270076037871296,0.037211985745048026,0.41746228615863085,0.2604166666666667,0.6875,load control
vo2_lag45_96_sets,M4_add_one__n_reps,ridge,4,11,n_reps,workload_dose,-0.20815407288401871,-0.23134888116309282,96,1.083439367760133,1.4159076717436163,0.17221386945964268,0.5071015978409928,0.3229166666666667,0.7395833333333334,volume control
