dataset,baseline_stage,candidate_stage,added_feature,family,claim_role,baseline_mae,candidate_mae,delta_mae_reduction,baseline_spearman,candidate_spearman,delta_spearman,baseline_pm1_acc,candidate_pm1_acc,delta_pm1_acc,best_progression_stage,best_progression_mae,delta_mae_vs_best_progression,best_progression_spearman,delta_spearman_vs_best_progression,best_progression_pm1_acc,delta_pm1_acc_vs_best_progression,added_feature_coef_mean,added_feature_coef_median,n,subjects,evidence_label,strict_evidence_label
rpe_only_143_sets,M3_progression_control,M4_add_one__movement_rate_cv,movement_rate_cv,lowdim_set_trend,IMU trend,1.2683856008479317,1.2321009289319855,0.0362846719159462,0.5349407264207916,0.5349720086505019,3.128222971027217e-05,0.6783216783216783,0.6923076923076923,0.013986013986013957,M2_exercise_plus_cumulative_tut,1.220612760378965,-0.011488168553020595,0.5770945736964739,-0.042122565045972005,0.6643356643356644,0.027972027972027913,-0.20317119240517398,-0.21135597001420425,143,6,mixed_or_small_after_progression_control,does_not_beat_best_progression_baseline
rpe_only_143_sets,M3_progression_control,M4_add_one__sim_to_first_slope,sim_to_first_slope,lowdim_set_trend,IMU trend,1.2683856008479317,1.2543499528926572,0.014035647955274566,0.5349407264207916,0.5362629219965489,0.0013221955757573012,0.6783216783216783,0.6573426573426573,-0.020979020979021046,M2_exercise_plus_cumulative_tut,1.220612760378965,-0.03373719251369223,0.5770945736964739,-0.040831651699924976,0.6643356643356644,-0.006993006993007089,-0.17309390851291087,-0.15952608042984068,143,6,mixed_or_small_after_progression_control,does_not_beat_best_progression_baseline
rpe_only_143_sets,M3_progression_control,M4_add_one__n_reps,n_reps,workload_dose,volume control,1.2683856008479317,1.2668475686435736,0.0015380322043581085,0.5349407264207916,0.53792922209912,0.0029884956783283734,0.6783216783216783,0.6923076923076923,0.013986013986013957,M2_exercise_plus_cumulative_tut,1.220612760378965,-0.046234808264608684,0.5770945736964739,-0.039165351597353903,0.6643356643356644,0.027972027972027913,-0.0930641461516773,-0.08814620776271168,143,6,mixed_or_small_after_progression_control,does_not_beat_best_progression_baseline
rpe_only_143_sets,M3_progression_control,M4_add_one__pca_diff_rms_mean,pca_diff_rms_mean,lowdim_set_trend,IMU trend,1.2683856008479317,1.2720287873987777,-0.003643186550845945,0.5349407264207916,0.5455745990403287,0.010633872619537077,0.6783216783216783,0.6643356643356644,-0.013986013986013957,M2_exercise_plus_cumulative_tut,1.220612760378965,-0.05141602701981274,0.5770945736964739,-0.0315199746561452,0.6643356643356644,0.0,-0.2442629726041101,-0.24120913557436047,143,6,mixed_or_small_after_progression_control,does_not_beat_best_progression_baseline
rpe_only_143_sets,M3_progression_control,M4_add_one__gyro_diff_gain_last2_vs_first2,gyro_diff_gain_last2_vs_first2,lowdim_set_trend,IMU trend,1.2683856008479317,1.2736437983145918,-0.0052581974666601194,0.5349407264207916,0.528880315784907,-0.006060410635884583,0.6783216783216783,0.6643356643356644,-0.013986013986013957,M2_exercise_plus_cumulative_tut,1.220612760378965,-0.05303103793562691,0.5770945736964739,-0.04821425791156686,0.6643356643356644,0.0,0.01446093796867877,0.033448623544581876,143,6,no_incremental_gain_after_progression_control,does_not_beat_best_progression_baseline
rpe_only_143_sets,M3_progression_control,M4_add_one__gyro_mag_diff_rms_slope,gyro_mag_diff_rms_slope,lowdim_set_trend,IMU trend,1.2683856008479317,1.2879334704986023,-0.01954786965067057,0.5349407264207916,0.5184216236517478,-0.01651910276904378,0.6783216783216783,0.6643356643356644,-0.013986013986013957,M2_exercise_plus_cumulative_tut,1.220612760378965,-0.06732071011963736,0.5770945736964739,-0.05867295004472606,0.6643356643356644,0.0,-0.05583554770914325,-0.012283788855928944,143,6,no_incremental_gain_after_progression_control,does_not_beat_best_progression_baseline
rpe_only_143_sets,M3_progression_control,M4_add_one__total_tut_sec,total_tut_sec,workload_dose,single-set TUT,1.2683856008479317,1.3079844145424961,-0.039598813694564416,0.5349407264207916,0.5083612585769004,-0.026579467843891202,0.6783216783216783,0.6293706293706294,-0.04895104895104896,M2_exercise_plus_cumulative_tut,1.220612760378965,-0.08737165416353121,0.5770945736964739,-0.06873331511957348,0.6643356643356644,-0.034965034965035,-0.12308122789884092,-0.14675468782325662,143,6,no_incremental_gain_after_progression_control,does_not_beat_best_progression_baseline
rpe_only_143_sets,M3_progression_control,M4_add_one__rep_duration_cv,rep_duration_cv,lowdim_set_trend,IMU trend,1.2683856008479317,1.3180680240506162,-0.049682423202684456,0.5349407264207916,0.5028159619902463,-0.03212476443054535,0.6783216783216783,0.6293706293706294,-0.04895104895104896,M2_exercise_plus_cumulative_tut,1.220612760378965,-0.09745526367165125,0.5770945736964739,-0.07427861170622763,0.6643356643356644,-0.034965034965035,-0.05788366494727449,-0.08365419699651755,143,6,no_incremental_gain_after_progression_control,does_not_beat_best_progression_baseline
rpe_only_143_sets,M3_progression_control,M4_add_one__kg,kg,workload_dose,load control,1.2683856008479317,1.3590862417295249,-0.09070064088159313,0.5349407264207916,0.4956231346388473,-0.03931759178194433,0.6783216783216783,0.6433566433566433,-0.034965034965035,M2_exercise_plus_cumulative_tut,1.220612760378965,-0.13847348135055992,0.5770945736964739,-0.0814714390576266,0.6643356643356644,-0.020979020979021046,-0.09514962730192748,-0.1641919764220937,143,6,no_incremental_gain_after_progression_control,does_not_beat_best_progression_baseline
vo2_lag45_96_sets,M3_progression_control,M4_add_one__movement_rate_cv,movement_rate_cv,lowdim_set_trend,IMU trend,1.1187385563712002,1.0787720530141025,0.03996650335709773,0.47931987208591537,0.5131664757065049,0.0338466036205895,0.7083333333333334,0.7083333333333334,0.0,M2_exercise_plus_cumulative_tut,1.0579337213397988,-0.02083833167430371,0.5381345983280974,-0.024968122621592537,0.7291666666666666,-0.02083333333333326,-0.3370788874873484,-0.4218587788385655,96,4,mixed_or_small_after_progression_control,does_not_beat_best_progression_baseline
vo2_lag45_96_sets,M3_progression_control,M4_add_one__n_reps,n_reps,workload_dose,volume control,1.1187385563712002,1.083439367760133,0.03529918861106718,0.47931987208591537,0.5071015978409928,0.02778172575507748,0.7083333333333334,0.7395833333333334,0.03125,M2_exercise_plus_cumulative_tut,1.0579337213397988,-0.02550564642033426,0.5381345983280974,-0.031033000487104556,0.7291666666666666,0.01041666666666674,-0.20815407288401871,-0.23134888116309282,96,4,mixed_or_small_after_progression_control,does_not_beat_best_progression_baseline
vo2_lag45_96_sets,M3_progression_control,M4_add_one__sim_to_first_slope,sim_to_first_slope,lowdim_set_trend,IMU trend,1.1187385563712002,1.0971571672115172,0.021581389159682995,0.47931987208591537,0.506893182794068,0.027573310708152665,0.7083333333333334,0.7395833333333334,0.03125,M2_exercise_plus_cumulative_tut,1.0579337213397988,-0.03922344587171844,0.5381345983280974,-0.03124141553402937,0.7291666666666666,0.01041666666666674,-0.2538137768629311,-0.26246548206823145,96,4,mixed_or_small_after_progression_control,does_not_beat_best_progression_baseline
vo2_lag45_96_sets,M3_progression_control,M4_add_one__pca_diff_rms_mean,pca_diff_rms_mean,lowdim_set_trend,IMU trend,1.1187385563712002,1.1116028546199053,0.007135701751294965,0.47931987208591537,0.47886135898268073,-0.0004585131032346368,0.7083333333333334,0.71875,0.01041666666666663,M2_exercise_plus_cumulative_tut,1.0579337213397988,-0.053669133280106474,0.5381345983280974,-0.05927323934541667,0.7291666666666666,-0.01041666666666663,-0.19078847224145534,-0.16721909135279567,96,4,mixed_or_small_after_progression_control,does_not_beat_best_progression_baseline
vo2_lag45_96_sets,M3_progression_control,M4_add_one__vo2_slope,vo2_slope,delayed_vo2_45s,delayed VO2,1.1187385563712002,1.151568150530073,-0.032829594158872766,0.47931987208591537,0.47220597181754836,-0.007113900268367002,0.7083333333333334,0.7291666666666666,0.02083333333333326,M2_exercise_plus_cumulative_tut,1.0579337213397988,-0.0936344291902742,0.5381345983280974,-0.06592862651054904,0.7291666666666666,0.0,0.19156227049181998,0.15529441832840624,96,4,no_incremental_gain_after_progression_control,does_not_beat_best_progression_baseline
vo2_lag45_96_sets,M3_progression_control,M4_add_one__gyro_diff_gain_last2_vs_first2,gyro_diff_gain_last2_vs_first2,lowdim_set_trend,IMU trend,1.1187385563712002,1.1539645701656502,-0.035226013794450006,0.47931987208591537,0.4805634151992334,0.0012435431133180352,0.7083333333333334,0.6979166666666666,-0.01041666666666674,M2_exercise_plus_cumulative_tut,1.0579337213397988,-0.09603084882585144,0.5381345983280974,-0.057571183128864,0.7291666666666666,-0.03125,0.14422540411665755,0.1347631059816716,96,4,mixed_or_small_after_progression_control,does_not_beat_best_progression_baseline
vo2_lag45_96_sets,M3_progression_control,M4_add_one__vo2_mean,vo2_mean,delayed_vo2_45s,delayed VO2,1.1187385563712002,1.1673527367637195,-0.0486141803925193,0.47931987208591537,0.42688264627963246,-0.052437225806282906,0.7083333333333334,0.6979166666666666,-0.01041666666666674,M2_exercise_plus_cumulative_tut,1.0579337213397988,-0.10941901542392074,0.5381345983280974,-0.11125195204846494,0.7291666666666666,-0.03125,-0.07179616616415979,-0.16192322555017685,96,4,no_incremental_gain_after_progression_control,does_not_beat_best_progression_baseline
vo2_lag45_96_sets,M3_progression_control,M4_add_one__gyro_mag_diff_rms_slope,gyro_mag_diff_rms_slope,lowdim_set_trend,IMU trend,1.1187385563712002,1.169276047333097,-0.05053749096189675,0.47931987208591537,0.45941623510459567,-0.019903636981319694,0.7083333333333334,0.7083333333333334,0.0,M2_exercise_plus_cumulative_tut,1.0579337213397988,-0.11134232599329819,0.5381345983280974,-0.07871836322350173,0.7291666666666666,-0.02083333333333326,0.134359972368394,0.13592682311069237,96,4,no_incremental_gain_after_progression_control,does_not_beat_best_progression_baseline
vo2_lag45_96_sets,M3_progression_control,M4_add_one__vo2_peak,vo2_peak,delayed_vo2_45s,delayed VO2,1.1187385563712002,1.171760414608401,-0.05302185823720085,0.47931987208591537,0.4357333386057061,-0.043586533480209244,0.7083333333333334,0.7083333333333334,0.0,M2_exercise_plus_cumulative_tut,1.0579337213397988,-0.11382669326860229,0.5381345983280974,-0.10240125972239128,0.7291666666666666,-0.02083333333333326,-0.08792044487897689,-0.03631769101953939,96,4,no_incremental_gain_after_progression_control,does_not_beat_best_progression_baseline
vo2_lag45_96_sets,M3_progression_control,M4_add_one__total_tut_sec,total_tut_sec,workload_dose,single-set TUT,1.1187385563712002,1.1816488614056608,-0.0629103050344606,0.47931987208591537,0.4065552320362323,-0.07276464004968308,0.7083333333333334,0.6770833333333334,-0.03125,M2_exercise_plus_cumulative_tut,1.0579337213397988,-0.12371514006586204,0.5381345983280974,-0.13157936629186512,0.7291666666666666,-0.05208333333333326,0.13973858331515948,0.16532538910509084,96,4,no_incremental_gain_after_progression_control,does_not_beat_best_progression_baseline
vo2_lag45_96_sets,M3_progression_control,M4_add_one__rep_duration_cv,rep_duration_cv,lowdim_set_trend,IMU trend,1.1187385563712002,1.184936102985015,-0.06619754661381472,0.47931987208591537,0.46510596588564307,-0.014213906200272297,0.7083333333333334,0.6770833333333334,-0.03125,M2_exercise_plus_cumulative_tut,1.0579337213397988,-0.12700238164521616,0.5381345983280974,-0.07302863244245433,0.7291666666666666,-0.05208333333333326,-0.19946047533864086,-0.242730911910153,96,4,no_incremental_gain_after_progression_control,does_not_beat_best_progression_baseline
vo2_lag45_96_sets,M3_progression_control,M4_add_one__kg,kg,workload_dose,load control,1.1187385563712002,1.1939533545006875,-0.07521479812948728,0.47931987208591537,0.41746228615863085,-0.06185758592728452,0.7083333333333334,0.6875,-0.02083333333333337,M2_exercise_plus_cumulative_tut,1.0579337213397988,-0.13601963316088872,0.5381345983280974,-0.12067231216946656,0.7291666666666666,-0.04166666666666663,-0.044568081871626225,-0.05851287959757324,96,4,no_incremental_gain_after_progression_control,does_not_beat_best_progression_baseline
