dataset,model_stage,fold,val_subject,n_features,n,mae,rmse,r2,spearman,rounded_pm1_acc
rpe_only_143_sets,M0_global_mean,1,haoyu0512workout,0,24,1.5147058823529413,1.6372255486390672,-1.6992523047886379,,0.2916666666666667
rpe_only_143_sets,M0_global_mean,2,hsianshun0514workout,0,23,1.6485507246376812,1.998329616464373,-0.02249126062170581,,0.5217391304347826
rpe_only_143_sets,M0_global_mean,3,tsenyu0515workout,0,24,1.923669467787115,2.246321339500363,-0.3187262734708487,,0.375
rpe_only_143_sets,M0_global_mean,4,yanz0510workout,0,24,1.2510504201680672,1.5160917253023198,-0.15026555416974374,,0.5833333333333334
rpe_only_143_sets,M0_global_mean,5,yoru0511workout,0,24,1.5637254901960784,1.8946412003004305,-0.6782850649809198,,0.4583333333333333
rpe_only_143_sets,M0_global_mean,6,yushuan0513workout,0,24,1.4058123249299719,1.638029579531515,-0.2636869667784385,,0.5416666666666666
rpe_only_143_sets,M1_exercise_mean,1,haoyu0512workout,0,24,1.4625000000000004,1.7200209947039082,-1.9791608391608388,0.4277602959934155,0.5416666666666666
rpe_only_143_sets,M1_exercise_mean,2,hsianshun0514workout,0,23,1.2463768115942029,1.5681614823680017,0.37033881897386267,0.664207080209077,0.6521739130434783
rpe_only_143_sets,M1_exercise_mean,3,tsenyu0515workout,0,24,1.6031746031746035,2.039980214211995,-0.0875839845920221,0.5184194063072334,0.5833333333333334
rpe_only_143_sets,M1_exercise_mean,4,yanz0510workout,0,24,1.307936507936508,1.491593982191451,-0.11339279065231667,0.2992256351927236,0.5416666666666666
rpe_only_143_sets,M1_exercise_mean,5,yoru0511workout,0,24,1.3583333333333334,1.7241745206845445,-0.38987012987013014,0.5084340675271551,0.625
rpe_only_143_sets,M1_exercise_mean,6,yushuan0513workout,0,24,1.2674603174603174,1.5855069219484617,-0.18394713568174637,0.2984817122455866,0.75
rpe_only_143_sets,M2_set_index_no_exercise,1,haoyu0512workout,1,24,1.4968659240733915,1.7088886507048224,-1.9407221017700405,0.4895344243946293,0.5416666666666666
rpe_only_143_sets,M2_set_index_no_exercise,2,hsianshun0514workout,1,23,1.4679877536547647,1.722197448032786,0.24056390006987982,0.6137108814652068,0.5217391304347826
rpe_only_143_sets,M2_set_index_no_exercise,3,tsenyu0515workout,1,24,1.7474245830402928,2.042662062575877,-0.0904454364277496,0.5145029040929373,0.5
rpe_only_143_sets,M2_set_index_no_exercise,4,yanz0510workout,1,24,1.049316741266414,1.2533835609398216,0.21383238741920763,0.5454458995832048,0.7916666666666666
rpe_only_143_sets,M2_set_index_no_exercise,5,yoru0511workout,1,24,1.5808123324265475,1.9401285750930257,-0.7598384410925947,0.48137546911973134,0.5833333333333334
rpe_only_143_sets,M2_set_index_no_exercise,6,yushuan0513workout,1,24,1.2528040268484615,1.528824953229221,-0.10080793529599852,0.5288256534240369,0.625
rpe_only_143_sets,M3_exercise_plus_set_index,1,haoyu0512workout,9,24,1.6331795441551906,1.8637614033679468,-2.4978975237098213,0.5618994673025994,0.5416666666666666
rpe_only_143_sets,M3_exercise_plus_set_index,2,hsianshun0514workout,9,23,0.9071094562596419,1.1663363954888897,0.6516843316762699,0.8997144913848533,0.782608695652174
rpe_only_143_sets,M3_exercise_plus_set_index,3,tsenyu0515workout,9,24,1.428016095987629,1.757762269358481,0.1925211249300185,0.6924401247324645,0.5416666666666666
rpe_only_143_sets,M3_exercise_plus_set_index,4,yanz0510workout,9,24,0.9460229766149774,1.1301321434753948,0.3608458478292065,0.6826595252832514,0.8333333333333334
rpe_only_143_sets,M3_exercise_plus_set_index,5,yoru0511workout,9,24,1.4462236736797898,1.7542623840235736,-0.4388014861299039,0.6509771661334762,0.5416666666666666
rpe_only_143_sets,M3_exercise_plus_set_index,6,yushuan0513workout,9,24,1.0864040422731784,1.5582785230465086,-0.14363173041986332,0.5312126393368164,0.7916666666666666
rpe_only_143_sets,M4_exercise_plus_cumulative_tut,1,haoyu0512workout,9,24,1.176444198004681,1.4076098063335782,-0.9952210687527923,0.6014927695353116,0.6666666666666666
