dataset,model_stage,model_type,module_claim,subjects,n_features,n,mae,rmse,r2,spearman,rounded_pm1_acc
rpe_only_143_sets,M0_global_mean,global_mean,no segmentation / no exercise context,6,0,143,1.5505719770425654,1.8378190279857483,-0.08809799711043431,-0.43830187637152807,0.46153846153846156
rpe_only_143_sets,M1_exercise_mean,exercise_mean,exercise segmentation / recognition context,6,0,143,1.375191475191475,1.698446221152774,0.07067820265670044,0.2703929309831791,0.6153846153846154
rpe_only_143_sets,M2_set_index_no_exercise,ridge,set order without exercise context,6,1,143,1.4322873071173576,1.7190431187714335,0.048001938771313646,0.2994105605761298,0.5944055944055944
rpe_only_143_sets,M3_exercise_plus_set_index,ridge,exercise segmentation + ordinal progression,6,9,143,1.2434953110421687,1.5680299852456514,0.20791598257391442,0.49397560387410233,0.6713286713286714
rpe_only_143_sets,M4_exercise_plus_cumulative_tut,ridge,exercise segmentation + set/rep/TUT segmentation,6,9,143,1.220612760378965,1.5067007005051163,0.26866475484502095,0.5770945736964739,0.6643356643356644
rpe_only_143_sets,M5_plus_lowdim_imu_group,ridge,add IMU set-trend features,6,15,143,1.2095753297642349,1.5086316845201184,0.266788998629517,0.5655889696090085,0.6713286713286714
rpe_vo2_lag45_96_sets,M0_global_mean,global_mean,no segmentation / no exercise context,4,0,96,1.4447337962962965,1.7015164351284842,-0.19542015133412938,-0.4566499093238456,0.5208333333333334
rpe_vo2_lag45_96_sets,M1_exercise_mean,exercise_mean,exercise segmentation / recognition context,4,0,96,1.3726851851851851,1.6827923589845513,-0.16925527678215868,0.092940368135197,0.6041666666666666
rpe_vo2_lag45_96_sets,M2_set_index_no_exercise,ridge,set order without exercise context,4,1,96,1.3482430588586378,1.6392547447961,-0.10953542950669504,0.16223946052051372,0.6354166666666666
rpe_vo2_lag45_96_sets,M3_exercise_plus_set_index,ridge,exercise segmentation + ordinal progression,4,9,96,1.3051087405307333,1.6508820297373024,-0.12533119013555827,0.24548513660450616,0.6666666666666666
rpe_vo2_lag45_96_sets,M4_exercise_plus_cumulative_tut,ridge,exercise segmentation + set/rep/TUT segmentation,4,9,96,1.0579337213397988,1.3859140498654061,0.206912927539889,0.5381345983280974,0.7291666666666666
rpe_vo2_lag45_96_sets,M5_plus_lowdim_imu_group,ridge,add IMU set-trend features,4,15,96,1.11398379939678,1.4438489121440814,0.13922077683627476,0.5364672779526989,0.7083333333333334
rpe_vo2_lag45_96_sets,M6_plus_delayed_vo2,ridge,add delayed VO2 physiology,4,18,96,1.2394719415320727,1.613855607365752,-0.07541880626617004,0.4393041830763513,0.6666666666666666
