dataset,feature,feature_type,family,n,subjects,raw_spearman,abs_raw_spearman,subject_centered_spearman,exercise_centered_spearman,subject_exercise_centered_spearman,single_feature_mae,single_feature_spearman,delta_mae_vs_global_mean,delta_spearman_vs_global_mean,delta_mae_vs_exercise_context,delta_spearman_vs_exercise_context,rank_by_abs_raw_spearman,rank_by_univariate_mae,rank_by_mae_gain_vs_global,evidence_note
rpe_only_143_sets,cumulative_tut_exercise_sec,numeric,progression_or_cumulative_exposure,143,6,0.4986533399567895,0.4986533399567895,0.5395252573993283,0.5888686140877234,0.7790967744482591,1.3548024251551876,0.39655648411014105,0.19576955188737788,0.8348583604816691,0.020389050036287548,0.12616355312696192,1.0,1.0,1.0,strong raw association and useful univariate prediction
rpe_only_143_sets,set_index_numeric,numeric,progression_or_cumulative_exposure,143,6,0.4396565277174376,0.4396565277174376,0.4981893021457373,0.5016539478646443,0.7996769786028746,1.4322873071173576,0.2994105605761298,0.11828466992520781,0.7377124369476579,-0.05709583192588252,0.029017629592950678,2.0,3.0,3.0,strong raw association and useful univariate prediction
rpe_only_143_sets,n_reps,numeric,workload_or_tut,143,6,-0.292661641766913,0.292661641766913,-0.255238745718126,-0.15013707693924896,-0.06344483982528945,1.5005924467954292,-0.20630900205634156,0.049979530247136195,0.2319928743151865,-0.12540097160395414,-0.4767019330395207,3.0,5.0,5.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,pca_diff_rms_max,numeric,pca_waveform,143,6,-0.28726680091209345,0.28726680091209345,-0.2740668487962796,-0.2062030472926716,-0.04260653329195584,1.5330982608849735,-0.0960864967783006,0.017473716157591968,0.34221537959322745,-0.15790678569349836,-0.36647942776147974,4.0,13.0,13.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,pca_diff_rms_mean,numeric,pca_waveform,143,6,-0.2861385551605403,0.2861385551605403,-0.2775800785648773,-0.26024965064490724,-0.19206176493608554,1.4840171937159543,0.0657031098016313,0.06655478332661113,0.5040049861731594,-0.1088257185244792,-0.20468982118154783,5.0,4.0,4.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,kg_x_n_reps,numeric,workload_or_tut,143,6,-0.24387422402371825,0.24387422402371825,-0.22531891637698212,-0.08913153826411689,0.027147759850269144,1.5041255884926212,0.05183240115342229,0.046446388549944206,0.49013427752495037,-0.12893411330114612,-0.21856052982975682,6.0,6.0,6.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,pca_diff_rms_std,numeric,pca_waveform,143,6,-0.2198827926340262,0.2198827926340262,-0.23121160918038422,-0.12907491791652348,0.008312215039666216,1.539040624243897,-0.17371439254551602,0.01153135279866846,0.26458748382601205,-0.16384914905242187,-0.44410732352869514,7.0,19.0,19.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,gyro_diff_gain_last2_vs_first2,numeric,gyro_waveform,143,6,0.1957787919012138,0.1957787919012138,0.3227918530021655,0.11463509551167604,0.13194175058754157,1.5224740280489604,-0.08564031753702551,0.02809794899360507,0.35266155883450256,-0.14728255285748526,-0.3560332485202046,8.0,8.0,8.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,kg_x_total_tut,numeric,workload_or_tut,143,6,-0.19401030318158885,0.19401030318158885,-0.1879680652216438,-0.04538640821330114,-0.217041627810923,1.535760484910725,-0.07555492667840978,0.01481149213184052,0.36274694969311827,-0.1605690097192498,-0.3459478576615889,9.0,16.0,16.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,kg,numeric,workload_or_tut,143,6,-0.1930663376703001,0.1930663376703001,-0.17465027229986535,-0.048396885326706995,0.1971220275530139,1.518952161547845,-0.017002986001451365,0.03161981549472048,0.42129889037007673,-0.14376068635636985,-0.2873959169846305,10.0,7.0,7.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,gyro_mag_diff_rms_slope,numeric,gyro_waveform,143,6,0.1928382623084412,0.1928382623084412,0.24636986019366752,0.056672399173720474,0.0956182557992007,1.5448023728502964,-0.2059371746291537,0.005769604192269018,0.23236470174237436,-0.1696108976588213,-0.4763301056123328,11.0,26.0,26.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,concentric_gain_last2_vs_first2,numeric,phase_timing,143,6,0.17400636002281258,0.17400636002281258,0.12170567545742415,0.19175500643454874,0.07452799094985697,1.601567613956775,-0.38379124890633887,-0.0509956369142095,0.0545106274651892,-0.22637613876529983,-0.654184179889518,12.0,66.0,66.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,concentric_sec_slope,numeric,phase_timing,143,6,0.16638183790141078,0.16638183790141078,0.1651567259697484,0.17557698116195783,0.15228084968063918,1.5888388454546103,-0.36576017170129516,-0.03826686841204485,0.07254170467023291,-0.21364737026313518,-0.6361531026844742,13.0,61.0,61.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,sim_to_first_slope,numeric,rep_similarity,143,6,-0.15860299011343792,0.15860299011343792,-0.15203861364665083,-0.10578587594740768,-0.006381821945532292,1.5247899004913963,-0.10489974362869559,0.025782076551169153,0.3334021327428325,-0.14959842529992118,-0.3752926746118747,14.0,9.0,9.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,gz_range_mean,numeric,other_numeric,143,6,-0.15823177432087512,0.15823177432087512,-0.1368721445520375,-0.08394122714144037,0.14222757647718054,1.5311127294864348,-0.10846800329765578,0.0194592475561306,0.3298338730738723,-0.15592125429495973,-0.3788609342808349,15.0,12.0,12.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,pca_range_mean,numeric,pca_waveform,143,6,-0.1575936168347841,0.1575936168347841,-0.07838200520571574,-0.22150786190475308,-0.10647208647986416,1.5353443107987315,-0.07402418290458349,0.015227666243833982,0.3642776934669446,-0.16015283560725635,-0.34441711388776264,16.0,15.0,15.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,gyro_mag_diff_rms_std,numeric,gyro_waveform,143,6,-0.1514643852935368,0.1514643852935368,-0.06664247602573461,-0.09850432634541857,0.11581946967128876,1.552128808261413,-0.18041921711343362,-0.001556831218847643,0.25788265925809445,-0.17693733306993797,-0.45081214809661274,17.0,33.0,33.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,movement_rate_cv,numeric,variability,143,6,-0.15040496044734641,0.15040496044734641,0.03157386847006473,-0.17837947372886334,0.047185557422497394,1.5277522840901192,-0.25111497077683625,0.022819692952446236,0.1871869055946918,-0.1525608088986441,-0.5215079017600154,18.0,11.0,11.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,duration_gain_last2_vs_first2,numeric,trend,143,6,0.14984605127652156,0.14984605127652156,0.2630505107733432,0.08889695446649616,0.2084598162943575,1.603822065742225,-0.26379261573744933,-0.05325008869965964,0.17450926063407873,-0.22863059055074997,-0.5341855467206285,19.0,67.0,67.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,velocity_loss_last2_vs_first2,numeric,trend,143,6,0.14642168986422896,0.14642168986422896,0.1894329382187258,0.1274250634214904,0.1872995798403223,1.5602363655122602,-0.3110141842262079,-0.009664388469694751,0.12728769214532015,-0.18504489032078508,-0.581407115209387,20.0,45.0,45.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,gyro_mag_range_mean,numeric,gyro_waveform,143,6,-0.1445551834915116,0.1445551834915116,-0.04006109196367726,-0.1312158249947607,-0.013216401333185548,1.5417374328828997,-0.14534141019823166,0.00883454415966578,0.2929604661732964,-0.16654595769142455,-0.4157343411814108,21.0,21.0,21.0,association exists but not stronger than exercise/progression context
