class,support,correct,class_accuracy_recall,precision,recall,f1_score
1,115,0,0.0,0.0,0.0,0.0
2,54,0,0.0,0.0,0.0,0.0
3,149,1,0.006711409395973154,0.14285714285714285,0.006711409395973154,0.01282051282051282
4,196,43,0.2193877551020408,0.12609970674486803,0.2193877551020408,0.1601489757914339
5,353,150,0.42492917847025496,0.23006134969325154,0.42492917847025496,0.29850746268656714
6,301,123,0.40863787375415284,0.20954003407155025,0.40863787375415284,0.27702702702702703
7,237,16,0.06751054852320675,0.1797752808988764,0.06751054852320675,0.09815950920245399
8,164,0,0.0,0.0,0.0,0.0
9,96,0,0.0,0.0,0.0,0.0
10,12,0,0.0,0.0,0.0,0.0
