class,support,correct,class_accuracy_recall,precision,recall,f1_score
1,115,0,0.0,0.0,0.0,0.0
2,54,1,0.018518518518518517,0.058823529411764705,0.018518518518518517,0.028169014084507043
3,149,23,0.15436241610738255,0.12637362637362637,0.15436241610738255,0.13897280966767372
4,196,53,0.27040816326530615,0.15542521994134897,0.27040816326530615,0.1973929236499069
5,353,98,0.2776203966005666,0.23728813559322035,0.2776203966005666,0.2558746736292428
6,301,95,0.31561461794019935,0.22511848341232227,0.31561461794019935,0.2627939142461964
7,237,43,0.18143459915611815,0.17916666666666667,0.18143459915611815,0.18029350104821804
8,164,17,0.10365853658536585,0.27419354838709675,0.10365853658536585,0.1504424778761062
9,96,0,0.0,0.0,0.0,0.0
10,12,0,0.0,0.0,0.0,0.0
