class,support,correct,class_accuracy_recall,precision,recall,f1_score
1,115,0,0.0,0.0,0.0,0.0
2,54,0,0.0,0.0,0.0,0.0
3,149,2,0.013422818791946308,0.2,0.013422818791946308,0.025157232704402517
4,196,42,0.21428571428571427,0.13592233009708737,0.21428571428571427,0.16633663366336635
5,353,154,0.43626062322946174,0.2326283987915408,0.43626062322946174,0.30344827586206896
6,301,120,0.39867109634551495,0.2037351443123939,0.39867109634551495,0.2696629213483146
7,237,18,0.0759493670886076,0.16822429906542055,0.0759493670886076,0.10465116279069768
8,164,0,0.0,0.0,0.0,0.0
9,96,0,0.0,0.0,0.0,0.0
10,12,0,0.0,0.0,0.0,0.0
