dataset,model_stage,class,support,correct,class_accuracy_recall,precision,recall,f1_score
rpe_only_143_sets,M0_exercise_mean,5-6,36,8,0.2222222222222222,0.2962962962962963,0.2222222222222222,0.25396825396825395
rpe_only_143_sets,M0_exercise_mean,7-8,49,28,0.5714285714285714,0.35443037974683544,0.5714285714285714,0.4375
rpe_only_143_sets,M0_exercise_mean,9-10,48,16,0.3333333333333333,0.5925925925925926,0.3333333333333333,0.4266666666666667
rpe_only_143_sets,M1_exercise_plus_set_index,5-6,36,13,0.3611111111111111,0.48148148148148145,0.3611111111111111,0.4126984126984127
rpe_only_143_sets,M1_exercise_plus_set_index,7-8,49,35,0.7142857142857143,0.4375,0.7142857142857143,0.5426356589147286
rpe_only_143_sets,M1_exercise_plus_set_index,9-10,48,19,0.3958333333333333,0.7307692307692307,0.3958333333333333,0.5135135135135135
rpe_only_143_sets,M2_exercise_plus_cumulative_tut,5-6,36,15,0.4166666666666667,0.5,0.4166666666666667,0.45454545454545453
rpe_only_143_sets,M2_exercise_plus_cumulative_tut,7-8,49,35,0.7142857142857143,0.4605263157894737,0.7142857142857143,0.56
rpe_only_143_sets,M2_exercise_plus_cumulative_tut,9-10,48,20,0.4166666666666667,0.7407407407407407,0.4166666666666667,0.5333333333333333
rpe_only_143_sets,M3_progression_control,5-6,36,15,0.4166666666666667,0.5357142857142857,0.4166666666666667,0.46875
rpe_only_143_sets,M3_progression_control,7-8,49,34,0.6938775510204082,0.4473684210526316,0.6938775510204082,0.544
rpe_only_143_sets,M3_progression_control,9-10,48,20,0.4166666666666667,0.6896551724137931,0.4166666666666667,0.5194805194805194
vo2_lag45_96_sets,M0_exercise_mean,5-6,22,0,0.0,0.0,0.0,0.0
vo2_lag45_96_sets,M0_exercise_mean,7-8,35,30,0.8571428571428571,0.36585365853658536,0.8571428571428571,0.5128205128205128
vo2_lag45_96_sets,M0_exercise_mean,9-10,37,6,0.16216216216216217,0.5,0.16216216216216217,0.24489795918367346
vo2_lag45_96_sets,M1_exercise_plus_set_index,5-6,22,7,0.3181818181818182,0.4666666666666667,0.3181818181818182,0.3783783783783784
vo2_lag45_96_sets,M1_exercise_plus_set_index,7-8,35,25,0.7142857142857143,0.4032258064516129,0.7142857142857143,0.5154639175257731
vo2_lag45_96_sets,M1_exercise_plus_set_index,9-10,37,10,0.2702702702702703,0.5882352941176471,0.2702702702702703,0.37037037037037035
vo2_lag45_96_sets,M2_exercise_plus_cumulative_tut,5-6,22,10,0.45454545454545453,0.5882352941176471,0.45454545454545453,0.5128205128205128
vo2_lag45_96_sets,M2_exercise_plus_cumulative_tut,7-8,35,26,0.7428571428571429,0.4727272727272727,0.7428571428571429,0.5777777777777777
vo2_lag45_96_sets,M2_exercise_plus_cumulative_tut,9-10,37,18,0.4864864864864865,0.8181818181818182,0.4864864864864865,0.6101694915254238
vo2_lag45_96_sets,M3_progression_control,5-6,22,10,0.45454545454545453,0.5,0.45454545454545453,0.47619047619047616
vo2_lag45_96_sets,M3_progression_control,7-8,35,24,0.6857142857142857,0.4528301886792453,0.6857142857142857,0.5454545454545454
vo2_lag45_96_sets,M3_progression_control,9-10,37,17,0.4594594594594595,0.8095238095238095,0.4594594594594595,0.5862068965517241
