dataset,model_stage,rpe_class,support,correct,class_accuracy_recall,precision,recall,f1_score
rpe_only_143_sets,M0_exercise_mean,1,0,0,0.0,0.0,0.0,0.0
rpe_only_143_sets,M0_exercise_mean,2,0,0,0.0,0.0,0.0,0.0
rpe_only_143_sets,M0_exercise_mean,3,3,0,0.0,0.0,0.0,0.0
rpe_only_143_sets,M0_exercise_mean,4,7,0,0.0,0.0,0.0,0.0
rpe_only_143_sets,M0_exercise_mean,5,13,0,0.0,0.0,0.0,0.0
rpe_only_143_sets,M0_exercise_mean,6,23,6,0.2608695652173913,0.2222222222222222,0.2608695652173913,0.24
rpe_only_143_sets,M0_exercise_mean,7,27,11,0.4074074074074074,0.1746031746031746,0.4074074074074074,0.24444444444444444
rpe_only_143_sets,M0_exercise_mean,8,22,5,0.22727272727272727,0.19230769230769232,0.22727272727272727,0.20833333333333331
rpe_only_143_sets,M0_exercise_mean,9,36,13,0.3611111111111111,0.48148148148148145,0.3611111111111111,0.4126984126984127
rpe_only_143_sets,M0_exercise_mean,10,12,0,0.0,0.0,0.0,0.0
rpe_only_143_sets,M1_exercise_plus_set_index,1,0,0,0.0,0.0,0.0,0.0
rpe_only_143_sets,M1_exercise_plus_set_index,2,0,0,0.0,0.0,0.0,0.0
rpe_only_143_sets,M1_exercise_plus_set_index,3,3,0,0.0,0.0,0.0,0.0
rpe_only_143_sets,M1_exercise_plus_set_index,4,7,0,0.0,0.0,0.0,0.0
rpe_only_143_sets,M1_exercise_plus_set_index,5,13,0,0.0,0.0,0.0,0.0
rpe_only_143_sets,M1_exercise_plus_set_index,6,23,4,0.17391304347826086,0.14814814814814814,0.17391304347826086,0.15999999999999998
rpe_only_143_sets,M1_exercise_plus_set_index,7,27,9,0.3333333333333333,0.19148936170212766,0.3333333333333333,0.24324324324324323
rpe_only_143_sets,M1_exercise_plus_set_index,8,22,7,0.3181818181818182,0.2,0.3181818181818182,0.2456140350877193
rpe_only_143_sets,M1_exercise_plus_set_index,9,36,9,0.25,0.45,0.25,0.32142857142857145
rpe_only_143_sets,M1_exercise_plus_set_index,10,12,2,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.2222222222222222
rpe_only_143_sets,M2_exercise_plus_cumulative_tut,1,0,0,0.0,0.0,0.0,0.0
rpe_only_143_sets,M2_exercise_plus_cumulative_tut,2,0,0,0.0,0.0,0.0,0.0
rpe_only_143_sets,M2_exercise_plus_cumulative_tut,3,3,0,0.0,0.0,0.0,0.0
rpe_only_143_sets,M2_exercise_plus_cumulative_tut,4,7,0,0.0,0.0,0.0,0.0
rpe_only_143_sets,M2_exercise_plus_cumulative_tut,5,13,0,0.0,0.0,0.0,0.0
rpe_only_143_sets,M2_exercise_plus_cumulative_tut,6,23,4,0.17391304347826086,0.12121212121212122,0.17391304347826086,0.14285714285714288
rpe_only_143_sets,M2_exercise_plus_cumulative_tut,7,27,9,0.3333333333333333,0.20930232558139536,0.3333333333333333,0.2571428571428572
