,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10
true_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
true_4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
true_5,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.6153846153846154,0.15384615384615385,0.07692307692307693,0.0
true_6,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.6086956521739131,0.043478260869565216,0.08695652173913043,0.0
true_7,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4074074074074074,0.1111111111111111,0.14814814814814814,0.0
true_8,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.4090909090909091,0.22727272727272727,0.18181818181818182,0.0
true_9,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2777777777777778,0.25,0.3611111111111111,0.0
true_10,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.5,0.25,0.0
