,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10
true_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
true_4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
true_5,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.0
true_6,0.0,0.0,0.0,0.0,0.21739130434782608,0.17391304347826086,0.43478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216
true_7,0.0,0.0,0.0,0.0,0.037037037037037035,0.2222222222222222,0.3333333333333333,0.37037037037037035,0.037037037037037035,0.0
true_8,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.4090909090909091,0.3181818181818182,0.09090909090909091,0.045454545454545456
true_9,0.0,0.0,0.0,0.0,0.027777777777777776,0.08333333333333333,0.25,0.25,0.2222222222222222,0.16666666666666666
true_10,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.08333333333333333
