,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10
true_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
true_4,0.0,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0
true_5,0.0,0.0,0.0,0.0,0.07692307692307693,0.38461538461538464,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.0
true_6,0.0,0.0,0.0,0.0,0.21739130434782608,0.17391304347826086,0.34782608695652173,0.17391304347826086,0.043478260869565216,0.043478260869565216
true_7,0.0,0.0,0.0,0.0,0.037037037037037035,0.2222222222222222,0.37037037037037035,0.2962962962962963,0.07407407407407407,0.0
true_8,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.36363636363636365,0.36363636363636365,0.13636363636363635,0.045454545454545456
true_9,0.0,0.0,0.0,0.0,0.027777777777777776,0.05555555555555555,0.2222222222222222,0.3333333333333333,0.19444444444444445,0.16666666666666666
true_10,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.25,0.5,0.08333333333333333
