,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10
true_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
true_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
true_5,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.0,0.0
true_6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.42857142857142855,0.07142857142857142,0.0
true_7,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.3684210526315789,0.10526315789473684,0.0
true_8,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.4375,0.1875,0.0
true_9,0.0,0.0,0.0,0.0,0.0,0.0,0.43333333333333335,0.4,0.16666666666666666,0.0
true_10,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0
