,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10
true_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
true_4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
true_5,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.5,0.0,0.125
true_6,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.21428571428571427,0.35714285714285715,0.0,0.0
true_7,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.3684210526315789,0.3684210526315789,0.05263157894736842,0.05263157894736842
true_8,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.4375,0.25,0.0
true_9,0.0,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.3333333333333333,0.4,0.13333333333333333,0.03333333333333333
true_10,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.7142857142857143,0.0
