,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10
true_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
true_4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
true_5,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.25,0.0,0.0
true_6,0.0,0.0,0.0,0.0,0.07142857142857142,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.0,0.0
true_7,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.3684210526315789,0.3157894736842105,0.10526315789473684,0.0
true_8,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.5625,0.125,0.0
true_9,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.16666666666666666,0.26666666666666666,0.4,0.1
true_10,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285
