source,level,rpe,count,percent,total
rpe_only_143_sets,set,1,0,0.0,143
rpe_only_143_sets,set,2,0,0.0,143
rpe_only_143_sets,set,3,3,2.097902097902098,143
rpe_only_143_sets,set,4,7,4.895104895104895,143
rpe_only_143_sets,set,5,13,9.090909090909092,143
rpe_only_143_sets,set,6,23,16.083916083916083,143
rpe_only_143_sets,set,7,27,18.88111888111888,143
rpe_only_143_sets,set,8,22,15.384615384615385,143
rpe_only_143_sets,set,9,36,25.174825174825177,143
rpe_only_143_sets,set,10,12,8.391608391608392,143
vo2_lag45_96_sets,set,1,0,0.0,96
vo2_lag45_96_sets,set,2,0,0.0,96
vo2_lag45_96_sets,set,3,1,1.0416666666666665,96
vo2_lag45_96_sets,set,4,1,1.0416666666666665,96
vo2_lag45_96_sets,set,5,8,8.333333333333332,96
vo2_lag45_96_sets,set,6,14,14.583333333333334,96
vo2_lag45_96_sets,set,7,19,19.791666666666664,96
vo2_lag45_96_sets,set,8,16,16.666666666666664,96
vo2_lag45_96_sets,set,9,30,31.25,96
vo2_lag45_96_sets,set,10,7,7.291666666666667,96
gt_rep_waveform_1677_reps,rep,1,115,6.857483601669648,1677
gt_rep_waveform_1677_reps,rep,2,54,3.2200357781753133,1677
gt_rep_waveform_1677_reps,rep,3,149,8.884913536076326,1677
gt_rep_waveform_1677_reps,rep,4,196,11.68753726893262,1677
gt_rep_waveform_1677_reps,rep,5,353,21.049493142516397,1677
gt_rep_waveform_1677_reps,rep,6,301,17.94871794871795,1677
gt_rep_waveform_1677_reps,rep,7,237,14.132379248658319,1677
gt_rep_waveform_1677_reps,rep,8,164,9.779367918902802,1677
gt_rep_waveform_1677_reps,rep,9,96,5.724508050089446,1677
gt_rep_waveform_1677_reps,rep,10,12,0.7155635062611807,1677
