folder,exercise,n_sets,n_completed_reps,final_rpe_mean,final_rpe_median,final_rpe_min,final_rpe_max,rep_rpe_mean,rep_rpe_median,final_rpe_count_1,rep_rpe_count_1,final_rpe_count_2,rep_rpe_count_2,final_rpe_count_3,rep_rpe_count_3,final_rpe_count_4,rep_rpe_count_4,final_rpe_count_5,rep_rpe_count_5,final_rpe_count_6,rep_rpe_count_6,final_rpe_count_7,rep_rpe_count_7,final_rpe_count_8,rep_rpe_count_8,final_rpe_count_9,rep_rpe_count_9,final_rpe_count_10,rep_rpe_count_10
haoyu0512workout,db_bench_press,3,36,8.666666666666666,9.0,8.0,9.0,6.166666666666667,6.5,0,2,0,0,0,4,0,0,0,6,0,6,0,7,1,6,2,5,0,0
haoyu0512workout,db_biceps_curl,3,36,9.0,9.0,9.0,9.0,6.416666666666667,7.0,0,3,0,0,0,0,0,3,0,6,0,5,0,4,0,7,3,8,0,0
haoyu0512workout,db_rdl,3,36,9.0,9.0,9.0,9.0,6.138888888888889,6.0,0,2,0,0,0,2,0,0,0,10,0,7,0,4,0,6,3,5,0,0
haoyu0512workout,db_shoulder_press,3,36,8.333333333333334,9.0,7.0,9.0,5.416666666666667,5.0,0,2,0,0,0,4,0,9,0,4,0,6,1,3,0,4,2,4,0,0
haoyu0512workout,db_squat,3,36,7.666666666666667,8.0,6.0,9.0,5.25,5.5,0,5,0,0,0,0,0,5,0,8,1,8,0,5,1,4,1,1,0,0
haoyu0512workout,db_triceps_curl,3,36,8.333333333333334,9.0,7.0,9.0,5.555555555555555,6.0,0,2,0,0,0,2,0,6,0,7,0,8,1,5,0,4,2,2,0,0
haoyu0512workout,db_weighted_crunch,3,36,7.333333333333333,7.0,6.0,9.0,4.666666666666667,5.0,0,2,0,0,0,9,0,5,0,8,1,7,1,4,0,0,1,1,0,0
haoyu0512workout,one_arm_db_row,3,36,9.0,9.0,9.0,9.0,6.583333333333333,7.0,0,2,0,0,0,1,0,2,0,3,0,6,0,9,0,7,3,6,0,0
hsianshun0514workout,db_bench_press,3,36,5.666666666666667,6.0,4.0,7.0,4.055555555555555,4.0,0,3,0,1,0,10,1,7,0,9,1,4,1,2,0,0,0,0,0,0
hsianshun0514workout,db_biceps_curl,3,29,9.666666666666666,10.0,9.0,10.0,6.206896551724138,6.0,0,2,0,0,0,2,0,1,0,7,0,3,0,5,0,3,1,4,2,2
hsianshun0514workout,db_rdl,3,36,6.0,6.0,4.0,8.0,4.277777777777778,4.0,0,2,0,5,0,9,1,3,0,6,1,5,0,5,1,1,0,0,0,0
hsianshun0514workout,db_shoulder_press,3,34,9.666666666666666,10.0,9.0,10.0,6.970588235294118,8.0,0,2,0,1,0,1,0,0,0,3,0,2,0,7,0,10,1,6,2,2
hsianshun0514workout,db_squat,3,36,5.666666666666667,6.0,4.0,7.0,4.055555555555555,4.0,0,4,0,0,0,10,1,7,0,9,1,3,1,3,0,0,0,0,0,0
hsianshun0514workout,db_triceps_curl,3,36,6.333333333333333,7.0,4.0,8.0,4.472222222222222,4.0,0,2,0,3,0,8,1,6,0,6,0,5,1,3,1,3,0,0,0,0
hsianshun0514workout,db_weighted_crunch,3,36,6.333333333333333,7.0,5.0,7.0,4.75,5.0,0,3,0,2,0,4,0,5,1,8,0,6,2,8,0,0,0,0,0,0
hsianshun0514workout,one_arm_db_row,3,36,6.666666666666667,7.0,5.0,8.0,4.666666666666667,5.0,0,3,0,3,0,2,0,7,1,8,0,7,1,5,1,1,0,0,0,0
tsenyu0515workout,db_bench_press,3,36,5.666666666666667,6.0,3.0,8.0,3.6944444444444446,4.0,0,6,0,6,1,5,0,6,0,6,1,4,0,2,1,1,0,0,0,0
tsenyu0515workout,db_biceps_curl,3,35,8.0,9.0,6.0,9.0,5.571428571428571,6.0,0,2,0,2,0,2,0,2,0,7,1,9,0,4,0,5,2,2,0,0
tsenyu0515workout,db_rdl,3,35,8.0,8.0,6.0,10.0,5.257142857142857,5.0,0,2,0,3,0,1,0,5,0,7,1,8,0,5,1,2,0,1,1,1
tsenyu0515workout,db_shoulder_press,3,36,7.333333333333333,8.0,5.0,9.0,4.944444444444445,5.0,0,3,0,3,0,2,0,5,1,9,0,5,0,5,1,3,1,1,0,0
tsenyu0515workout,db_squat,3,36,5.0,5.0,4.0,6.0,3.75,4.0,0,3,0,4,0,3,1,16,1,9,1,1,0,0,0,0,0,0,0,0
tsenyu0515workout,db_triceps_curl,3,36,5.666666666666667,6.0,4.0,7.0,4.166666666666667,4.5,0,4,0,3,0,3,1,8,0,10,1,7,1,1,0,0,0,0,0,0
tsenyu0515workout,db_weighted_crunch,3,36,5.0,5.0,3.0,7.0,3.3333333333333335,3.0,0,6,0,8,1,5,0,7,1,6,0,3,1,1,0,0,0,0,0,0
tsenyu0515workout,one_arm_db_row,3,36,7.333333333333333,8.0,5.0,9.0,5.305555555555555,6.0,0,2,0,4,0,2,0,2,1,6,0,10,0,5,1,3,1,2,0,0
yanz0510workout,db_bench_press,3,36,6.666666666666667,7.0,5.0,8.0,5.555555555555555,6.0,0,3,0,0,0,4,0,0,1,10,0,4,1,9,1,6,0,0,0,0
yanz0510workout,db_biceps_curl,3,33,8.666666666666666,9.0,7.0,10.0,6.484848484848484,7.0,0,1,0,3,0,2,0,1,0,0,0,7,1,5,0,7,1,6,1,1
yanz0510workout,db_rdl,3,36,7.333333333333333,8.0,5.0,9.0,5.861111111111111,6.0,0,1,0,2,0,3,0,2,1,4,0,8,0,10,1,3,1,3,0,0
