folder,rpe_class,count,percent,total
haoyu0512workout,1,20,6.944444444444445,288
haoyu0512workout,2,0,0.0,288
haoyu0512workout,3,22,7.638888888888889,288
haoyu0512workout,4,30,10.416666666666668,288
haoyu0512workout,5,52,18.055555555555554,288
haoyu0512workout,6,53,18.40277777777778,288
haoyu0512workout,7,41,14.23611111111111,288
haoyu0512workout,8,38,13.194444444444445,288
haoyu0512workout,9,32,11.11111111111111,288
haoyu0512workout,10,0,0.0,288
hsianshun0514workout,1,21,7.526881720430108,279
hsianshun0514workout,2,15,5.376344086021505,279
hsianshun0514workout,3,46,16.48745519713262,279
hsianshun0514workout,4,36,12.903225806451612,279
hsianshun0514workout,5,56,20.07168458781362,279
hsianshun0514workout,6,35,12.544802867383511,279
hsianshun0514workout,7,38,13.620071684587815,279
hsianshun0514workout,8,18,6.451612903225806,279
hsianshun0514workout,9,10,3.584229390681003,279
hsianshun0514workout,10,4,1.4336917562724014,279
tsenyu0515workout,1,28,9.79020979020979,286
tsenyu0515workout,2,33,11.538461538461538,286
tsenyu0515workout,3,23,8.041958041958042,286
tsenyu0515workout,4,51,17.832167832167833,286
tsenyu0515workout,5,60,20.97902097902098,286
tsenyu0515workout,6,47,16.433566433566433,286
tsenyu0515workout,7,23,8.041958041958042,286
tsenyu0515workout,8,14,4.895104895104895,286
tsenyu0515workout,9,6,2.097902097902098,286
tsenyu0515workout,10,1,0.34965034965034963,286
yanz0510workout,1,11,4.0,275
yanz0510workout,2,16,5.818181818181818,275
yanz0510workout,3,18,6.545454545454546,275
yanz0510workout,4,10,3.6363636363636362,275
yanz0510workout,5,35,12.727272727272727,275
yanz0510workout,6,41,14.909090909090908,275
yanz0510workout,7,61,22.181818181818183,275
yanz0510workout,8,56,20.363636363636363,275
yanz0510workout,9,24,8.727272727272728,275
yanz0510workout,10,3,1.090909090909091,275
yoru0511workout,1,24,8.333333333333332,288
yoru0511workout,2,8,2.7777777777777777,288
yoru0511workout,3,24,8.333333333333332,288
yoru0511workout,4,40,13.88888888888889,288
yoru0511workout,5,82,28.47222222222222,288
yoru0511workout,6,59,20.48611111111111,288
yoru0511workout,7,34,11.805555555555555,288
yoru0511workout,8,11,3.8194444444444446,288
yoru0511workout,9,6,2.083333333333333,288
yoru0511workout,10,0,0.0,288
yushuan0513workout,1,22,7.829181494661921,281
yushuan0513workout,2,0,0.0,281
yushuan0513workout,3,21,7.473309608540925,281
yushuan0513workout,4,29,10.320284697508896,281
yushuan0513workout,5,64,22.77580071174377,281
yushuan0513workout,6,57,20.284697508896798,281
yushuan0513workout,7,41,14.590747330960854,281
yushuan0513workout,8,25,8.896797153024911,281
yushuan0513workout,9,18,6.405693950177936,281
yushuan0513workout,10,4,1.4234875444839856,281
ziho0512workout,1,10,3.571428571428571,280
ziho0512workout,2,5,1.7857142857142856,280
ziho0512workout,3,8,2.857142857142857,280
ziho0512workout,4,15,5.357142857142857,280
ziho0512workout,5,40,14.285714285714285,280
ziho0512workout,6,62,22.142857142857142,280
ziho0512workout,7,62,22.142857142857142,280
ziho0512workout,8,42,15.0,280
ziho0512workout,9,32,11.428571428571429,280
ziho0512workout,10,4,1.4285714285714286,280
