folder,source_file,source_row_index,row_key,row_instance,exercise_index,exercise,set_id,rep_id,kg,rpe,rpe_class,completed,raw_value,filled_from_previous
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,0,1_0,0,1,db_bench_press,0,0,8.0,1.0,1.0,True,1.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,0,1_0,0,1,db_bench_press,0,1,8.0,1.0,1.0,True,1.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,0,1_0,0,1,db_bench_press,0,2,8.0,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,0,1_0,0,1,db_bench_press,0,3,8.0,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,0,1_0,0,1,db_bench_press,0,4,8.0,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,0,1_0,0,1,db_bench_press,0,5,8.0,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,0,1_0,0,1,db_bench_press,0,6,8.0,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,0,1_0,0,1,db_bench_press,0,7,8.0,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,0,1_0,0,1,db_bench_press,0,8,8.0,7.0,7.0,True,7.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,0,1_0,0,1,db_bench_press,0,9,8.0,7.0,7.0,True,7.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,0,1_0,0,1,db_bench_press,0,10,8.0,8.0,8.0,True,8.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,0,1_0,0,1,db_bench_press,0,11,8.0,8.0,8.0,True,8.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,1,1_1,0,1,db_bench_press,1,0,8.0,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,1,1_1,0,1,db_bench_press,1,1,8.0,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,1,1_1,0,1,db_bench_press,1,2,8.0,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,1,1_1,0,1,db_bench_press,1,3,8.0,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,1,1_1,0,1,db_bench_press,1,4,8.0,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,1,1_1,0,1,db_bench_press,1,5,8.0,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,1,1_1,0,1,db_bench_press,1,6,8.0,7.0,7.0,True,7.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,1,1_1,0,1,db_bench_press,1,7,8.0,7.0,7.0,True,7.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,1,1_1,0,1,db_bench_press,1,8,8.0,8.0,8.0,True,8.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,1,1_1,0,1,db_bench_press,1,9,8.0,8.0,8.0,True,8.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,1,1_1,0,1,db_bench_press,1,10,8.0,9.0,9.0,True,9.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,1,1_1,0,1,db_bench_press,1,11,8.0,9.0,9.0,True,9.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,2,1_2,0,1,db_bench_press,2,0,8.0,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,2,1_2,0,1,db_bench_press,2,1,8.0,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,2,1_2,0,1,db_bench_press,2,2,8.0,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,2,1_2,0,1,db_bench_press,2,3,8.0,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,2,1_2,0,1,db_bench_press,2,4,8.0,7.0,7.0,True,7.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,2,1_2,0,1,db_bench_press,2,5,8.0,7.0,7.0,True,7.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,2,1_2,0,1,db_bench_press,2,6,8.0,7.0,7.0,True,7.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,2,1_2,0,1,db_bench_press,2,7,8.0,8.0,8.0,True,8.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,2,1_2,0,1,db_bench_press,2,8,8.0,8.0,8.0,True,8.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,2,1_2,0,1,db_bench_press,2,9,8.0,9.0,9.0,True,9.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,2,1_2,0,1,db_bench_press,2,10,8.0,9.0,9.0,True,9.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,2,1_2,0,1,db_bench_press,2,11,8.0,9.0,9.0,True,9.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,4,2_0,0,2,one_arm_db_row,0,0,10.5,1.0,1.0,True,1.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,4,2_0,0,2,one_arm_db_row,0,1,10.5,1.0,1.0,True,1.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,4,2_0,0,2,one_arm_db_row,0,2,10.5,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,4,2_0,0,2,one_arm_db_row,0,3,10.5,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,4,2_0,0,2,one_arm_db_row,0,4,10.5,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,4,2_0,0,2,one_arm_db_row,0,5,10.5,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,4,2_0,0,2,one_arm_db_row,0,6,10.5,6.0,6.0,True,6.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,4,2_0,0,2,one_arm_db_row,0,7,10.5,7.0,7.0,True,7.0,False
