folder,source_file,source_row_index,row_key,row_instance,exercise_index,exercise,set_id,kg,n_completed_reps,first_rpe,final_rpe,final_rpe_class,mean_rpe,median_rpe,min_rpe,max_rpe,rpe_slope_last_minus_first,stopped_at_rep,has_x,raw_rpe_sequence
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,0,1_0,0,1,db_bench_press,0,8.0,12,1.0,8.0,8,5.0,5.5,1.0,8.0,7.0,,False,1.0|1.0|3.0|3.0|5.0|5.0|6.0|6.0|7.0|7.0|8.0|8.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,1,1_1,0,1,db_bench_press,1,8.0,12,3.0,9.0,9,6.333333333333333,6.5,3.0,9.0,6.0,,False,3.0|3.0|5.0|5.0|6.0|6.0|7.0|7.0|8.0|8.0|9.0|9.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,2,1_2,0,1,db_bench_press,2,8.0,12,5.0,9.0,9,7.166666666666667,7.0,5.0,9.0,4.0,,False,5.0|5.0|6.0|6.0|7.0|7.0|7.0|8.0|8.0|9.0|9.0|9.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,4,2_0,0,2,one_arm_db_row,0,10.5,12,1.0,9.0,9,5.583333333333333,6.0,1.0,9.0,8.0,,False,1.0|1.0|3.0|5.0|6.0|6.0|6.0|7.0|7.0|8.0|8.0|9.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,5,2_1,0,2,one_arm_db_row,1,10.5,12,4.0,9.0,9,6.666666666666667,7.0,4.0,9.0,5.0,,False,4.0|4.0|6.0|6.0|6.0|7.0|7.0|7.0|8.0|8.0|8.0|9.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,6,2_2,0,2,one_arm_db_row,2,10.5,12,5.0,9.0,9,7.5,7.5,5.0,9.0,4.0,,False,5.0|5.0|7.0|7.0|7.0|7.0|8.0|8.0|9.0|9.0|9.0|9.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,8,3_0,0,3,db_rdl,0,10.5,12,1.0,9.0,9,5.333333333333333,5.5,1.0,9.0,8.0,,False,1.0|1.0|3.0|3.0|5.0|5.0|6.0|6.0|8.0|8.0|9.0|9.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,9,3_1,0,3,db_rdl,1,10.5,12,5.0,9.0,9,6.416666666666667,6.0,5.0,9.0,4.0,,False,5.0|5.0|5.0|5.0|6.0|6.0|6.0|7.0|7.0|8.0|8.0|9.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,10,3_2,0,3,db_rdl,2,10.5,12,5.0,9.0,9,6.666666666666667,6.5,5.0,9.0,4.0,,False,5.0|5.0|5.0|5.0|6.0|6.0|7.0|7.0|8.0|8.0|9.0|9.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,12,4_0,0,4,db_weighted_crunch,0,8.0,12,1.0,6.0,6,3.5833333333333335,3.5,1.0,6.0,5.0,,False,1.0|1.0|3.0|3.0|3.0|3.0|4.0|4.0|5.0|5.0|5.0|6.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,13,4_1,0,4,db_weighted_crunch,1,8.0,12,3.0,7.0,7,5.0,5.0,3.0,7.0,4.0,,False,3.0|3.0|4.0|4.0|4.0|5.0|5.0|6.0|6.0|6.0|7.0|7.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,14,4_2,0,4,db_weighted_crunch,2,8.0,12,3.0,9.0,9,5.416666666666667,5.5,3.0,9.0,6.0,,False,3.0|3.0|3.0|5.0|5.0|5.0|6.0|6.0|6.0|7.0|7.0|9.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,16,5_0,0,5,db_shoulder_press,0,5.0,12,1.0,7.0,7,4.166666666666667,4.5,1.0,7.0,6.0,,False,1.0|1.0|3.0|3.0|4.0|4.0|5.0|5.0|5.0|6.0|6.0|7.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,17,5_1,0,5,db_shoulder_press,1,5.0,12,3.0,9.0,9,5.833333333333333,6.0,3.0,9.0,6.0,,False,3.0|3.0|4.0|4.0|4.0|6.0|6.0|7.0|8.0|8.0|8.0|9.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,18,5_2,0,5,db_shoulder_press,2,5.0,12,4.0,9.0,9,6.25,6.0,4.0,9.0,5.0,,False,4.0|4.0|4.0|4.0|5.0|6.0|6.0|7.0|8.0|9.0|9.0|9.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,20,6_0,0,6,db_biceps_curl,0,5.0,12,1.0,9.0,9,5.25,5.5,1.0,9.0,8.0,,False,1.0|1.0|1.0|4.0|5.0|5.0|6.0|7.0|8.0|8.0|8.0|9.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,21,6_1,0,6,db_biceps_curl,1,5.0,12,4.0,9.0,9,6.666666666666667,6.5,4.0,9.0,5.0,,False,4.0|4.0|5.0|5.0|6.0|6.0|7.0|8.0|8.0|9.0|9.0|9.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,22,6_3,0,6,db_biceps_curl,3,5.0,12,5.0,9.0,9,7.333333333333333,7.5,5.0,9.0,4.0,,False,5.0|5.0|6.0|6.0|7.0|7.0|8.0|8.0|9.0|9.0|9.0|9.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,24,7_0,0,7,db_triceps_curl,0,5.0,12,1.0,7.0,7,4.25,4.5,1.0,7.0,6.0,,False,1.0|1.0|3.0|3.0|4.0|4.0|5.0|5.0|6.0|6.0|6.0|7.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,25,7_1,0,7,db_triceps_curl,1,5.0,12,4.0,9.0,9,5.75,5.5,4.0,9.0,5.0,,False,4.0|4.0|4.0|4.0|5.0|5.0|6.0|6.0|7.0|7.0|8.0|9.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,26,7_2,0,7,db_triceps_curl,2,5.0,12,5.0,9.0,9,6.666666666666667,6.5,5.0,9.0,4.0,,False,5.0|5.0|5.0|6.0|6.0|6.0|7.0|7.0|8.0|8.0|8.0|9.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,28,8_0,0,8,db_squat,0,10.5,12,1.0,6.0,6,3.3333333333333335,4.0,1.0,6.0,5.0,,False,1.0|1.0|1.0|1.0|1.0|4.0|4.0|5.0|5.0|5.0|6.0|6.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,29,8_1,0,8,db_squat,1,10.5,12,4.0,9.0,9,6.083333333333333,6.0,4.0,9.0,5.0,,False,4.0|4.0|4.0|5.0|5.0|6.0|6.0|7.0|7.0|8.0|8.0|9.0
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,30,8_2,0,8,db_squat,2,10.5,12,5.0,8.0,8,6.333333333333333,6.0,5.0,8.0,3.0,,False,5.0|5.0|5.0|6.0|6.0|6.0|6.0|7.0|7.0|7.0|8.0|8.0
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,0,1_0,0,1,db_bench_press,0,12.0,12,1.0,4.0,4,2.9166666666666665,3.5,1.0,4.0,3.0,,False,1.0|1.0|1.0|2.0|3.0|3.0|4.0|4|4|4|4|4
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,1,1_1,0,1,db_bench_press,1,12.0,12,3.0,6.0,6,3.6666666666666665,3.0,3.0,6.0,3.0,,False,3.0|3.0|3.0|3.0|3.0|3.0|3.0|3|4|5|5|6
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,2,1_2,0,1,db_bench_press,2,12.0,12,5.0,7.0,7,5.583333333333333,5.0,5.0,7.0,2.0,,False,5.0|5.0|5.0|5.0|5.0|5.0|5.0|6|6|6|7|7
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,4,2_1,0,2,one_arm_db_row,1,15.0,12,1.0,5.0,5,2.6666666666666665,2.5,1.0,5.0,4.0,,False,1.0|1.0|1.0|2.0|2.0|2.0|3.0|3|4|4|4|5
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,5,2_1,1,2,one_arm_db_row,1,15.0,12,4.0,7.0,7,5.166666666666667,5.0,4.0,7.0,3.0,,False,4.0|4.0|4.0|4.0|5.0|5.0|5.0|6|6|6|6|7
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,6,2_2,0,2,one_arm_db_row,2,15.0,12,5.0,8.0,8,6.166666666666667,6.0,5.0,8.0,3.0,,False,5.0|5.0|5.0|5.0|6.0|6.0|6.0|7|7|7|7|8
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,8,3_0,0,3,db_rdl,0,13.0,12,1.0,4.0,4,2.3333333333333335,2.0,1.0,4.0,3.0,,False,1.0|1.0|2.0|2.0|2.0|2.0|2.0|3|3|3|3|4
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,9,3_1,0,3,db_rdl,1,13.0,12,3.0,6.0,6,4.166666666666667,4.0,3.0,6.0,3.0,,False,3.0|3.0|3.0|3.0|3.0|4.0|4.0|5|5|5|6|6
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,10,3_2,0,3,db_rdl,2,13.0,12,5.0,8.0,8,6.333333333333333,6.5,5.0,8.0,3.0,,False,5.0|5.0|5.0|6.0|6.0|6.0|7.0|7|7|7|7|8
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,12,4_0,0,4,db_weighted_crunch,0,13.0,12,1.0,5.0,5,2.8333333333333335,3.0,1.0,5.0,4.0,,False,1.0|1.0|1.0|2.0|2.0|3.0|3.0|3|3|5|5|5
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,13,4_2,0,4,db_weighted_crunch,2,13.0,12,4.0,7.0,7,5.166666666666667,5.0,4.0,7.0,3.0,,False,4.0|4.0|4.0|4.0|4.0|5.0|5.0|6|6|6|7|7
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,14,4_3,0,4,db_weighted_crunch,3,13.0,12,5.0,7.0,7,6.25,6.5,5.0,7.0,2.0,,False,5.0|5.0|5.0|6.0|6.0|6.0|7.0|7|7|7|7|7
