group,features,mean_abs_corr,max_abs_corr
progress,4,0.4439680972924608,0.5703888229831204
other,1,0.5461577764800839,0.5461577764800839
tut,6,0.25646240953450894,0.4806108349737731
load,3,0.24326081586384218,0.3056291667842354
waveform_intensity,40,0.07944273706629934,0.17011160889097557
fatigue_drift,8,0.07920177941391772,0.12634957947436104
variability,4,0.06264662029693661,0.1102591579183066
shape_trend,13,0.044620971679471,0.07348796244526867
similarity,4,0.06800367124470155,0.06944475421611199
waveform_shape,39,0.01804594935826156,0.06638880048225534
phase,3,0.0320713954837673,0.060434561333641286
