stage,model_type,n_subjects,n_test_rows,added_feature,added_feature_family,claim_role,selected_alpha_median,n_features_median,n,mae,rmse,r2,spearman,rounded_exact_acc,rounded_pm1_acc
M0_exercise_mean,exercise_mean,7,166,,,,,0.0,166,1.378714859437751,1.712787083201861,0.028944820866199428,0.24458606522404888,0.25301204819277107,0.6144578313253012
M1_exercise_plus_set_index,ridge,7,166,,,,1.0,9.0,166,1.3074492065383874,1.5758731189798993,0.1779851835244458,0.42365686406377834,0.21084337349397592,0.6144578313253012
M2_exercise_plus_cumulative_tut,ridge,7,166,,,,0.01,9.0,166,1.297264971492671,1.5735066109015503,0.18045218932114349,0.48243430974634066,0.23493975903614459,0.6204819277108434
M3_progression_control,ridge,7,166,,,,100.0,10.0,166,1.3230679826857528,1.5810433772906147,0.17258246320006143,0.4465969125787358,0.18674698795180722,0.608433734939759
M4_add_one__kg,ridge,7,166,kg,workload_dose,load control,100.0,11.0,166,1.2763315945947624,1.540753671762547,0.21421529094663627,0.4775251687521947,0.22289156626506024,0.6325301204819277
M4_add_one__n_reps,ridge,7,166,n_reps,workload_dose,volume control,100.0,11.0,166,1.303445168375982,1.576433681718246,0.177400272434589,0.4640480739250005,0.19879518072289157,0.6204819277108434
M4_add_one__total_tut_sec,ridge,7,166,total_tut_sec,workload_dose,single-set TUT,100.0,11.0,166,1.3577759504078242,1.626194120927317,0.12464962124864898,0.40811592628802484,0.20481927710843373,0.5843373493975904
M4_add_one__rep_duration_cv,ridge,7,166,rep_duration_cv,lowdim_set_trend,IMU trend,100.0,11.0,166,1.376104640489728,1.6578711523326546,0.09021515097844568,0.4005084275229469,0.20481927710843373,0.5662650602409639
M4_add_one__movement_rate_cv,ridge,7,166,movement_rate_cv,lowdim_set_trend,IMU trend,100.0,11.0,166,1.3037773425130774,1.5759093376529008,0.1779473979595887,0.42831887823236864,0.2289156626506024,0.6204819277108434
M4_add_one__gyro_diff_gain_last2_vs_first2,ridge,7,166,gyro_diff_gain_last2_vs_first2,lowdim_set_trend,IMU trend,100.0,11.0,166,1.3336889653648212,1.5966962860514027,0.1561178884111728,0.4291564377979005,0.1927710843373494,0.6024096385542169
M4_add_one__gyro_mag_diff_rms_slope,ridge,7,166,gyro_mag_diff_rms_slope,lowdim_set_trend,IMU trend,100.0,11.0,166,1.3486695401208821,1.6135866202861882,0.1381697793147435,0.41511295500294637,0.18072289156626506,0.6024096385542169
M4_add_one__sim_to_first_slope,ridge,7,166,sim_to_first_slope,lowdim_set_trend,IMU trend,100.0,11.0,166,1.2950074307996822,1.5651896619997303,0.1890929201333642,0.4588397090988303,0.19879518072289157,0.6506024096385542
M4_add_one__pca_diff_rms_mean,ridge,7,166,pca_diff_rms_mean,lowdim_set_trend,IMU trend,100.0,11.0,166,1.2583179080228335,1.5465170884106723,0.20832560839905678,0.46529840208024414,0.25301204819277107,0.608433734939759
