baseline_stage,candidate_stage,added_feature,family,claim_role,baseline_mae,candidate_mae,delta_mae_reduction,baseline_spearman,candidate_spearman,delta_spearman,baseline_pm1_acc,candidate_pm1_acc,delta_pm1_acc,best_progression_stage,best_progression_mae,delta_mae_vs_best_progression,best_progression_pm1_acc,delta_pm1_acc_vs_best_progression,n_test_rows,evidence_label
M3_progression_control,M4_add_one__kg,kg,load,load control,1.2188132572852366,1.1709916815310006,0.047821575754235957,0.7025478720454424,0.7218533396157836,0.019305467570341128,0.6755784061696658,0.6946015424164524,0.019023136246786643,M3_progression_control,1.2188132572852366,0.047821575754235957,0.6755784061696658,0.019023136246786643,1945,weak/mixed
M3_progression_control,M4_add_one__movement_rate,movement_rate,velocity_proxy,velocity proxy,1.2188132572852366,1.2018255876805124,0.016987669604724198,0.7025478720454424,0.7082132660778644,0.005665394032421944,0.6755784061696658,0.6817480719794344,0.006169665809768632,M3_progression_control,1.2188132572852366,0.016987669604724198,0.6755784061696658,0.006169665809768632,1945,weak/mixed
M3_progression_control,M4_add_one__pca_diff_rms,pca_diff_rms,imu_intensity,IMU intensity,1.2188132572852366,1.216665452177339,0.0021478051078975824,0.7025478720454424,0.7074656266399286,0.004917754594486179,0.6755784061696658,0.6760925449871465,0.0005141388174807471,M3_progression_control,1.2188132572852366,0.0021478051078975824,0.6755784061696658,0.0005141388174807471,1945,weak/mixed
M3_progression_control,M4_add_one__duration_gain_from_first2,duration_gain_from_first2,fatigue_drift,duration drift,1.2188132572852366,1.2176828945122005,0.001130362773036131,0.7025478720454424,0.7007929859349945,-0.0017548861104479396,0.6755784061696658,0.6755784061696658,0.0,M3_progression_control,1.2188132572852366,0.001130362773036131,0.6755784061696658,0.0,1945,weak/mixed
M3_progression_control,M4_add_one__sim_to_prev,sim_to_prev,waveform_similarity,waveform consistency,1.2188132572852366,1.2185338949059192,0.0002793623793173605,0.7025478720454424,0.7024023858395819,-0.0001454862058605233,0.6755784061696658,0.6740359897172237,-0.0015424164524421302,M3_progression_control,1.2188132572852366,0.0002793623793173605,0.6755784061696658,-0.0015424164524421302,1945,weak/mixed
M3_progression_control,M4_add_one__eccentric_sec,eccentric_sec,phase_tut,phase TUT,1.2188132572852366,1.2206414955445846,-0.0018282382593479696,0.7025478720454424,0.700209370191639,-0.002338501853803465,0.6755784061696658,0.6735218508997429,-0.0020565552699228773,M3_progression_control,1.2188132572852366,-0.0018282382593479696,0.6755784061696658,-0.0020565552699228773,1945,not_supported
M3_progression_control,M4_add_one__gyro_mag_diff_rms,gyro_mag_diff_rms,imu_intensity,gyro intensity,1.2188132572852366,1.2220818700996747,-0.003268612814438132,0.7025478720454424,0.6999818606035382,-0.00256601144190427,0.6755784061696658,0.6766066838046273,0.0010282776349614942,M3_progression_control,1.2188132572852366,-0.003268612814438132,0.6755784061696658,0.0010282776349614942,1945,not_supported
M3_progression_control,M4_add_one__similarity_std_so_far,similarity_std_so_far,variability,variability,1.2188132572852366,1.2227343692269323,-0.003921111941695754,0.7025478720454424,0.7010613959843397,-0.0014864760611027483,0.6755784061696658,0.6735218508997429,-0.0020565552699228773,M3_progression_control,1.2188132572852366,-0.003921111941695754,0.6755784061696658,-0.0020565552699228773,1945,not_supported
M3_progression_control,M4_add_one__n_reps,n_reps,set_context,set context,1.2188132572852366,1.2230823892406166,-0.004269131955380034,0.7025478720454424,0.7014621300375676,-0.0010857420078748126,0.6755784061696658,0.6755784061696658,0.0,M3_progression_control,1.2188132572852366,-0.004269131955380034,0.6755784061696658,0.0,1945,not_supported
M3_progression_control,M4_add_one__sim_to_first,sim_to_first,waveform_similarity,waveform consistency,1.2188132572852366,1.2241393836299237,-0.005326126344687099,0.7025478720454424,0.6997672849901883,-0.002780587055254191,0.6755784061696658,0.6745501285347044,-0.0010282776349613831,M3_progression_control,1.2188132572852366,-0.005326126344687099,0.6755784061696658,-0.0010282776349613831,1945,not_supported
M3_progression_control,M4_add_one__similarity_decay_from_first,similarity_decay_from_first,waveform_similarity,waveform decay,1.2188132572852366,1.2241393836299237,-0.005326126344687099,0.7025478720454424,0.6997672849901883,-0.002780587055254191,0.6755784061696658,0.6745501285347044,-0.0010282776349613831,M3_progression_control,1.2188132572852366,-0.005326126344687099,0.6755784061696658,-0.0010282776349613831,1945,not_supported
M3_progression_control,M4_add_one__rep_duration_sec,rep_duration_sec,rep_tut,single-rep TUT,1.2188132572852366,1.2246528407107802,-0.005839583425543582,0.7025478720454424,0.6993484756701692,-0.0031993963752732224,0.6755784061696658,0.6771208226221079,0.0015424164524421302,M3_progression_control,1.2188132572852366,-0.005839583425543582,0.6755784061696658,0.0015424164524421302,1945,not_supported
M3_progression_control,M4_add_one__concentric_sec,concentric_sec,phase_tut,phase TUT,1.2188132572852366,1.2248485860630085,-0.006035328777771909,0.7025478720454424,0.6984978101776542,-0.004050061867788224,0.6755784061696658,0.6786632390745502,0.0030848329048843715,M3_progression_control,1.2188132572852366,-0.006035328777771909,0.6755784061696658,0.0030848329048843715,1945,not_supported
M3_progression_control,M4_add_one__velocity_loss_proxy,velocity_loss_proxy,velocity_proxy,velocity loss,1.2188132572852366,1.228395359479216,-0.00958210219397948,0.7025478720454424,0.6979275675610781,-0.004620304484364346,0.6755784061696658,0.6760925449871465,0.0005141388174807471,M3_progression_control,1.2188132572852366,-0.00958210219397948,0.6755784061696658,0.0005141388174807471,1945,not_supported
M3_progression_control,M4_add_one__movement_rate_change_from_first2,movement_rate_change_from_first2,fatigue_drift,velocity drift,1.2188132572852366,1.228395359479216,-0.00958210219397948,0.7025478720454424,0.6979275675610781,-0.004620304484364346,0.6755784061696658,0.6760925449871465,0.0005141388174807471,M3_progression_control,1.2188132572852366,-0.00958210219397948,0.6755784061696658,0.0005141388174807471,1945,not_supported
M3_progression_control,M4_add_one__movement_rate_cv_so_far,movement_rate_cv_so_far,variability,variability,1.2188132572852366,1.2316238496730703,-0.012810592387833664,0.7025478720454424,0.6976410163309414,-0.004906855714501002,0.6755784061696658,0.6694087403598972,-0.006169665809768632,M3_progression_control,1.2188132572852366,-0.012810592387833664,0.6755784061696658,-0.006169665809768632,1945,not_supported
