stage,model_type,n_subjects,n_test_rows,added_feature,added_feature_family,claim_role,selected_alpha_median,n_features_median,n,mae,rmse,r2,spearman,rounded_exact_acc,rounded_pm1_acc
M0_exercise_mean,exercise_mean,7,1945,,,,,0.0,1945,1.733521290626087,2.162228355575098,-0.007500578485269083,0.09767598335910531,0.1928020565552699,0.5079691516709511
M1_exercise_plus_rep_progress,ridge,7,1945,,,,0.01,9.0,1945,1.4543791289380723,1.7709469263739797,0.3241453917636231,0.5620000673384334,0.19897172236503857,0.5748071979434447
M2_exercise_plus_cumulative_tut,ridge,7,1945,,,,0.01,9.0,1945,1.5731386679210273,1.938038139660153,0.1905932415683611,0.46321977980625734,0.18868894601542416,0.5542416452442159
M3_progression_control,ridge,7,1945,,,,100.0,11.0,1945,1.2188132572852366,1.5317989038413444,0.4943550244141959,0.7025478720454424,0.2565552699228792,0.6755784061696658
M4_add_one__kg,ridge,7,1945,kg,load,load control,100.0,12.0,1945,1.1709916815310006,1.485645263504533,0.5243665029466622,0.7218533396157836,0.2796915167095116,0.6946015424164524
M4_add_one__n_reps,ridge,7,1945,n_reps,set_context,set context,100.0,12.0,1945,1.2230823892406166,1.5340563439346333,0.4928635697126257,0.7014621300375676,0.25038560411311056,0.6755784061696658
M4_add_one__rep_duration_sec,ridge,7,1945,rep_duration_sec,rep_tut,single-rep TUT,1.0,12.0,1945,1.2246528407107802,1.5427051140620898,0.4871291382261541,0.6993484756701692,0.25604113110539845,0.6771208226221079
M4_add_one__concentric_sec,ridge,7,1945,concentric_sec,phase_tut,phase TUT,1.0,12.0,1945,1.2248485860630085,1.5461280691493429,0.484850696935868,0.6984978101776542,0.25398457583547557,0.6786632390745502
M4_add_one__eccentric_sec,ridge,7,1945,eccentric_sec,phase_tut,phase TUT,10.0,12.0,1945,1.2206414955445846,1.5398112354983042,0.4890514679397654,0.700209370191639,0.25295629820051413,0.6735218508997429
M4_add_one__movement_rate,ridge,7,1945,movement_rate,velocity_proxy,velocity proxy,0.1,12.0,1945,1.2018255876805124,1.5114962309301654,0.507669972484601,0.7082132660778644,0.25552699228791775,0.6817480719794344
M4_add_one__velocity_loss_proxy,ridge,7,1945,velocity_loss_proxy,velocity_proxy,velocity loss,100.0,12.0,1945,1.228395359479216,1.5418850396309314,0.48767425924342345,0.6979275675610781,0.25038560411311056,0.6760925449871465
M4_add_one__duration_gain_from_first2,ridge,7,1945,duration_gain_from_first2,fatigue_drift,duration drift,100.0,12.0,1945,1.2176828945122005,1.5375013866583382,0.49058325136345593,0.7007929859349945,0.25552699228791775,0.6755784061696658
M4_add_one__movement_rate_change_from_first2,ridge,7,1945,movement_rate_change_from_first2,fatigue_drift,velocity drift,100.0,12.0,1945,1.228395359479216,1.5418850396309314,0.48767425924342345,0.6979275675610781,0.25038560411311056,0.6760925449871465
M4_add_one__pca_diff_rms,ridge,7,1945,pca_diff_rms,imu_intensity,IMU intensity,100.0,12.0,1945,1.216665452177339,1.5184908150916812,0.5031028268614423,0.7074656266399286,0.24781491002570694,0.6760925449871465
M4_add_one__gyro_mag_diff_rms,ridge,7,1945,gyro_mag_diff_rms,imu_intensity,gyro intensity,10.0,12.0,1945,1.2220818700996747,1.5361240657983344,0.4914955315786321,0.6999818606035382,0.2570694087403599,0.6766066838046273
M4_add_one__sim_to_first,ridge,7,1945,sim_to_first,waveform_similarity,waveform consistency,10.0,12.0,1945,1.2241393836299237,1.5377926416292798,0.4903902314224243,0.6997672849901883,0.25398457583547557,0.6745501285347044
M4_add_one__sim_to_prev,ridge,7,1945,sim_to_prev,waveform_similarity,waveform consistency,100.0,12.0,1945,1.2185338949059192,1.5313717076588937,0.49463701897856516,0.7024023858395819,0.25398457583547557,0.6740359897172237
M4_add_one__similarity_decay_from_first,ridge,7,1945,similarity_decay_from_first,waveform_similarity,waveform decay,10.0,12.0,1945,1.2241393836299237,1.5377926416292798,0.4903902314224243,0.6997672849901883,0.25398457583547557,0.6745501285347044
M4_add_one__movement_rate_cv_so_far,ridge,7,1945,movement_rate_cv_so_far,variability,variability,0.01,12.0,1945,1.2316238496730703,1.5452503723130828,0.4854354047450662,0.6976410163309414,0.2519280205655527,0.6694087403598972
M4_add_one__similarity_std_so_far,ridge,7,1945,similarity_std_so_far,variability,variability,100.0,12.0,1945,1.2227343692269323,1.5363842609916825,0.4913232517126048,0.7010613959843397,0.2570694087403599,0.6735218508997429
