dataset,baseline_stage,candidate_stage,component,display_feature,source,baseline_mae,candidate_mae,delta_mae_reduction,baseline_spearman,candidate_spearman,delta_spearman,baseline_pm1_acc,candidate_pm1_acc,delta_pm1_acc,n_test_rows,n_subjects,evidence_label
imu_only_7subject_sets,M3_progression_control,M4_add_one__eccentric_wave_sim_to_first2_last_minus_first,CE phase similarity,eccentric wave similarity drift,IMU,1.3230679826857525,1.2803353197055685,0.04273266298018408,0.4465969125787358,0.4805494667687243,0.03395255418998849,0.608433734939759,0.6385542168674698,0.030120481927710774,166,7,weak/mixed
imu_only_7subject_sets,M3_progression_control,M4_add_one__eccentric_pca_range_mean,CE phase range,eccentric PCA range mean,IMU,1.3230679826857525,1.2939096645876866,0.029158318098065905,0.4465969125787358,0.45001527769547583,0.003418365116740041,0.608433734939759,0.6204819277108434,0.012048192771084376,166,7,weak/mixed
imu_only_7subject_sets,M3_progression_control,M4_add_one__eccentric_pca_movement_rate_mean,Phase movement rate,eccentric PCA movement rate mean,IMU,1.3230679826857525,1.2986097460400579,0.024458236645694686,0.4465969125787358,0.44859797195539713,0.0020010593766613405,0.608433734939759,0.6265060240963856,0.01807228915662651,166,7,weak/mixed
imu_only_7subject_sets,M3_progression_control,M4_add_one__concentric_gyro_diff_rms_last2,Concentric gyro,concentric gyro diff RMS last2,IMU,1.3230679826857525,1.3079553025752566,0.015112680110495935,0.4465969125787358,0.4513337327053321,0.0047368201265963195,0.608433734939759,0.6566265060240963,0.04819277108433728,166,7,weak/mixed
imu_only_7subject_sets,M3_progression_control,M4_add_one__concentric_sec_last2_vs_first2,Phase timing drift,concentric duration last2/first2,IMU,1.3230679826857525,1.3303872253425888,-0.007319242656836256,0.4465969125787358,0.43417378026701947,-0.012423132311716323,0.608433734939759,0.6204819277108434,0.012048192771084376,166,7,not_supported
imu_only_7subject_sets,M3_progression_control,M5_all_IMU_figure_components,All IMU figure components,CE/TUT/gyro/PCA/similarity group,IMU,1.3230679826857525,1.367336839148588,-0.044268856462835515,0.4465969125787358,0.3728475887295373,-0.07374932384919847,0.608433734939759,0.6204819277108434,0.012048192771084376,166,7,not_supported
imu_only_7subject_sets,M3_progression_control,M4_add_one__ce_ratio_slope,CE ratio drift,CE ratio slope,IMU,1.3230679826857525,1.4585215643137759,-0.13545358162802335,0.4465969125787358,0.3126408149207883,-0.13395609765794747,0.608433734939759,0.5783132530120482,-0.030120481927710885,166,7,not_supported
imu_vo2_overlap_sets,M3_progression_control,M4_add_one__eccentric_wave_sim_to_first2_last_minus_first,CE phase similarity,eccentric wave similarity drift,IMU,1.1291223957035421,1.011569695641825,0.11755270006171714,0.42762135400628665,0.5400753884546557,0.1124540344483691,0.71875,0.7395833333333334,0.02083333333333337,96,4,supported
imu_vo2_overlap_sets,M3_progression_control,M4_add_one__ce_ratio_slope,CE ratio drift,CE ratio slope,IMU,1.1291223957035421,1.0507086538211887,0.0784137418823534,0.42762135400628665,0.5494355555684142,0.12181420156212752,0.71875,0.7708333333333334,0.05208333333333337,96,4,supported
imu_vo2_overlap_sets,M3_progression_control,M5_all_IMU_figure_components,All IMU figure components,CE/TUT/gyro/PCA/similarity group,IMU,1.1291223957035421,1.07936855595222,0.04975383975132219,0.42762135400628665,0.4638320673171963,0.03621071331090964,0.71875,0.75,0.03125,96,4,weak/mixed
imu_vo2_overlap_sets,M3_progression_control,M4_add_one__concentric_gyro_diff_rms_last2,Concentric gyro,concentric gyro diff RMS last2,IMU,1.1291223957035421,1.114610602839439,0.014511792864103201,0.42762135400628665,0.46818902706502596,0.04056767305873932,0.71875,0.7083333333333334,-0.01041666666666663,96,4,weak/mixed
imu_vo2_overlap_sets,M3_progression_control,M4_add_one__eccentric_pca_range_mean,CE phase range,eccentric PCA range mean,IMU,1.1291223957035421,1.1192058819354396,0.009916513768102542,0.42762135400628665,0.4311861392545109,0.0035647852482242337,0.71875,0.6979166666666666,-0.02083333333333337,96,4,weak/mixed
imu_vo2_overlap_sets,M3_progression_control,M6_all_IMU_plus_VO2_figure_components,All IMU + VO2 figure components,all figure components,IMU+VO2,1.1291223957035421,1.1359618862316765,-0.006839490528134373,0.42762135400628665,0.4247375608717583,-0.0028837931345283563,0.71875,0.7083333333333334,-0.01041666666666663,96,4,not_supported
imu_vo2_overlap_sets,M3_progression_control,M4_add_one__eccentric_pca_movement_rate_mean,Phase movement rate,eccentric PCA movement rate mean,IMU,1.1291223957035421,1.1393087521202616,-0.0101863564167195,0.42762135400628665,0.40509302306136835,-0.022528330944918296,0.71875,0.6979166666666666,-0.02083333333333337,96,4,not_supported
imu_vo2_overlap_sets,M3_progression_control,M4_add_one__concentric_sec_last2_vs_first2,Phase timing drift,concentric duration last2/first2,IMU,1.1291223957035421,1.155336537867973,-0.026214142164430854,0.42762135400628665,0.46321361529557453,0.035592261289287885,0.71875,0.6875,-0.03125,96,4,weak/mixed
imu_vo2_overlap_sets,M3_progression_control,M4_add_one__vo2_slope_lag45,Delayed VO2,VO2 slope at 45s,VO2,1.1291223957035421,1.1778203524878885,-0.04869795678434641,0.42762135400628665,0.3432200253027155,-0.08440132870357114,0.71875,0.6979166666666666,-0.02083333333333337,96,4,not_supported
imu_vo2_overlap_sets,M3_progression_control,M4_add_one__vo2_mean_delta_subject_min_lag10,VO2 baseline delta,VO2 mean delta at 10s,VO2,1.1291223957035421,1.21429553939191,-0.08517314368836781,0.42762135400628665,0.28917148795244585,-0.1384498660538408,0.71875,0.6666666666666666,-0.05208333333333337,96,4,not_supported
