dataset,stage,model_type,n_subjects,n_test_rows,component,display_feature,source,selected_alpha_median,n_features_median,n,mae,rmse,r2,spearman,rounded_exact_acc,rounded_pm1_acc
imu_only_7subject_sets,M0_exercise_mean,exercise_mean,7,166,,,,,0.0,166,1.378714859437751,1.712787083201861,0.028944820866199428,0.24458606522404888,0.25301204819277107,0.6144578313253012
imu_only_7subject_sets,M1_exercise_plus_set_index,ridge,7,166,Set progression,set index,progression,1.0,9.0,166,1.3074492065383874,1.5758731189798993,0.1779851835244458,0.42365686406377834,0.21084337349397592,0.6144578313253012
imu_only_7subject_sets,M2_exercise_plus_accumulated_TUT,ridge,7,166,Accumulated TUT,cumulative active time,IMU,0.01,9.0,166,1.297264971492671,1.57350661090155,0.1804521893211436,0.48243430974634066,0.23493975903614459,0.6204819277108434
imu_only_7subject_sets,M3_progression_control,ridge,7,166,Progression control,set index + cumulative active time,progression,100.0,10.0,166,1.3230679826857525,1.5810433772906145,0.17258246320006165,0.4465969125787358,0.18674698795180722,0.608433734939759
imu_only_7subject_sets,M4_add_one__eccentric_pca_range_mean,ridge,7,166,CE phase range,eccentric PCA range mean,IMU,100.0,11.0,166,1.2939096645876866,1.5620898363889655,0.19230170876639885,0.45001527769547583,0.21084337349397592,0.6204819277108434
imu_only_7subject_sets,M4_add_one__concentric_gyro_diff_rms_last2,ridge,7,166,Concentric gyro,concentric gyro diff RMS last2,IMU,100.0,11.0,166,1.3079553025752566,1.5694939053987658,0.18462682798021457,0.4513337327053321,0.19879518072289157,0.6566265060240963
imu_only_7subject_sets,M4_add_one__eccentric_pca_movement_rate_mean,ridge,7,166,Phase movement rate,eccentric PCA movement rate mean,IMU,100.0,11.0,166,1.2986097460400579,1.5682661349480604,0.18590201550520824,0.44859797195539713,0.21084337349397592,0.6265060240963856
imu_only_7subject_sets,M4_add_one__concentric_sec_last2_vs_first2,ridge,7,166,Phase timing drift,concentric duration last2/first2,IMU,100.0,11.0,166,1.3303872253425888,1.6098747385015557,0.1421303134028612,0.43417378026701947,0.1686746987951807,0.6204819277108434
imu_only_7subject_sets,M4_add_one__ce_ratio_slope,ridge,7,166,CE ratio drift,CE ratio slope,IMU,100.0,11.0,166,1.4585215643137759,1.747280221044685,-0.010560391548869008,0.3126408149207883,0.1566265060240964,0.5783132530120482
imu_only_7subject_sets,M4_add_one__eccentric_wave_sim_to_first2_last_minus_first,ridge,7,166,CE phase similarity,eccentric wave similarity drift,IMU,100.0,11.0,166,1.2803353197055685,1.5597333363686963,0.19473678688683782,0.4805494667687243,0.21084337349397592,0.6385542168674698
