dataset,fold,train_subjects,val_subject,test_subject,n_train_subjects
imu_only_7subject_sets,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,5
imu_only_7subject_sets,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,5
imu_only_7subject_sets,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,5
imu_only_7subject_sets,4,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yushuan0513workout|ziho0512workout,yoru0511workout,yanz0510workout,5
imu_only_7subject_sets,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,5
imu_only_7subject_sets,6,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|yoru0511workout,ziho0512workout,yushuan0513workout,5
imu_only_7subject_sets,7,hsianshun0514workout|tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout,haoyu0512workout,ziho0512workout,5
imu_vo2_overlap_sets,1,yoru0511workout|yushuan0513workout,yanz0510workout,haoyu0512workout,2
imu_vo2_overlap_sets,2,haoyu0512workout|yushuan0513workout,yoru0511workout,yanz0510workout,2
imu_vo2_overlap_sets,3,haoyu0512workout|yanz0510workout,yushuan0513workout,yoru0511workout,2
imu_vo2_overlap_sets,4,yanz0510workout|yoru0511workout,haoyu0512workout,yushuan0513workout,2
