stage,fold,train_subjects,val_subject,test_subject,selected_alpha,val_selection_mae,n_features,val_n,val_mae,val_rmse,val_r2,val_spearman,val_rounded_exact_acc,val_rounded_pm1_acc,test_n,test_mae,test_rmse,test_r2,test_spearman,test_rounded_exact_acc,test_rounded_pm1_acc
Exercise only,1,yoru0511workout|yushuan0513workout,yanz0510workout,haoyu0512workout,,1.4236111111111114,0,24,1.4236111111111114,1.5844294451526288,-0.24226804123711365,0.21019233550035915,0.08333333333333333,0.5,24,1.4236111111111114,1.6530695354064477,-1.7517482517482517,0.3766598367417936,0.08333333333333333,0.5833333333333334
Exercise only,2,haoyu0512workout|yushuan0513workout,yoru0511workout,yanz0510workout,,1.9513888888888886,0,24,1.9513888888888886,2.415948169054037,-1.728896103896104,0.1585746991634606,0.16666666666666666,0.4166666666666667,24,1.2986111111111112,1.6383002709447916,-0.3281786941580753,-0.0006758595996796115,0.25,0.6666666666666666
Exercise only,3,haoyu0512workout|yanz0510workout,yushuan0513workout,yoru0511workout,,1.097222222222222,0,24,1.097222222222222,1.3359349618234497,0.1594439901880622,0.3154534996778317,0.2916666666666667,0.7083333333333334,24,1.7916666666666667,2.196904387744011,-1.2564935064935066,0.4412605628806426,0.20833333333333334,0.4583333333333333
Exercise only,4,yanz0510workout|yoru0511workout,haoyu0512workout,yushuan0513workout,,1.6111111111111114,0,24,1.6111111111111114,1.8352262954621035,-2.3916083916083917,0.22830366472095587,0.125,0.4166666666666667,24,1.4444444444444446,1.8047006523089764,-0.5339329517579725,0.14071155149317635,0.16666666666666666,0.5833333333333334
TUT,1,yoru0511workout|yushuan0513workout,yanz0510workout,haoyu0512workout,0.01,1.0536955667455732,9,24,1.0536955667455732,1.2416707838744583,0.23707397829571364,0.7031599197128546,0.16666666666666666,0.6666666666666666,24,1.0710381778612732,1.3281781171303702,-0.7763931745360311,0.5890181674619913,0.20833333333333334,0.7916666666666666
TUT,2,haoyu0512workout|yushuan0513workout,yoru0511workout,yanz0510workout,0.01,1.5777121402151515,9,24,1.5777121402151515,1.9863115421707964,-0.8446182796388753,0.48623465001102073,0.25,0.5,24,1.01155578836066,1.283039960715324,0.1853897530099563,0.4714418184033055,0.375,0.75
TUT,3,haoyu0512workout|yanz0510workout,yushuan0513workout,yoru0511workout,10.0,0.9749923177835248,9,24,0.9749923177835248,1.1826951499792346,0.34121810053653556,0.5892517183636079,0.3333333333333333,0.7916666666666666,24,1.4398366440043253,1.786907962427342,-0.49284990107408433,0.6252222714296961,0.2916666666666667,0.5
TUT,4,yanz0510workout|yoru0511workout,haoyu0512workout,yushuan0513workout,10.0,0.9463079328182126,9,24,0.9463079328182126,1.2641266254812935,-0.6091910631895385,0.5445434992005886,0.4166666666666667,0.75,24,1.0024334953985836,1.4543685845907022,0.0038035352490983776,0.5028576694305977,0.4583333333333333,0.7916666666666666
Rep similarity,1,yoru0511workout|yushuan0513workout,yanz0510workout,haoyu0512workout,0.01,1.059123496171549,9,24,1.059123496171549,1.3167339566111527,0.14204289691074923,0.3571394152621267,0.2916666666666667,0.6666666666666666,24,1.1272960103048055,1.3978524719127814,-0.9676558096888455,0.3720685661868564,0.3333333333333333,0.625
Rep similarity,2,haoyu0512workout|yushuan0513workout,yoru0511workout,yanz0510workout,100.0,1.9615186012509556,9,24,1.9615186012509556,2.3543659625871878,-1.5915507414078887,0.17539971393091616,0.125,0.4166666666666667,24,1.2198258842289051,1.4946184039264918,-0.10542721980491909,-0.05381552832716978,0.16666666666666666,0.6666666666666666
Rep similarity,3,haoyu0512workout|yanz0510workout,yushuan0513workout,yoru0511workout,0.01,1.140323635023348,9,24,1.140323635023348,1.3664938608793198,0.12054950795681019,0.4031722283540475,0.2916666666666667,0.625,24,1.3930983901304181,1.716651343350774,-0.37776761099491707,0.36634117466583754,0.20833333333333334,0.5833333333333334
Rep similarity,4,yanz0510workout|yoru0511workout,haoyu0512workout,yushuan0513workout,0.01,1.2801019684441994,9,24,1.2801019684441994,1.528040952131191,-1.3512371874137026,0.3492888580529672,0.2916666666666667,0.5416666666666666,24,1.2715907686706582,1.6363703677522836,-0.2611282066587577,0.19671260372439242,0.20833333333333334,0.7083333333333334
VO2 delay45s,1,yoru0511workout|yushuan0513workout,yanz0510workout,haoyu0512workout,100.0,1.3331301826444382,9,24,1.3331301826444382,1.5938375953501942,-0.25706471605032033,0.028464411677180706,0.16666666666666666,0.625,24,1.3615614566008931,1.4643487145743517,-1.1593123827558038,0.43444157655345755,0.08333333333333333,0.5416666666666666
VO2 delay45s,2,haoyu0512workout|yushuan0513workout,yoru0511workout,yanz0510workout,10.0,1.8618649167400108,9,24,1.8618649167400108,2.27379625049572,-1.4172127012423674,0.2500000985901412,0.041666666666666664,0.4166666666666667,24,1.301056746459624,1.634328315279516,-0.32174633012340514,-0.0071161029192951765,0.25,0.6666666666666666
VO2 delay45s,3,haoyu0512workout|yanz0510workout,yushuan0513workout,yoru0511workout,0.01,1.0993105292679777,9,24,1.0993105292679777,1.3399479847373679,0.15438650315797342,0.26316956444209255,0.2916666666666667,0.7083333333333334,24,1.7776151991622207,2.1735901545013605,-1.2088544123484284,0.452930906859581,0.20833333333333334,0.4583333333333333
VO2 delay45s,4,yanz0510workout|yoru0511workout,haoyu0512workout,yushuan0513workout,100.0,1.5525413839406548,9,24,1.5525413839406548,1.6780768719905554,-1.835633890325758,0.2842039776704267,0.08333333333333333,0.375,24,1.4200993009235197,1.6991325294419315,-0.3597232862649682,0.15107882403157163,0.20833333333333334,0.5833333333333334
TUT + Rep similarity,1,yoru0511workout|yushuan0513workout,yanz0510workout,haoyu0512workout,0.01,0.772465546067285,10,24,0.772465546067285,0.9756304868120966,0.5289790448838555,0.7600887430672161,0.375,0.7916666666666666,24,0.9828099134210054,1.223820622972352,-0.5082106019481869,0.5629842153089751,0.375,0.7916666666666666
TUT + Rep similarity,2,haoyu0512workout|yushuan0513workout,yoru0511workout,yanz0510workout,100.0,1.8559325311078823,10,24,1.8559325311078823,2.2316093556911625,-1.3283492388402558,0.46980480338964375,0.125,0.4583333333333333,24,1.122889469850295,1.3802723968623596,0.05724442579455835,0.3735954032629968,0.16666666666666666,0.75
TUT + Rep similarity,3,haoyu0512workout|yanz0510workout,yushuan0513workout,yoru0511workout,1.0,1.013402153239921,10,24,1.013402153239921,1.2365675364857953,0.2798355021755059,0.5276682680985391,0.25,0.7916666666666666,24,1.1041295429245361,1.3600599505054483,0.13517570801454848,0.6567498149463924,0.375,0.6666666666666666
TUT + Rep similarity,4,yanz0510workout|yoru0511workout,haoyu0512workout,yushuan0513workout,10.0,0.9166685064494384,10,24,0.9166685064494384,1.155254608171539,-0.34394616920997834,0.5651537113217264,0.375,0.8333333333333334,24,0.9843350272365736,1.4219826980857124,0.04767617240772648,0.4780470707626563,0.5,0.7083333333333334
TUT + VO2 delay45s,1,yoru0511workout|yushuan0513workout,yanz0510workout,haoyu0512workout,100.0,1.2037654061859568,10,24,1.2037654061859568,1.4684094984300327,-0.06699865818368989,0.43497179094191774,0.25,0.625,24,1.1190086486504933,1.2300299655829317,-0.5235539520097934,0.6009503955321237,0.08333333333333333,0.75
TUT + VO2 delay45s,2,haoyu0512workout|yushuan0513workout,yoru0511workout,yanz0510workout,0.01,1.4927862354745731,10,24,1.4927862354745731,1.8380494210600509,-0.5795236918614388,0.5466254375922982,0.16666666666666666,0.5416666666666666,24,1.1449515337081342,1.406177347441157,0.021525080846194533,0.40739689212964886,0.25,0.7083333333333334
TUT + VO2 delay45s,3,haoyu0512workout|yanz0510workout,yushuan0513workout,yoru0511workout,10.0,0.9755588791992754,10,24,0.9755588791992754,1.1854760781389393,0.3381164069176974,0.5852643007205459,0.3333333333333333,0.7916666666666666,24,1.4298713628624864,1.7695413957450032,-0.4639735460413801,0.6509771661334762,0.2916666666666667,0.5
TUT + VO2 delay45s,4,yanz0510workout|yoru0511workout,haoyu0512workout,yushuan0513workout,10.0,0.931162947906261,10,24,0.931162947906261,1.232223465151764,-0.5289926727424434,0.5521367352452183,0.4583333333333333,0.8333333333333334,24,1.0014718528941415,1.4547524667610372,0.003277571562339987,0.49798415897796633,0.4583333333333333,0.7916666666666666
Rep similarity + VO2 delay45s,1,yoru0511workout|yushuan0513workout,yanz0510workout,haoyu0512workout,0.01,1.1891668839184049,10,24,1.1891668839184049,1.4695076866595047,-0.06859522036356425,0.24861884574287527,0.25,0.6666666666666666,24,1.0634159917837378,1.3138537097168497,-0.7382829801209008,0.39810251833987254,0.3333333333333333,0.7083333333333334
Rep similarity + VO2 delay45s,2,haoyu0512workout|yushuan0513workout,yoru0511workout,yanz0510workout,100.0,1.9038382612095959,10,24,1.9038382612095959,2.27361279802591,-1.4168226700324613,0.29307293973267,0.125,0.4166666666666667,24,1.2274739182379677,1.5110389278095078,-0.1298500493306589,-0.028909168109636656,0.20833333333333334,0.6666666666666666
