scheme,class,support,correct,recall_class_accuracy,precision,f1
3class_low_mod_high,1-5,10,0,0.0,0.0,0.0
3class_low_mod_high,6-7,34,19,0.5588235294117647,0.5428571428571428,0.5507246376811593
3class_low_mod_high,8-10,52,43,0.8269230769230769,0.7288135593220338,0.7747747747747747
3class_mid_high_very_high_exclude_lt5,5-6,22,7,0.3181818181818182,0.5833333333333334,0.4117647058823529
3class_mid_high_very_high_exclude_lt5,7-8,35,30,0.8571428571428571,0.46153846153846156,0.6
3class_mid_high_very_high_exclude_lt5,9-10,37,14,0.3783783783783784,0.8235294117647058,0.5185185185185186
5class_pairs,3-4,2,0,0.0,0.0,0.0
5class_pairs,5-6,22,7,0.3181818181818182,0.5,0.3888888888888889
5class_pairs,7-8,35,30,0.8571428571428571,0.46153846153846156,0.6
5class_pairs,9-10,37,14,0.3783783783783784,0.8235294117647058,0.5185185185185186
