stage,class,support,correct,recall_class_accuracy,precision,f1
M0_exercise_mean,1-2,207,0,0.0,0.0,0.0
M0_exercise_mean,3-4,367,3,0.008174386920980926,0.08333333333333333,0.014888337468982629
M0_exercise_mean,5-6,733,717,0.9781718963165075,0.3755893137768465,0.5427706283118849
M0_exercise_mean,7-8,497,0,0.0,0.0,0.0
M0_exercise_mean,9-10,141,0,0.0,0.0,0.0
M1_exercise_plus_rep_progress,1-2,207,0,0.0,0.0,0.0
M1_exercise_plus_rep_progress,3-4,367,144,0.3923705722070845,0.26865671641791045,0.31893687707641194
M1_exercise_plus_rep_progress,5-6,733,408,0.5566166439290586,0.43729903536977494,0.489795918367347
M1_exercise_plus_rep_progress,7-8,497,194,0.3903420523138833,0.40756302521008403,0.39876670092497435
M1_exercise_plus_rep_progress,9-10,141,0,0.0,0.0,0.0
M2_exercise_plus_cumulative_tut,1-2,207,0,0.0,0.0,0.0
M2_exercise_plus_cumulative_tut,3-4,367,117,0.3188010899182561,0.26651480637813213,0.2903225806451613
M2_exercise_plus_cumulative_tut,5-6,733,490,0.6684856753069577,0.4206008583690987,0.5163329820864068
M2_exercise_plus_cumulative_tut,7-8,497,111,0.22334004024144868,0.3651315789473684,0.27715355805243447
M2_exercise_plus_cumulative_tut,9-10,141,7,0.04964539007092199,0.1891891891891892,0.07865168539325842
M3_progression_control,1-2,207,61,0.2946859903381642,0.8133333333333334,0.4326241134751772
M3_progression_control,3-4,367,197,0.5367847411444142,0.38551859099804303,0.44874715261959
M3_progression_control,5-6,733,421,0.5743519781718963,0.52625,0.5492498369210698
M3_progression_control,7-8,497,219,0.44064386317907445,0.4781659388646288,0.4586387434554974
M3_progression_control,9-10,141,37,0.2624113475177305,0.36633663366336633,0.3057851239669422
M4_add_one__kg,1-2,207,75,0.36231884057971014,0.8333333333333334,0.5050505050505051
M4_add_one__kg,3-4,367,218,0.5940054495912807,0.4074766355140187,0.48337028824833694
M4_add_one__kg,5-6,733,434,0.592087312414734,0.5331695331695332,0.5610859728506787
M4_add_one__kg,7-8,497,210,0.4225352112676056,0.49411764705882355,0.4555314533622559
M4_add_one__kg,9-10,141,32,0.22695035460992907,0.3950617283950617,0.2882882882882883
M4_add_one__n_reps,1-2,207,61,0.2946859903381642,0.8026315789473685,0.431095406360424
M4_add_one__n_reps,3-4,367,194,0.5286103542234333,0.381139489194499,0.4429223744292238
M4_add_one__n_reps,5-6,733,420,0.572987721691678,0.5223880597014925,0.5465191932335719
M4_add_one__n_reps,7-8,497,213,0.42857142857142855,0.47019867549668876,0.44842105263157894
M4_add_one__n_reps,9-10,141,37,0.2624113475177305,0.3592233009708738,0.30327868852459017
M4_add_one__rep_duration_sec,1-2,207,64,0.30917874396135264,0.8,0.44599303135888496
M4_add_one__rep_duration_sec,3-4,367,194,0.5286103542234333,0.3856858846918489,0.44597701149425284
M4_add_one__rep_duration_sec,5-6,733,418,0.5702592087312415,0.5251256281407035,0.5467625899280575
M4_add_one__rep_duration_sec,7-8,497,224,0.4507042253521127,0.4817204301075269,0.4656964656964657
