stage,n,five_class_accuracy,five_class_macro_f1,five_class_weighted_f1,true_distribution,pred_distribution
M4_add_one__kg,1945,0.4982005141388175,0.458665301560013,0.49371010252022185,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 90, ""3-4"": 535, ""5-6"": 814, ""7-8"": 425, ""9-10"": 81}"
M4_add_one__rep_duration_sec,1945,0.4817480719794344,0.44204284448892067,0.4788369897467499,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 80, ""3-4"": 503, ""5-6"": 796, ""7-8"": 465, ""9-10"": 101}"
M4_add_one__duration_gain_from_first2,1945,0.48123393316195373,0.4411518551076307,0.4777542282294146,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 79, ""3-4"": 501, ""5-6"": 801, ""7-8"": 463, ""9-10"": 101}"
M3_progression_control,1945,0.480719794344473,0.4390089940876553,0.4770707891725534,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 75, ""3-4"": 511, ""5-6"": 800, ""7-8"": 458, ""9-10"": 101}"
M4_add_one__similarity_std_so_far,1945,0.47917737789203085,0.440164273910071,0.47632231433862265,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 77, ""3-4"": 510, ""5-6"": 803, ""7-8"": 457, ""9-10"": 98}"
M4_add_one__gyro_mag_diff_rms,1945,0.4786632390745501,0.436262417271888,0.4751168319844432,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 83, ""3-4"": 506, ""5-6"": 801, ""7-8"": 462, ""9-10"": 93}"
M4_add_one__concentric_sec,1945,0.47763496143958867,0.4392513018107869,0.47494683128264714,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 82, ""3-4"": 510, ""5-6"": 794, ""7-8"": 460, ""9-10"": 99}"
M4_add_one__sim_to_first,1945,0.477120822622108,0.43539704968447285,0.47383538889054827,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 78, ""3-4"": 518, ""5-6"": 786, ""7-8"": 463, ""9-10"": 100}"
M4_add_one__similarity_decay_from_first,1945,0.477120822622108,0.43539704968447285,0.47383538889054827,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 78, ""3-4"": 518, ""5-6"": 786, ""7-8"": 463, ""9-10"": 100}"
M4_add_one__eccentric_sec,1945,0.477120822622108,0.4338958100615936,0.47320437707491303,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 78, ""3-4"": 510, ""5-6"": 798, ""7-8"": 460, ""9-10"": 99}"
M4_add_one__velocity_loss_proxy,1945,0.47660668380462723,0.43461444768185287,0.47286612784873266,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 76, ""3-4"": 507, ""5-6"": 799, ""7-8"": 463, ""9-10"": 100}"
M4_add_one__movement_rate_change_from_first2,1945,0.47660668380462723,0.43461444768185287,0.47286612784873266,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 76, ""3-4"": 507, ""5-6"": 799, ""7-8"": 463, ""9-10"": 100}"
M4_add_one__movement_rate,1945,0.47609254498714654,0.4416133580661252,0.474048500721593,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 84, ""3-4"": 508, ""5-6"": 791, ""7-8"": 466, ""9-10"": 96}"
M4_add_one__movement_rate_cv_so_far,1945,0.47609254498714654,0.43610656918495116,0.47283756360026913,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 72, ""3-4"": 499, ""5-6"": 793, ""7-8"": 475, ""9-10"": 106}"
M4_add_one__n_reps,1945,0.4755784061696658,0.4344473430358777,0.47198734571321493,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 76, ""3-4"": 509, ""5-6"": 804, ""7-8"": 453, ""9-10"": 103}"
M4_add_one__sim_to_prev,1945,0.4750642673521851,0.43343228517345744,0.4713112020341675,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 77, ""3-4"": 508, ""5-6"": 804, ""7-8"": 455, ""9-10"": 101}"
M4_add_one__pca_diff_rms,1945,0.4735218508997429,0.43118025970899304,0.47042718408416934,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 79, ""3-4"": 513, ""5-6"": 794, ""7-8"": 461, ""9-10"": 98}"
M1_exercise_plus_rep_progress,1945,0.38354755784061695,0.24149989927374663,0.34666184699743996,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 0, ""3-4"": 536, ""5-6"": 933, ""7-8"": 476, ""9-10"": 0}"
M2_exercise_plus_cumulative_tut,1945,0.37275064267352187,0.2324921612354522,0.3258898040918353,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 0, ""3-4"": 439, ""5-6"": 1165, ""7-8"": 304, ""9-10"": 37}"
M0_exercise_mean,1945,0.37017994858611825,0.11153179315617352,0.20735984082453895,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 0, ""3-4"": 36, ""5-6"": 1909, ""7-8"": 0, ""9-10"": 0}"
