stage,n,accuracy,balanced_accuracy,macro_f1,weighted_f1,true_distribution,pred_distribution
progression_kg_drift__balanced_logistic_C1,1945,0.46632390745501284,0.5378799652847988,0.4759556642271468,0.4626995546424334,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 327, ""3-4"": 384, ""5-6"": 495, ""7-8"": 475, ""9-10"": 264}"
progression_kg__balanced_logistic_C1,1945,0.46580976863753215,0.5398221566190392,0.4766439030468604,0.46251522295771297,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 322, ""3-4"": 414, ""5-6"": 512, ""7-8"": 426, ""9-10"": 271}"
progression_kg_motion__balanced_logistic_C1,1945,0.45449871465295627,0.5307912770263801,0.46648955491698996,0.45065578574006165,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 330, ""3-4"": 409, ""5-6"": 504, ""7-8"": 434, ""9-10"": 268}"
progression_kg__rf_depth5,1945,0.45089974293059126,0.5237874440622011,0.4713512234482091,0.45116844991009225,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 210, ""3-4"": 471, ""5-6"": 539, ""7-8"": 391, ""9-10"": 334}"
progression_kg__balanced_logistic_C0.1,1945,0.4473007712082262,0.5356197304687782,0.45350959650788286,0.44259362182481504,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 359, ""3-4"": 399, ""5-6"": 486, ""7-8"": 371, ""9-10"": 330}"
progression_kg_motion__rf_depth5,1945,0.44627249357326476,0.5154582210981316,0.46470636666465925,0.44749805553014843,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 208, ""3-4"": 442, ""5-6"": 567, ""7-8"": 394, ""9-10"": 334}"
all_numeric_compact__balanced_logistic_C1,1945,0.44267352185089975,0.5290504088981014,0.45887744118058327,0.4331582065543584,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 333, ""3-4"": 372, ""5-6"": 426, ""7-8"": 541, ""9-10"": 273}"
progression_kg_drift__balanced_logistic_C0.1,1945,0.43958868894601544,0.5303172297332128,0.4475949284710964,0.43405724252806915,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 370, ""3-4"": 384, ""5-6"": 429, ""7-8"": 438, ""9-10"": 324}"
progression_kg_drift__rf_depth5,1945,0.4370179948586118,0.5100989460453123,0.45684630764419054,0.4367793481204488,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 212, ""3-4"": 401, ""5-6"": 566, ""7-8"": 422, ""9-10"": 344}"
progression_kg_motion__balanced_logistic_C0.1,1945,0.43444730077120824,0.5249549003656411,0.4441118818149487,0.42868452617775166,"{""1-2"": 207, ""3-4"": 367, ""5-6"": 733, ""7-8"": 497, ""9-10"": 141}","{""1-2"": 361, ""3-4"": 399, ""5-6"": 472, ""7-8"": 397, ""9-10"": 316}"
