stage,fold,train_subjects,val_subject,test_subject,val_accuracy,val_macro_f1,val_balanced_accuracy,test_accuracy,test_macro_f1,test_balanced_accuracy,n_features
exercise_mode_baseline,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.3383458646616541,0.10112359550561797,0.2,0.3633217993079585,0.10659898477157362,0.2,0
progression_kg__balanced_logistic_C0.1,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.556390977443609,0.5747851074462769,0.6390810359231411,0.4290657439446367,0.4563882440694035,0.5457417582417582,4
progression_kg__balanced_logistic_C1,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.5601503759398496,0.595683370587089,0.6384502923976608,0.43944636678200694,0.4659279771293664,0.5466483516483517,4
progression_kg__extra_trees_depth4,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.4774436090225564,0.4669198255095222,0.614469507101086,0.42560553633217996,0.42705026563425597,0.5615476190476191,4
progression_kg__extra_trees_depth6,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.518796992481203,0.5168763464360755,0.6348913951545531,0.45674740484429066,0.46579873065280175,0.5696703296703297,4
progression_kg__rf_depth5,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.5075187969924813,0.5253119890799887,0.5803049289891395,0.532871972318339,0.5646683597539999,0.6051785714285713,4
progression_kg_motion__balanced_logistic_C0.1,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.5263157894736842,0.5514289038285058,0.6181954887218046,0.42560553633217996,0.44651009873626935,0.5351465201465201,9
progression_kg_motion__balanced_logistic_C1,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.5338345864661654,0.571928637312278,0.622297410192147,0.4359861591695502,0.45902590634516727,0.5423397435897436,9
progression_kg_motion__extra_trees_depth4,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.5037593984962406,0.49320204567323966,0.6331328320802005,0.40484429065743943,0.40580060145561586,0.5387591575091575,9
progression_kg_motion__extra_trees_depth6,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.5375939849624061,0.5298608840942937,0.6504469507101087,0.4602076124567474,0.4659295953949189,0.573228021978022,9
progression_kg_motion__rf_depth5,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.5037593984962406,0.5330631863318488,0.5738805346700083,0.5640138408304498,0.5900836010079707,0.6226510989010989,9
progression_kg_drift__balanced_logistic_C0.1,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.5413533834586466,0.5505682364925624,0.6079448621553885,0.44982698961937717,0.4682767770732325,0.5631227106227106,8
progression_kg_drift__balanced_logistic_C1,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.5451127819548872,0.5552502213490103,0.6023266499582288,0.4844290657439446,0.5015633115832864,0.5811126373626374,8
progression_kg_drift__extra_trees_depth4,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.49624060150375937,0.4849130526777586,0.6301461988304095,0.4117647058823529,0.41254856651083066,0.5527380952380953,8
progression_kg_drift__extra_trees_depth6,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.5413533834586466,0.5343757863259915,0.6509231411862991,0.47058823529411764,0.47680153851600887,0.5790750915750915,8
progression_kg_drift__rf_depth5,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.4774436090225564,0.5068766349515013,0.5596616541353383,0.5813148788927336,0.601871952530216,0.642651098901099,8
all_numeric_compact__balanced_logistic_C0.1,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.5112781954887218,0.520239585974131,0.5994862155388472,0.45674740484429066,0.46905013125366357,0.5573580586080585,20
all_numeric_compact__balanced_logistic_C1,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.4924812030075188,0.5021854763410741,0.5813533834586466,0.4602076124567474,0.481934926912343,0.5694322344322345,20
all_numeric_compact__extra_trees_depth4,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.4548872180451128,0.445633843909662,0.5993901420217209,0.40484429065743943,0.41112746248358717,0.5514423076923076,20
all_numeric_compact__extra_trees_depth6,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.5,0.49800714689590403,0.629298245614035,0.45674740484429066,0.46240659171410237,0.5724908424908425,20
all_numeric_compact__rf_depth5,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.462406015037594,0.492506268859705,0.5709732664995822,0.5086505190311419,0.5274851005410643,0.5823397435897436,20
exercise_mode_baseline,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.35231316725978645,0.1267930137495355,0.19931389365351632,0.29699248120300753,0.10494565217391305,0.17825396825396825,0
progression_kg__balanced_logistic_C0.1,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.3665480427046263,0.35423071490368485,0.47758739534180294,0.575187969924812,0.5736602754843965,0.6504594820384294,4
progression_kg__balanced_logistic_C1,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.39501779359430605,0.3803472739820566,0.5020851968578539,0.6015037593984962,0.6142716356205903,0.6877986633249792,4
progression_kg__extra_trees_depth4,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.3167259786476868,0.29719575418095534,0.4325110392849335,0.4398496240601504,0.43988647200814246,0.5767126148705095,4
progression_kg__extra_trees_depth6,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.3167259786476868,0.3050637557467131,0.4353853445718586,0.46616541353383456,0.4759158092736125,0.5878362573099415,4
progression_kg__rf_depth5,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.3416370106761566,0.32739180409364754,0.46019853613419964,0.48120300751879697,0.5034757098661888,0.5662197159565581,4
progression_kg_motion__balanced_logistic_C0.1,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.35231316725978645,0.3389842984340138,0.46399279238747226,0.5676691729323309,0.5784563963989802,0.6532121971595657,9
progression_kg_motion__balanced_logistic_C1,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.39501779359430605,0.3799694002117747,0.5021794592162672,0.5939849624060151,0.6037339749164515,0.6752589807852967,9
progression_kg_motion__extra_trees_depth4,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.28825622775800713,0.2722529115271539,0.41218517676915445,0.42105263157894735,0.42130166000199054,0.557109440267335,9
progression_kg_motion__extra_trees_depth6,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.30604982206405695,0.292721490395909,0.42358327171194476,0.4774436090225564,0.4820623499968709,0.6034043441938179,9
progression_kg_motion__rf_depth5,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.3274021352313167,0.31217603565042834,0.44799582925162884,0.4699248120300752,0.49101568071776613,0.5585672514619884,9
progression_kg_drift__balanced_logistic_C0.1,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.34519572953736655,0.33237278360509503,0.457677214373781,0.5714285714285714,0.5759537368233019,0.6487677527151212,8
progression_kg_drift__balanced_logistic_C1,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.36298932384341637,0.3546247524804042,0.4776666101751162,0.5902255639097744,0.6006016707819158,0.6660944026733501,8
progression_kg_drift__extra_trees_depth4,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.2669039145907473,0.25206695159882747,0.39693053287238256,0.42105263157894735,0.42095328231635226,0.563312447786132,8
progression_kg_drift__extra_trees_depth6,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.298932384341637,0.283259387538639,0.41007016351897263,0.45112781954887216,0.45826763050294694,0.5759607351712616,8
progression_kg_drift__rf_depth5,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.31316725978647686,0.30498784410875224,0.44462247304808394,0.4398496240601504,0.465131647008846,0.5262698412698412,8
all_numeric_compact__balanced_logistic_C0.1,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.3594306049822064,0.34426001565378095,0.47160600411451015,0.5338345864661654,0.5365855390129668,0.6357727652464494,20
all_numeric_compact__balanced_logistic_C1,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.398576512455516,0.3807953690960187,0.5011881971671641,0.5375939849624061,0.5429032419679538,0.6325020885547201,20
all_numeric_compact__extra_trees_depth4,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.2491103202846975,0.23514289031530405,0.3852887642865991,0.3609022556390977,0.3629727517992757,0.5095446950710109,20
all_numeric_compact__extra_trees_depth6,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.2597864768683274,0.24637832359755008,0.38350981243031973,0.42857142857142855,0.4313810753265176,0.5562907268170425,20
all_numeric_compact__rf_depth5,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,0.3274021352313167,0.30727677065530734,0.4420959327856946,0.40977443609022557,0.42764897223209114,0.5178571428571429,20
exercise_mode_baseline,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,0.27636363636363637,0.08660968660968661,0.2,0.37722419928825623,0.1095607235142119,0.2,0
progression_kg__balanced_logistic_C0.1,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,0.38181818181818183,0.4181560199969834,0.45936636462952246,0.43416370106761565,0.4040253989901001,0.5199637339445567,4
progression_kg__balanced_logistic_C1,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,0.4072727272727273,0.44703971990366576,0.4766006897585845,0.4306049822064057,0.4101591001591002,0.5297805974576776,4
progression_kg__extra_trees_depth4,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,0.3527272727272727,0.38074268161987457,0.4649594070646702,0.36298932384341637,0.3419233546652901,0.47210464971058846,4
progression_kg__extra_trees_depth6,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,0.38181818181818183,0.42422513490728486,0.4797849324165114,0.37722419928825623,0.3584093931116073,0.47792198744874276,4
progression_kg__rf_depth5,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,0.3527272727272727,0.4265747230456006,0.47232932759248547,0.35231316725978645,0.34234379669735115,0.47502432556561847,4
progression_kg_motion__balanced_logistic_C0.1,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,0.41454545454545455,0.45335945712412756,0.49556262450999283,0.3701067615658363,0.3555467570729847,0.4811983960452874,9
progression_kg_motion__balanced_logistic_C1,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,0.41818181818181815,0.47537592471968865,0.5061296403401666,0.3914590747330961,0.3819491105511074,0.5011067024058053,9
progression_kg_motion__extra_trees_depth4,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,0.3527272727272727,0.3772705322063474,0.4823468928732087,0.33807829181494664,0.3172870273548749,0.44637378710994546,9
progression_kg_motion__extra_trees_depth6,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,0.38181818181818183,0.42793547588963354,0.48696313433155536,0.34519572953736655,0.33129158909456136,0.45350340076600515,9
progression_kg_motion__rf_depth5,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,0.3527272727272727,0.42078838367136234,0.45457768352505196,0.3238434163701068,0.3108089022554338,0.4492270157287169,9
progression_kg_drift__balanced_logistic_C0.1,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,0.3927272727272727,0.427707702293298,0.4753614806246385,0.398576512455516,0.37700586725591145,0.4963460099865914,8
progression_kg_drift__balanced_logistic_C1,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,0.4,0.44459609989628346,0.4770355375618533,0.40569395017793597,0.38739103639284106,0.5054416309287946,8
