block_index,file,subject,exercise,set_id,start,end,samples,predicted_reps,prediction_seconds
0,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0:active0,359,6561,6202,16,0.08827454199854401
1,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0:active1,17152,19021,1869,4,0.030258374999903026
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1:active0,19964,25106,5142,12,0.06388679199881153
3,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,2:active0,33305,38692,5387,11,0.06382695800130023
4,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0:active0,297769,302173,4404,13,0.05830758299998706
5,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1:active0,313227,317714,4487,12,0.05794575000072655
6,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,2:active0,336367,337025,658,2,0.01963025000077323
7,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,3:active0,339520,344004,4484,12,0.05841054200027429
8,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,0:active0,123099,128661,5562,12,0.06486104199939291
9,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,1:active0,137920,142914,4994,12,0.0636260420014878
10,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,2:active0,156977,162782,5805,13,0.0703954580003483
11,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_shoulder_press,0:active0,246003,250953,4950,12,0.06727295800010324
12,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_shoulder_press,1:active0,264367,268739,4372,12,0.05824991600093199
13,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_shoulder_press,2:active0,279757,284939,5182,12,0.06331916700037254
14,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_squat,0:active0,422448,426891,4443,12,0.058832250000705244
15,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_squat,1:active0,438166,441973,3807,12,0.05107408399999258
16,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_squat,2:active0,452861,456244,3383,12,0.050271125001017936
17,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_triceps_curl,0:active0,374608,379459,4851,12,0.05965062500035856
18,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_triceps_curl,1:active0,386605,391293,4688,12,0.06123325000044133
19,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_triceps_curl,2:active0,400511,404826,4315,12,0.058195583000269835
20,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_weighted_crunch,0:active0,180691,184913,4222,12,0.05984616599926085
21,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_weighted_crunch,1:active0,196014,200320,4306,12,0.0627228749999631
22,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_weighted_crunch,2:active0,210453,214473,4020,12,0.0557337499994901
23,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,one_arm_db_row,0:active0,58038,63200,5162,12,0.15167987499989977
24,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,one_arm_db_row,1:active0,73276,77738,4462,12,0.05959933300073317
25,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,one_arm_db_row,2:active0,88648,92850,4202,12,0.0625279159994534
26,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_bench_press,0:active0,107,5552,5445,12,0.06719725000039034
27,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_bench_press,1:active0,13367,18859,5492,12,0.07186137500139012
28,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_bench_press,2:active0,25489,30740,5251,11,0.07275699999991048
29,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_biceps_curl,0:active0,286569,290778,4209,12,0.06245308299912722
