method,subject,windows,present_classes,classes,accuracy,balanced_accuracy_present,macro_f1_present,min_present_recall,other_recall,recall_db_bench_press,recall_db_biceps_curl,recall_db_rdl,recall_db_shoulder_press,recall_db_squat,recall_db_triceps_curl,recall_db_weighted_crunch,recall_one_arm_db_row,recall_Other
pre_gate,haoyu0512workout,20720,9,"db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row,Other",0.919305,0.739817,0.653043,0.015873,0.950807,0.855792,0.946708,0.115591,0.978852,0.958491,1.000000,0.836237,0.015873,0.950807
pre_gate,hsianshun0514workout,11595,9,"db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row,Other",0.866580,0.665540,0.610455,0.056180,0.929298,0.090909,0.737991,0.853383,0.056180,0.878049,1.000000,0.506329,0.937716,0.929298
pre_gate,kevin0509workout,16144,9,"db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row,Other",0.894140,0.826905,0.661048,0.000000,0.905124,0.995868,0.975089,0.000000,0.802632,0.974074,0.983974,0.846890,0.958491,0.905124
pre_gate,thomas0506,6383,9,"db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row,Other",0.718628,0.126945,0.122199,0.000000,0.999123,0.000000,0.046610,0.000000,0.000000,0.000000,0.096774,0.000000,0.000000,0.999123
pre_gate,thomas0506workout,6400,1,Other,0.713437,0.713437,0.832756,1.000000,1.000000,,,,,,,,,1.000000
pre_gate,yanz0510workout,17131,9,"db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row,Other",0.933104,0.878444,0.761877,0.623288,0.945679,0.694268,0.866995,0.994135,0.956710,0.911628,0.913295,0.623288,1.000000,0.945679
pre_gate,yentsen0515workout,11672,9,"db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row,Other",0.873372,0.808867,0.746489,0.234973,0.899918,1.000000,0.988010,0.817091,0.851175,0.707965,1.000000,0.780669,0.234973,0.899918
pre_gate,yoru0511workout,11778,9,"db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row,Other",0.897351,0.816751,0.689933,0.114537,0.913990,0.918919,0.989547,0.964029,1.000000,0.536481,0.932127,0.114537,0.981132,0.913990
pre_gate,yushuan0513workout,12745,9,"db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row,Other",0.871714,0.834061,0.670140,0.000000,0.881681,0.000000,0.978261,0.979943,0.974576,0.981618,0.987395,0.885621,0.837456,0.881681
pre_gate,ziho0512workout,11243,9,"db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row,Other",0.810816,0.736453,0.581975,0.073171,0.823451,0.994048,0.960265,0.780669,0.317972,0.701149,0.996337,0.981013,0.073171,0.823451
confirmed_gate,haoyu0512workout,20720,9,"db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row,Other",0.939044,0.721656,0.703436,0.000000,0.977006,0.808511,0.846395,0.096774,0.990937,0.932075,1.000000,0.843206,0.000000,0.977006
