fold,file,subject,target,method,samples,sample_rate_hz,true_active_samples,predicted_active_samples,sample_tp,sample_fp,sample_fn,sample_tn,sample_precision,sample_recall,sample_f1,sample_accuracy,false_active_samples,missed_active_samples,true_segments,predicted_segments,matched_segments,false_positives,false_negatives,segment_precision,segment_recall,segment_f1,sum_matched_iou,sum_abs_start_error_samples,sum_abs_end_error_samples,mean_matched_iou,mean_abs_start_error_samples,mean_abs_end_error_samples,sum_abs_start_error_sec,sum_abs_end_error_sec,mean_abs_start_error_sec,mean_abs_end_error_sec
1,datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,action,window-rf,486730,111.309,486730,486730,486730,0,0,0,1.0,1.0,1.0,1.0,0,0,1,1,1,0,0,1.0,1.0,1.0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,action,window-rf,457695,108.7193,297386,457695,297386,160309,0,0,0.6497,1.0,0.7877,0.6497,160309,0,8,1,0,1,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,action,window-rf,282174,108.672,190019,282100,190019,92081,0,74,0.6736,1.0,0.805,0.6737,92081,0,9,1,0,1,9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,datasets/workout/yanz0510workout/yanz0510workout(left)/yanz0510workout_whole_session_20260510_222207.csv,yanz0510workout,action,window-rf,403418,111.3462,403418,403418,403418,0,0,0,1.0,1.0,1.0,1.0,0,0,1,1,1,0,0,1.0,1.0,1.0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,action,window-rf,377595,108.8258,286622,372795,286622,86173,0,4800,0.7688,1.0,0.8693,0.7718,86173,0,8,2,1,1,7,0.5,0.125,0.2,0.5959,0,41788,0.5959,0.0,41788.0,0.0,383.9899,0.0,383.9899
3,datasets/workout/kevin0509workout/kevin0509workout(left)/kevin0509workout_whole_session_20260509_173018.csv,kevin0509workout,action,window-rf,387356,110.8525,387356,387356,387356,0,0,0,1.0,1.0,1.0,1.0,0,0,1,1,1,0,0,1.0,1.0,1.0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,action,window-rf,349154,108.6838,235435,336354,229559,106795,5876,6924,0.6825,0.975,0.803,0.6773,106795,5876,8,3,0,3,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,datasets/workout/thomas0506workout/thomas0506workout(left)/thomas0506workout_whole_session_20260506_154716.csv,thomas0506workout,action,window-rf,300740,110.595,300740,300740,300740,0,0,0,1.0,1.0,1.0,1.0,0,0,1,1,1,0,0,1.0,1.0,1.0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,datasets/workout/yushuan0513workout/yushuan0513workout_whole_session_20260513_144737.csv,yushuan0513workout,action,window-rf,563179,108.885,339410,553279,334210,219069,5200,4700,0.6041,0.9847,0.7488,0.6018,219069,5200,8,3,1,2,7,0.3333,0.125,0.1818,0.5337,20235,19042,0.5337,20235.0,19042.0,185.8382,174.8817,185.8382,174.8817
4,datasets/workout/ziho0512workout/ziho0512workout_whole_session_20260512_204157.csv,ziho0512workout,action,window-rf,496843,108.885,319236,467843,299936,167907,19300,9700,0.6411,0.9395,0.7621,0.6232,167907,19300,6,6,2,4,4,0.3333,0.3333,0.3333,1.2233,98015,23321,0.6116,49007.5,11660.5,900.1698,214.1801,450.0849,107.09
5,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,action,window-rf,512383,108.8732,350628,512383,350628,161755,0,0,0.6843,1.0,0.8126,0.6843,161755,0,8,1,0,1,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,datasets/workout/yoru0511workout/yoru0511workout(left)/yoru0511workout_whole_session_20260511_180605.csv,yoru0511workout,action,window-rf,81998,111.3338,81998,81998,81998,0,0,0,1.0,1.0,1.0,1.0,0,0,1,1,1,0,0,1.0,1.0,1.0,1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,action,window-rf,443597,108.9206,253899,443597,253899,189698,0,0,0.5724,1.0,0.728,0.5724,189698,0,8,1,0,1,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
