exercise,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
db_bench_press,0.25,340,340,340,0,0,1.0,1.0,1.0,1.0
db_bench_press,0.5,340,340,340,0,0,1.0,1.0,1.0,1.0
db_bench_press,0.75,340,340,340,0,0,1.0,1.0,1.0,1.0
db_biceps_curl,0.25,288,288,288,0,0,1.0,1.0,1.0,1.0
db_biceps_curl,0.5,288,288,288,0,0,1.0,1.0,1.0,1.0
db_biceps_curl,0.75,288,288,288,0,0,1.0,1.0,1.0,1.0
db_rdl,0.25,293,293,293,0,0,1.0,1.0,1.0,1.0
db_rdl,0.5,293,293,293,0,0,1.0,1.0,1.0,1.0
db_rdl,0.75,293,293,293,0,0,1.0,1.0,1.0,1.0
db_shoulder_press,0.25,277,277,277,0,0,1.0,1.0,1.0,1.0
db_shoulder_press,0.5,277,277,277,0,0,1.0,1.0,1.0,1.0
db_shoulder_press,0.75,277,277,277,0,0,1.0,1.0,1.0,1.0
db_squat,0.25,312,312,312,0,0,1.0,1.0,1.0,1.0
db_squat,0.5,312,312,312,0,0,1.0,1.0,1.0,1.0
db_squat,0.75,312,312,312,0,0,1.0,1.0,1.0,1.0
db_triceps_curl,0.25,305,305,305,0,0,1.0,1.0,1.0,1.0
db_triceps_curl,0.5,305,305,305,0,0,1.0,1.0,1.0,1.0
db_triceps_curl,0.75,305,305,305,0,0,1.0,1.0,1.0,1.0
db_weighted_crunch,0.25,299,299,299,0,0,1.0,1.0,1.0,1.0
db_weighted_crunch,0.5,299,299,299,0,0,1.0,1.0,1.0,1.0
db_weighted_crunch,0.75,299,299,299,0,0,1.0,1.0,1.0,1.0
one_arm_db_row,0.25,310,310,310,0,0,1.0,1.0,1.0,1.0
one_arm_db_row,0.5,310,310,310,0,0,1.0,1.0,1.0,1.0
one_arm_db_row,0.75,310,310,310,0,0,1.0,1.0,1.0,1.0
