exercise,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
db_bench_press,0.25,340,353,287,66,53,0.813,0.8441,0.8283,0.5742
db_bench_press,0.5,340,353,184,169,156,0.5212,0.5412,0.531,0.6638
db_bench_press,0.75,340,353,52,301,288,0.1473,0.1529,0.1501,0.8483
db_biceps_curl,0.25,288,284,269,15,19,0.9472,0.934,0.9406,0.7006
db_biceps_curl,0.5,288,284,201,83,87,0.7077,0.6979,0.7028,0.7985
db_biceps_curl,0.75,288,284,130,154,158,0.4577,0.4514,0.4545,0.9077
db_rdl,0.25,293,279,268,11,25,0.9606,0.9147,0.9371,0.69
db_rdl,0.5,293,279,210,69,83,0.7527,0.7167,0.7343,0.7655
db_rdl,0.75,293,279,112,167,181,0.4014,0.3823,0.3916,0.8671
db_shoulder_press,0.25,277,254,246,8,31,0.9685,0.8881,0.9266,0.5889
db_shoulder_press,0.5,277,254,171,83,106,0.6732,0.6173,0.6441,0.6622
db_shoulder_press,0.75,277,254,38,216,239,0.1496,0.1372,0.1431,0.8395
db_squat,0.25,312,273,258,15,54,0.9451,0.8269,0.8821,0.6831
db_squat,0.5,312,273,202,71,110,0.7399,0.6474,0.6906,0.7543
db_squat,0.75,312,273,101,172,211,0.37,0.3237,0.3453,0.8521
db_triceps_curl,0.25,305,296,289,7,16,0.9764,0.9475,0.9617,0.6909
db_triceps_curl,0.5,305,296,244,52,61,0.8243,0.8,0.812,0.7374
db_triceps_curl,0.75,305,296,114,182,191,0.3851,0.3738,0.3794,0.8757
db_weighted_crunch,0.25,299,289,283,6,16,0.9792,0.9465,0.9626,0.6643
db_weighted_crunch,0.5,299,289,230,59,69,0.7958,0.7692,0.7823,0.7169
db_weighted_crunch,0.75,299,289,95,194,204,0.3287,0.3177,0.3231,0.8655
one_arm_db_row,0.25,310,300,297,3,13,0.99,0.9581,0.9738,0.6952
one_arm_db_row,0.5,310,300,241,59,69,0.8033,0.7774,0.7902,0.7578
one_arm_db_row,0.75,310,300,144,156,166,0.48,0.4645,0.4721,0.8653
