exercise,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
db_bench_press,0.25,340,361,287,74,53,0.795,0.8441,0.8188,0.6046
db_bench_press,0.5,340,361,197,164,143,0.5457,0.5794,0.5621,0.6912
db_bench_press,0.75,340,361,69,292,271,0.1911,0.2029,0.1969,0.8551
db_biceps_curl,0.25,288,284,267,17,21,0.9401,0.9271,0.9336,0.6896
db_biceps_curl,0.5,288,284,196,88,92,0.6901,0.6806,0.6853,0.7938
db_biceps_curl,0.75,288,284,136,148,152,0.4789,0.4722,0.4755,0.8707
db_rdl,0.25,293,279,269,10,24,0.9642,0.9181,0.9406,0.6825
db_rdl,0.5,293,279,215,64,78,0.7706,0.7338,0.7517,0.7447
db_rdl,0.75,293,279,113,166,180,0.405,0.3857,0.3951,0.8518
db_shoulder_press,0.25,277,254,239,15,38,0.9409,0.8628,0.9002,0.5593
db_shoulder_press,0.5,277,254,132,122,145,0.5197,0.4765,0.4972,0.6796
db_shoulder_press,0.75,277,254,39,215,238,0.1535,0.1408,0.1469,0.8506
db_squat,0.25,312,311,301,10,11,0.9678,0.9647,0.9663,0.7085
db_squat,0.5,312,311,257,54,55,0.8264,0.8237,0.825,0.7584
db_squat,0.75,312,311,135,176,177,0.4341,0.4327,0.4334,0.871
db_triceps_curl,0.25,305,296,290,6,15,0.9797,0.9508,0.9651,0.6891
db_triceps_curl,0.5,305,296,252,44,53,0.8514,0.8262,0.8386,0.7303
db_triceps_curl,0.75,305,296,111,185,194,0.375,0.3639,0.3694,0.8599
db_weighted_crunch,0.25,299,289,280,9,19,0.9689,0.9365,0.9524,0.6707
db_weighted_crunch,0.5,299,289,214,75,85,0.7405,0.7157,0.7279,0.7517
db_weighted_crunch,0.75,299,289,112,177,187,0.3875,0.3746,0.381,0.8729
one_arm_db_row,0.25,310,300,295,5,15,0.9833,0.9516,0.9672,0.7318
one_arm_db_row,0.5,310,300,260,40,50,0.8667,0.8387,0.8525,0.7769
one_arm_db_row,0.75,310,300,154,146,156,0.5133,0.4968,0.5049,0.8639
