subject,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
haoyu0512workout,0.25,290,289,278,11,12,0.9619,0.9586,0.9603,0.6643
haoyu0512workout,0.5,290,289,215,74,75,0.7439,0.7414,0.7427,0.7405
haoyu0512workout,0.75,290,289,101,188,189,0.3495,0.3483,0.3489,0.857
hsianshun0514workout,0.25,292,269,251,18,41,0.9331,0.8596,0.8948,0.769
hsianshun0514workout,0.5,292,269,222,47,70,0.8253,0.7603,0.7914,0.8136
hsianshun0514workout,0.75,292,269,161,108,131,0.5985,0.5514,0.574,0.8749
kevin0509workout,0.25,300,329,282,47,18,0.8571,0.94,0.8967,0.6377
kevin0509workout,0.5,300,329,194,135,106,0.5897,0.6467,0.6169,0.7399
kevin0509workout,0.75,300,329,104,225,196,0.3161,0.3467,0.3307,0.8548
thomas0506,0.25,322,309,304,5,18,0.9838,0.9441,0.9635,0.7599
thomas0506,0.5,322,309,266,43,56,0.8608,0.8261,0.8431,0.8114
thomas0506,0.75,322,309,197,112,125,0.6375,0.6118,0.6244,0.8713
yanz0510workout,0.25,326,341,305,36,21,0.8944,0.9356,0.9145,0.5959
yanz0510workout,0.5,326,341,214,127,112,0.6276,0.6564,0.6417,0.6686
yanz0510workout,0.75,326,341,61,280,265,0.1789,0.1871,0.1829,0.8188
yoru0511workout,0.25,317,279,270,9,47,0.9677,0.8517,0.906,0.5958
yoru0511workout,0.5,317,279,168,111,149,0.6022,0.53,0.5638,0.7144
yoru0511workout,0.75,317,279,65,214,252,0.233,0.205,0.2181,0.8859
yushuan0513workout,0.25,283,272,262,10,21,0.9632,0.9258,0.9441,0.6821
yushuan0513workout,0.5,283,272,206,66,77,0.7574,0.7279,0.7423,0.7565
yushuan0513workout,0.75,283,272,110,162,173,0.4044,0.3887,0.3964,0.8656
ziho0512workout,0.25,294,286,276,10,18,0.965,0.9388,0.9517,0.659
ziho0512workout,0.5,294,286,238,48,56,0.8322,0.8095,0.8207,0.6942
ziho0512workout,0.75,294,286,70,216,224,0.2448,0.2381,0.2414,0.8568
