file,subject,pred_start,pred_end,matched_exercise,matched_iou,source
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,359,754,db_bench_press,0.7797,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,754,1139,db_bench_press,0.7161,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,1139,1724,db_bench_press,0.6677,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,1724,2086,db_bench_press,0.4114,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,2086,2585,db_bench_press,0.5318,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,2585,3097,db_bench_press,0.4784,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,3097,3727,db_bench_press,0.718,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,3727,4293,db_bench_press,0.636,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,4293,4701,db_bench_press,0.517,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,4701,5228,db_bench_press,0.6022,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,6090,6561,db_bench_press,0.3182,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,17152,19021,db_bench_press,1.0,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,19964,20536,db_bench_press,0.8252,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,20536,21088,db_bench_press,0.428,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,21088,21492,db_bench_press,0.4014,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,21492,21758,db_bench_press,0.358,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,21758,22165,db_bench_press,0.6397,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,22165,22607,db_bench_press,0.6623,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,22607,23043,db_bench_press,0.6686,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,23043,23595,db_bench_press,0.5133,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,23595,24088,db_bench_press,0.3955,pca_autocorr_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,24088,24309,db_bench_press,0.3023,pca_autocorr_refined
