exercise,feature,objective,boundaries,mean_abs_error,median_abs_error,p80_abs_error,p90_abs_error,within_25_samples,within_50_samples,within_100_samples
db_bench_press,acc_jerk_max,max,309,62.3107,54.0,102.4,119.2,0.1909,0.4563,0.7864
db_bench_press,acc_magnitude_min,min,309,61.0777,60.0,97.4,114.2,0.233,0.4239,0.8188
db_bench_press,gyro_jerk_max,max,309,64.7087,57.0,105.8,120.2,0.1942,0.4369,0.7605
db_bench_press,gyro_magnitude_min,min,309,52.877,49.0,89.4,107.4,0.343,0.5243,0.8706
db_bench_press,motion_energy_min,min,309,62.356,66.0,98.0,113.2,0.2783,0.3948,0.8155
db_bench_press,pca_extreme_max,max,309,52.2039,42.0,78.6,115.4,0.2524,0.6181,0.8608
db_bench_press,pca_velocity_min,min,309,60.7961,57.0,99.4,118.0,0.2816,0.4725,0.8026
db_bench_press,transition_energy_max,max,309,58.2006,50.0,95.4,119.0,0.2395,0.5081,0.8155
db_biceps_curl,acc_jerk_max,max,262,72.7252,79.5,96.0,105.9,0.1183,0.1908,0.8511
db_biceps_curl,acc_magnitude_min,min,262,68.2748,71.0,95.0,107.9,0.0878,0.3473,0.8473
db_biceps_curl,gyro_jerk_max,max,262,66.2901,74.0,98.0,116.9,0.2328,0.3626,0.8321
db_biceps_curl,gyro_magnitude_min,min,262,31.5534,18.0,56.0,93.0,0.626,0.7824,0.9351
db_biceps_curl,motion_energy_min,min,262,65.1298,76.0,107.0,122.9,0.2863,0.4351,0.7481
db_biceps_curl,pca_extreme_max,max,262,59.1183,55.0,94.0,98.0,0.1985,0.4504,0.9122
db_biceps_curl,pca_velocity_min,min,262,54.1069,44.0,98.8,108.0,0.3397,0.5496,0.813
db_biceps_curl,transition_energy_max,max,262,72.187,78.5,96.0,104.9,0.1069,0.229,0.8664
db_rdl,acc_jerk_max,max,268,73.9216,81.0,110.0,123.3,0.1642,0.3433,0.7052
db_rdl,acc_magnitude_min,min,268,62.3396,59.5,98.6,121.0,0.2239,0.4403,0.8022
db_rdl,gyro_jerk_max,max,268,71.0261,70.5,111.0,125.0,0.1567,0.3507,0.7239
db_rdl,gyro_magnitude_min,min,268,57.25,51.0,96.2,112.0,0.2761,0.4888,0.8172
db_rdl,motion_energy_min,min,268,59.2425,58.0,98.0,116.3,0.2537,0.4701,0.8134
db_rdl,pca_extreme_max,max,268,65.5037,62.0,106.6,119.3,0.1679,0.4142,0.7649
db_rdl,pca_velocity_min,min,268,59.2463,50.5,105.2,123.3,0.2873,0.5,0.7836
db_rdl,transition_energy_max,max,268,74.4254,78.0,112.0,122.9,0.1381,0.347,0.6828
db_shoulder_press,acc_jerk_max,max,251,48.6215,38.0,80.0,100.0,0.3307,0.6016,0.9004
db_shoulder_press,acc_magnitude_min,min,251,71.1833,72.0,98.0,117.0,0.1275,0.2908,0.8247
db_shoulder_press,gyro_jerk_max,max,251,48.243,40.0,80.0,93.0,0.3267,0.5498,0.9323
db_shoulder_press,gyro_magnitude_min,min,251,61.0319,59.0,97.0,110.0,0.255,0.4143,0.8207
db_shoulder_press,motion_energy_min,min,251,76.4781,80.0,111.0,128.0,0.1434,0.247,0.7171
db_shoulder_press,pca_extreme_max,max,251,47.4661,47.0,77.0,87.0,0.3227,0.5378,0.9761
db_shoulder_press,pca_velocity_min,min,251,73.9124,79.0,111.0,127.0,0.1833,0.2908,0.7131
db_shoulder_press,transition_energy_max,max,251,42.7331,34.0,73.0,88.0,0.3785,0.6215,0.9562
db_squat,acc_jerk_max,max,288,70.1354,77.0,99.0,110.0,0.1076,0.2778,0.809
db_squat,acc_magnitude_min,min,288,53.5278,53.5,80.0,94.0,0.2222,0.4722,0.9479
db_squat,gyro_jerk_max,max,288,62.8576,68.0,91.0,104.3,0.1771,0.3403,0.8785
db_squat,gyro_magnitude_min,min,288,39.3021,31.0,69.6,88.3,0.4583,0.6597,0.9514
db_squat,motion_energy_min,min,288,47.8576,43.5,81.0,95.0,0.3229,0.5625,0.9236
db_squat,pca_extreme_max,max,288,49.5243,45.5,75.6,89.3,0.2083,0.5451,0.9514
db_squat,pca_velocity_min,min,288,48.8021,47.0,78.0,94.3,0.2882,0.5486,0.941
db_squat,transition_energy_max,max,288,65.2049,72.5,95.0,105.3,0.1458,0.3472,0.8507
db_triceps_curl,acc_jerk_max,max,279,47.1254,37.0,81.0,102.4,0.3441,0.6237,0.8817
db_triceps_curl,acc_magnitude_min,min,279,62.0179,62.0,94.4,110.4,0.2115,0.3907,0.8208
db_triceps_curl,gyro_jerk_max,max,279,51.4229,42.0,87.0,101.2,0.2975,0.5591,0.8961
db_triceps_curl,gyro_magnitude_min,min,279,40.7276,30.0,70.0,87.6,0.4194,0.6452,0.9283
db_triceps_curl,motion_energy_min,min,279,67.6882,68.0,100.0,116.2,0.1577,0.3082,0.8172
db_triceps_curl,pca_extreme_max,max,279,51.6774,48.0,86.0,95.4,0.276,0.5233,0.9176
db_triceps_curl,pca_velocity_min,min,279,56.9355,58.0,87.4,100.2,0.2401,0.4301,0.8996
db_triceps_curl,transition_energy_max,max,279,47.6882,36.0,83.8,101.2,0.362,0.595,0.8925
db_weighted_crunch,acc_jerk_max,max,273,69.0586,68.0,109.0,124.0,0.1722,0.315,0.7656
db_weighted_crunch,acc_magnitude_min,min,273,57.4432,62.0,92.0,104.8,0.2674,0.4359,0.8681
db_weighted_crunch,gyro_jerk_max,max,273,69.2711,72.0,103.0,120.6,0.1538,0.326,0.7802
db_weighted_crunch,gyro_magnitude_min,min,273,49.4139,38.0,94.0,108.0,0.3846,0.5788,0.8462
db_weighted_crunch,motion_energy_min,min,273,51.2161,40.0,92.6,108.0,0.3883,0.5458,0.8571
db_weighted_crunch,pca_extreme_max,max,273,66.5458,67.0,97.6,113.8,0.1612,0.348,0.8168
db_weighted_crunch,pca_velocity_min,min,273,52.9524,41.0,97.0,110.8,0.3626,0.5421,0.8352
db_weighted_crunch,transition_energy_max,max,273,69.7106,69.0,104.6,124.0,0.1612,0.3297,0.7546
one_arm_db_row,acc_jerk_max,max,284,73.5528,82.0,106.0,115.7,0.1725,0.2641,0.7782
one_arm_db_row,acc_magnitude_min,min,284,49.412,45.0,85.0,97.0,0.331,0.5317,0.9296
one_arm_db_row,gyro_jerk_max,max,284,69.4472,73.0,99.0,113.0,0.1479,0.3239,0.8099
one_arm_db_row,gyro_magnitude_min,min,284,38.8099,29.0,74.0,89.0,0.4683,0.6444,0.9577
one_arm_db_row,motion_energy_min,min,284,40.7077,31.5,72.4,94.7,0.4472,0.6232,0.9577
one_arm_db_row,pca_extreme_max,max,284,69.0176,75.0,101.8,119.0,0.169,0.3134,0.7958
one_arm_db_row,pca_velocity_min,min,284,42.0141,35.0,73.4,95.7,0.3944,0.6549,0.9507
one_arm_db_row,transition_energy_max,max,284,75.1972,83.0,106.4,119.0,0.1585,0.257,0.7746
