subject,feature,objective,boundaries,mean_abs_error,median_abs_error,p80_abs_error,p90_abs_error,within_25_samples,within_50_samples,within_100_samples
haoyu0512workout,acc_jerk_max,max,265,71.8038,66.0,118.2,131.0,0.1698,0.4226,0.6717
haoyu0512workout,acc_magnitude_min,min,265,89.7019,92.0,125.0,137.0,0.0453,0.1321,0.6
haoyu0512workout,gyro_jerk_max,max,265,72.9547,74.0,115.0,130.6,0.1547,0.3547,0.717
haoyu0512workout,gyro_magnitude_min,min,265,45.3698,33.0,73.2,112.0,0.3849,0.6717,0.8604
haoyu0512workout,motion_energy_min,min,265,72.7094,70.0,124.2,134.6,0.2,0.4075,0.6566
haoyu0512workout,pca_extreme_max,max,265,68.6906,62.0,102.2,121.6,0.083,0.3849,0.7925
haoyu0512workout,pca_velocity_min,min,265,64.5132,52.0,109.4,132.6,0.2226,0.483,0.7509
haoyu0512workout,transition_energy_max,max,265,72.4679,72.0,117.0,131.0,0.1887,0.4038,0.683
hsianshun0514workout,acc_jerk_max,max,266,77.1805,82.5,112.0,126.0,0.1654,0.2481,0.7143
hsianshun0514workout,acc_magnitude_min,min,266,45.6579,37.5,73.0,98.5,0.3045,0.6579,0.9023
hsianshun0514workout,gyro_jerk_max,max,266,80.3797,84.0,112.0,126.5,0.1316,0.218,0.6654
hsianshun0514workout,gyro_magnitude_min,min,266,36.3383,23.0,63.0,94.5,0.5376,0.7331,0.9211
hsianshun0514workout,motion_energy_min,min,266,39.406,26.0,71.0,96.0,0.4887,0.6654,0.9248
hsianshun0514workout,pca_extreme_max,max,266,77.8083,77.0,111.0,128.0,0.0752,0.2556,0.7068
hsianshun0514workout,pca_velocity_min,min,266,39.2632,26.5,66.0,95.5,0.4737,0.6767,0.9098
hsianshun0514workout,transition_energy_max,max,266,79.0827,83.0,113.0,126.0,0.1504,0.2368,0.6692
kevin0509workout,acc_jerk_max,max,274,72.8869,82.5,108.0,113.7,0.146,0.2993,0.7117
kevin0509workout,acc_magnitude_min,min,274,59.2336,61.5,89.0,106.4,0.208,0.4124,0.8723
kevin0509workout,gyro_jerk_max,max,274,56.7518,52.5,91.0,101.0,0.2153,0.4854,0.8942
