file,subject,exercise,set_id,boundary,local_boundary,feature,objective,candidate,signed_error_samples,abs_error_samples,search_radius,candidate_score
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,667,308,pca_extreme_max,max,609,-58,58,160,4.0591
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,667,308,pca_velocity_min,min,515,-152,152,160,-0.2632
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,667,308,acc_magnitude_min,min,682,15,15,160,1.0515
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,667,308,gyro_magnitude_min,min,548,-119,119,160,-0.4362
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,667,308,acc_jerk_max,max,622,-45,45,160,2.5922
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,667,308,gyro_jerk_max,max,641,-26,26,160,0.8616
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,667,308,motion_energy_min,min,706,39,39,160,-0.0705
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,667,308,transition_energy_max,max,639,-28,28,160,2.0188
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1092,733,pca_extreme_max,max,1035,-57,57,160,2.5501
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1092,733,pca_velocity_min,min,1138,46,46,160,-0.5119
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1092,733,acc_magnitude_min,min,1161,69,69,160,1.1263
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1092,733,gyro_magnitude_min,min,1158,66,66,160,-0.6346
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1092,733,acc_jerk_max,max,1080,-12,12,160,0.95
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1092,733,gyro_jerk_max,max,1049,-43,43,160,0.396
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1092,733,motion_energy_min,min,1156,64,64,160,-0.3318
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1092,733,transition_energy_max,max,1055,-37,37,160,0.8096
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1561,1202,pca_extreme_max,max,1478,-83,83,160,2.6787
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1561,1202,pca_velocity_min,min,1406,-155,155,160,-0.2701
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1561,1202,acc_magnitude_min,min,1602,41,41,160,1.104
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1561,1202,gyro_magnitude_min,min,1604,43,43,160,-0.5427
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1561,1202,acc_jerk_max,max,1531,-30,30,160,1.4966
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1561,1202,gyro_jerk_max,max,1502,-59,59,160,0.5897
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1561,1202,motion_energy_min,min,1605,44,44,160,-0.2435
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1561,1202,transition_energy_max,max,1534,-27,27,160,1.0504
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,1940,1581,pca_extreme_max,max,1934,-6,6,160,1.8016
