exercise,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
db_bench_press,0.25,340,361,295,66,45,0.8172,0.8676,0.8417,0.6158
db_bench_press,0.5,340,361,204,157,136,0.5651,0.6,0.582,0.7018
db_bench_press,0.75,340,361,72,289,268,0.1994,0.2118,0.2054,0.8638
db_biceps_curl,0.25,288,284,264,20,24,0.9296,0.9167,0.9231,0.7155
db_biceps_curl,0.5,288,284,189,95,99,0.6655,0.6562,0.6608,0.8405
db_biceps_curl,0.75,288,284,140,144,148,0.493,0.4861,0.4895,0.9136
db_rdl,0.25,293,279,269,10,24,0.9642,0.9181,0.9406,0.6825
db_rdl,0.5,293,279,215,64,78,0.7706,0.7338,0.7517,0.7447
db_rdl,0.75,293,279,113,166,180,0.405,0.3857,0.3951,0.8518
db_shoulder_press,0.25,277,254,238,16,39,0.937,0.8592,0.8964,0.6711
db_shoulder_press,0.5,277,254,188,66,89,0.7402,0.6787,0.7081,0.7356
db_shoulder_press,0.75,277,254,85,169,192,0.3346,0.3069,0.3202,0.8629
db_squat,0.25,312,311,300,11,12,0.9646,0.9615,0.9631,0.7247
db_squat,0.5,312,311,251,60,61,0.8071,0.8045,0.8058,0.7854
db_squat,0.75,312,311,160,151,152,0.5145,0.5128,0.5136,0.8765
db_triceps_curl,0.25,305,296,289,7,16,0.9764,0.9475,0.9617,0.729
db_triceps_curl,0.5,305,296,253,43,52,0.8547,0.8295,0.8419,0.7726
db_triceps_curl,0.75,305,296,134,162,171,0.4527,0.4393,0.4459,0.8909
db_weighted_crunch,0.25,299,289,282,7,17,0.9758,0.9431,0.9592,0.6727
db_weighted_crunch,0.5,299,289,215,74,84,0.7439,0.7191,0.7313,0.7539
db_weighted_crunch,0.75,299,289,115,174,184,0.3979,0.3846,0.3912,0.8686
one_arm_db_row,0.25,310,300,294,6,16,0.98,0.9484,0.9639,0.7132
one_arm_db_row,0.5,310,300,249,51,61,0.83,0.8032,0.8164,0.7691
one_arm_db_row,0.75,310,300,133,167,177,0.4433,0.429,0.4361,0.8872
