subject,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
haoyu0512workout,0.25,290,289,275,14,15,0.9516,0.9483,0.9499,0.717
haoyu0512workout,0.5,290,289,230,59,60,0.7958,0.7931,0.7945,0.7768
haoyu0512workout,0.75,290,289,137,152,153,0.474,0.4724,0.4732,0.8733
hsianshun0514workout,0.25,292,269,251,18,41,0.9331,0.8596,0.8948,0.7741
hsianshun0514workout,0.5,292,269,236,33,56,0.8773,0.8082,0.8414,0.7972
hsianshun0514workout,0.75,292,269,151,118,141,0.5613,0.5171,0.5383,0.8843
kevin0509workout,0.25,300,329,279,50,21,0.848,0.93,0.8871,0.6783
kevin0509workout,0.5,300,329,195,134,105,0.5927,0.65,0.62,0.7876
kevin0509workout,0.75,300,329,118,211,182,0.3587,0.3933,0.3752,0.8972
thomas0506,0.25,322,309,306,3,16,0.9903,0.9503,0.9699,0.7824
thomas0506,0.5,322,309,280,29,42,0.9061,0.8696,0.8875,0.817
thomas0506,0.75,322,309,197,112,125,0.6375,0.6118,0.6244,0.8893
yanz0510workout,0.25,326,341,310,31,16,0.9091,0.9509,0.9295,0.6107
yanz0510workout,0.5,326,341,226,115,100,0.6628,0.6933,0.6777,0.6788
yanz0510workout,0.75,326,341,63,278,263,0.1848,0.1933,0.1889,0.834
yoru0511workout,0.25,317,279,270,9,47,0.9677,0.8517,0.906,0.5912
yoru0511workout,0.5,317,279,165,114,152,0.5914,0.5205,0.5537,0.7042
yoru0511workout,0.75,317,279,65,214,252,0.233,0.205,0.2181,0.8568
yushuan0513workout,0.25,283,272,261,11,22,0.9596,0.9223,0.9405,0.7042
yushuan0513workout,0.5,283,272,206,66,77,0.7574,0.7279,0.7423,0.7857
yushuan0513workout,0.75,283,272,123,149,160,0.4522,0.4346,0.4432,0.8836
ziho0512workout,0.25,294,286,279,7,15,0.9755,0.949,0.9621,0.6754
ziho0512workout,0.5,294,286,226,60,68,0.7902,0.7687,0.7793,0.7347
ziho0512workout,0.75,294,286,98,188,196,0.3427,0.3333,0.3379,0.8781
