file,subject,pred_start,pred_end,matched_exercise,matched_iou,source
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,359,836,db_bench_press,0.6457,pca_autocorr_feature_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,836,1181,db_bench_press,0.4981,pca_autocorr_feature_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,1181,1519,db_bench_press,0.7207,pca_autocorr_feature_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,1519,2004,db_bench_press,0.7814,pca_autocorr_feature_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,2004,2399,db_bench_press,0.8078,pca_autocorr_feature_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,2399,3102,db_bench_press,0.4936,pca_autocorr_feature_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,3102,3868,db_bench_press,0.6488,pca_autocorr_feature_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,3868,4254,db_bench_press,0.489,pca_autocorr_feature_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,4254,4676,db_bench_press,0.6092,pca_autocorr_feature_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,4676,5150,db_bench_press,0.7324,pca_autocorr_feature_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,6111,6561,db_bench_press,0.3041,pca_autocorr_feature_refined
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,17152,19021,db_bench_press,1.0,pca_autocorr_feature_refined
