exercise,dominant_axis,count,ratio
db_bench_press,gx,40,0.1176
db_bench_press,gy,86,0.2529
db_bench_press,gz,212,0.6235
db_bench_press,mx,1,0.0029
db_bench_press,mz,1,0.0029
db_biceps_curl,gx,2,0.0069
db_biceps_curl,gy,206,0.7153
db_biceps_curl,gz,80,0.2778
db_rdl,gx,226,0.7713
db_rdl,gy,60,0.2048
db_rdl,gz,1,0.0034
db_rdl,mz,6,0.0205
db_shoulder_press,gx,49,0.1769
db_shoulder_press,gy,67,0.2419
db_shoulder_press,gz,161,0.5812
db_squat,gx,77,0.2468
db_squat,gy,22,0.0705
db_squat,gz,213,0.6827
db_triceps_curl,gx,2,0.0066
db_triceps_curl,gy,231,0.7574
db_triceps_curl,gz,72,0.2361
db_weighted_crunch,gx,111,0.3712
db_weighted_crunch,gy,188,0.6288
one_arm_db_row,gx,45,0.1452
one_arm_db_row,gy,54,0.1742
one_arm_db_row,gz,211,0.6806
