exercise,feature,cohen_d,abs_cohen_d,stable_subject_ratio,stable_effect_score,mean_subject_diff,sensor_group,family,source,description
db_bench_press,axis_ax__min,1.4957,1.4957,1.0,1.4957,0.9062,acc,time,ax,min of ax
db_bench_press,axis_ax__mean,1.3977,1.3977,1.0,1.3977,0.7956,acc,time,ax,mean of ax
db_bench_press,axis_ax__median,1.3664,1.3664,1.0,1.3664,0.7895,acc,time,ax,median of ax
db_bench_press,axis_az__rms,-1.2683,1.2683,1.0,1.2683,-0.1969,acc,time,az,rms of az
db_bench_press,axis_mx__max,-1.2671,1.2671,1.0,1.2671,-25.6489,mag,time,mx,max of mx
db_bench_press,acc_norm__rms,-1.2558,1.2558,1.0,1.2558,-0.0618,acc,time,acc_norm,rms of acc_norm
db_bench_press,acc_norm__energy_mean,-1.2541,1.2541,1.0,1.2541,-0.1248,acc,time,acc_norm,energy_mean of acc_norm
db_bench_press,axis_az__abs_mean,-1.2514,1.2514,1.0,1.2514,-0.1872,acc,time,az,abs_mean of az
db_bench_press,acc_norm__mean,-1.229,1.229,1.0,1.229,-0.0607,acc,time,acc_norm,mean of acc_norm
db_bench_press,acc_norm__abs_mean,-1.229,1.229,1.0,1.229,-0.0607,acc,time,acc_norm,abs_mean of acc_norm
db_bench_press,axis_ax__max,1.1482,1.1482,1.0,1.1482,0.6757,acc,time,ax,max of ax
db_bench_press,axis_az__energy_mean,-1.1482,1.1482,1.0,1.1482,-0.1342,acc,time,az,energy_mean of az
db_bench_press,acc_norm__median,-1.1445,1.1445,1.0,1.1445,-0.0636,acc,time,acc_norm,median of acc_norm
db_bench_press,axis_mx__mean,-1.1017,1.1017,1.0,1.1017,-20.8709,mag,time,mx,mean of mx
db_bench_press,axis_mx__median,-1.0461,1.0461,1.0,1.0461,-20.2207,mag,time,mx,median of mx
db_bench_press,axis_ax__spectral_entropy,0.9377,0.9377,1.0,0.9377,0.17,acc,time_frequency,ax,spectral_entropy of ax
db_bench_press,axis_mx__min,-0.9004,0.9004,1.0,0.9004,-16.9051,mag,time,mx,min of mx
db_bench_press,axis_mx__iqr,-0.8494,0.8494,1.0,0.8494,-6.7134,mag,time,mx,iqr of mx
db_bench_press,axis_mx__std,-0.8128,0.8128,1.0,0.8128,-3.3027,mag,time,mx,std of mx
db_bench_press,axis_az__iqr,-0.7842,0.7842,1.0,0.7842,-0.1041,acc,time,az,iqr of az
db_bench_press,axis_mx__range,-0.7695,0.7695,1.0,0.7695,-8.7438,mag,time,mx,range of mx
db_bench_press,axis_az__std,-0.759,0.759,1.0,0.759,-0.0524,acc,time,az,std of az
db_bench_press,axis_mx__haar_l4_energy_ratio,-0.7551,0.7551,1.0,0.7551,-0.0017,mag,wavelet,mx,haar_l4_energy_ratio of mx
db_bench_press,axis_ax__iqr,-0.715,0.715,1.0,0.715,-0.2243,acc,time,ax,iqr of ax
db_bench_press,acc_pca__pca1_var_ratio,-0.815,0.815,0.875,0.7131,-0.1005,acc,pca,acc_pca,PCA variance ratio
db_bench_press,axis_mx__diff_abs_mean,-0.7112,0.7112,1.0,0.7112,-0.047,mag,time,mx,diff_abs_mean of mx
db_bench_press,axis_az__spectral_entropy,0.7944,0.7944,0.875,0.6951,0.1583,acc,time_frequency,az,spectral_entropy of az
db_bench_press,axis_ax__std,-0.6902,0.6902,1.0,0.6902,-0.1011,acc,time,ax,std of ax
db_bench_press,axis_mx__diff_rms,-0.6788,0.6788,1.0,0.6788,-0.0741,mag,time,mx,diff_rms of mx
db_bench_press,axis_gy__abs_mean,-0.6674,0.6674,1.0,0.6674,-9.7456,gyro,time,gy,abs_mean of gy
db_bench_press,axis_gy__rms,-0.6666,0.6666,1.0,0.6666,-10.9959,gyro,time,gy,rms of gy
db_bench_press,axis_gy__iqr,-0.6638,0.6638,1.0,0.6638,-20.2353,gyro,time,gy,iqr of gy
db_bench_press,axis_gy__std,-0.6626,0.6626,1.0,0.6626,-10.7472,gyro,time,gy,std of gy
db_bench_press,axis_mx__abs_mean,0.7525,0.7525,0.875,0.6584,8.5343,mag,time,mx,abs_mean of mx
db_bench_press,axis_az__haar_l1_energy_ratio,0.7469,0.7469,0.875,0.6536,0.0449,acc,wavelet,az,haar_l1_energy_ratio of az
db_bench_press,axis_mz__max,-0.7345,0.7345,0.875,0.6427,-20.9811,mag,time,mz,max of mz
db_bench_press,axis_ay__energy_mean,-0.6411,0.6411,1.0,0.6411,-0.081,acc,time,ay,energy_mean of ay
db_bench_press,all9_norm__iqr,-0.641,0.641,1.0,0.641,-8.5436,all9,time,all9_norm,iqr of all9_norm
db_bench_press,acc_pca__pca2_var_ratio,0.7248,0.7248,0.875,0.6342,0.0622,acc,pca,acc_pca,PCA variance ratio
db_bench_press,axis_az__haar_l4_energy_ratio,0.7216,0.7216,0.875,0.6314,0.0182,acc,wavelet,az,haar_l4_energy_ratio of az
db_bench_press,gyro_norm__median,-0.623,0.623,1.0,0.623,-11.7354,gyro,time,gyro_norm,median of gyro_norm
db_bench_press,corr__ay__mz,0.7082,0.7082,0.875,0.6196,0.2794,acc_mag,axis_correlation,"ay,mz",Correlation between ay and mz
db_bench_press,axis_mz__median,-0.6953,0.6953,0.875,0.6084,-19.22,mag,time,mz,median of mz
db_bench_press,axis_mz__mean,-0.6941,0.6941,0.875,0.6073,-19.0803,mag,time,mz,mean of mz
db_bench_press,axis_gy__energy_mean,-0.605,0.605,1.0,0.605,-843.6747,gyro,time,gy,energy_mean of gy
db_bench_press,axis_az__haar_l2_energy_ratio,0.6884,0.6884,0.875,0.6024,0.0486,acc,wavelet,az,haar_l2_energy_ratio of az
db_bench_press,axis_gy__range,-0.6023,0.6023,1.0,0.6023,-30.7598,gyro,time,gy,range of gy
db_bench_press,axis_mx__haar_l3_energy_ratio,-0.5994,0.5994,1.0,0.5994,-0.0005,mag,wavelet,mx,haar_l3_energy_ratio of mx
db_bench_press,corr__ax__az,-0.6798,0.6798,0.875,0.5948,-0.2266,acc,axis_correlation,"ax,az",Correlation between ax and az
db_bench_press,axis_ax__range,-0.5852,0.5852,1.0,0.5852,-0.2305,acc,time,ax,range of ax
db_bench_press,mag_norm__skewness,0.7711,0.7711,0.75,0.5783,0.2625,mag,time,mag_norm,skewness of mag_norm
db_bench_press,corr__gy__gz,-0.6605,0.6605,0.875,0.5779,-0.3348,gyro,axis_correlation,"gy,gz",Correlation between gy and gz
db_bench_press,axis_gy__min,0.5763,0.5763,1.0,0.5763,14.6891,gyro,time,gy,min of gy
