feature,anova_f,mutual_info,rf_importance,fold_rf_importance_mean,fold_rf_importance_std,fold_rank_mean,fold_rank_std,top20_fold_count,anova_f_norm,mutual_info_norm,rf_importance_norm,fold_rf_importance_mean_norm,top20_fold_ratio,composite_score,anova_rank,mutual_info_rank,rf_rank,composite_rank,sensor_group,family,source,description
axis_ax__mean,12686.438872594668,1.3242437646158827,0.023766938977644637,0.02163236613393798,0.004639091399562603,5.6,3.7815340802378077,5,0.8767351853664717,1.0,0.892390557117834,0.7681908196283305,1.0,0.9074633124225272,2.0,1.0,5.0,1.0,acc,time,ax,mean of ax
axis_ax__median,7814.212118112976,1.2816236974698876,0.022736759050456513,0.025141172965775588,0.004346320804822972,3.4,2.3021728866442674,5,0.5400250439598361,0.9678155425120256,0.8537098149313984,0.8927926860805667,1.0,0.8508686174967653,3.0,2.0,6.0,2.0,acc,time,ax,median of ax
axis_ax__rms,3139.260649414933,1.1619654085380953,0.025185912016629883,0.02816014664742316,0.0035006845542547333,1.8,1.3038404810405297,5,0.21694821494186278,0.8774558276852761,0.9456695318308292,1.0,1.0,0.8080147148915936,11.0,6.0,2.0,3.0,acc,time,ax,rms of ax
axis_ax__energy_mean,4745.389570452423,1.162112901111014,0.026632889364500947,0.022900740740161945,0.0024321333747067153,4.0,2.0,5,0.3279446696167952,0.8775672064033488,1.0,0.8132322969368313,1.0,0.803748834591395,9.0,4.0,1.0,4.0,acc,time,ax,energy_mean of ax
axis_ax__abs_mean,3195.206540639156,1.2008066901278502,0.02476065861532426,0.026304470525268596,0.006599083840725231,3.6,2.3021728866442674,5,0.22081452697832554,0.9067867429046667,0.9297023044119206,0.9341027536046453,1.0,0.7982812655799117,10.0,3.0,3.0,5.0,acc,time,ax,abs_mean of ax
axis_ax__max,14470.092092051478,1.0028378532397961,0.014960478292168787,0.014441703300051104,0.004282752270005048,14.8,8.67179335547152,4,1.0,0.7572909762053399,0.5617294499075136,0.5128419067154473,0.8,0.7263724665656601,1.0,11.0,9.0,6.0,acc,time,ax,max of ax
acc_norm__abs_mean,6294.496401303235,1.1272545192684573,0.014021408719359339,0.015599859337646571,0.00357264615022569,11.0,4.183300132670378,5,0.43500043823223805,0.851243969870936,0.5264696791797782,0.5539693927365986,1.0,0.6733366960039102,4.5,7.5,11.0,7.0,acc,time,acc_norm,abs_mean of acc_norm
axis_ay__median,1472.540905877102,0.9771344568653726,0.024035333927252895,0.017501291437963966,0.0040507569829175746,9.4,5.458937625582472,5,0.10176444603873523,0.7378811084293121,0.9024681324771942,0.6214914878493877,1.0,0.6727210349589259,19.0,13.0,4.0,8.0,acc,time,ay,median of ay
acc_norm__mean,6294.496401303235,1.1272545192684573,0.016545230883372945,0.012441942463009606,0.001308172520056091,15.4,3.9749213828703582,5,0.43500043823223805,0.851243969870936,0.6212330422333422,0.4418280422608568,1.0,0.6698610985194746,4.5,7.5,8.0,9.0,acc,time,acc_norm,mean of acc_norm
axis_ay__mean,1378.3248059101625,0.9603738898483947,0.01811503748753588,0.020841240510448694,0.0019474026714675517,5.6,2.302172886644268,5,0.09525335410044045,0.7252244001518602,0.6801754492203713,0.740097016233252,1.0,0.6481500439411848,23.0,17.0,7.0,10.0,acc,time,ay,mean of ay
axis_ax__min,5961.644582409024,1.1620283707903731,0.013473173097900602,0.013644209467161448,0.003554084345806716,14.6,7.436396977031283,4,0.41199769458853663,0.8775033735027157,0.5058847695233185,0.4845219606983113,0.8,0.6159815596625764,6.0,5.0,14.0,11.0,acc,time,ax,min of ax
acc_norm__median,2641.52304855802,0.9936270157185341,0.01325447442103254,0.01356709503475286,0.005144577642715225,19.0,19.170289512680814,4,0.18255053469970844,0.7503354308840192,0.4976731679251995,0.48178353630819387,0.8,0.5424685339634243,12.0,12.0,15.0,12.0,acc,time,acc_norm,median of acc_norm
axis_az__min,1145.8423906700264,0.8315471187245218,0.013043512069986527,0.014506763708084338,0.0038102166562090974,13.0,4.415880433163924,5,0.07918694527863064,0.6279411245449397,0.4897520464817558,0.5151522784918381,1.0,0.542406478959433,28.0,29.0,17.0,13.0,acc,time,az,min of az
acc_norm__energy_mean,5424.687479274439,1.0973934747808918,0.008531867541402944,0.014314639515833403,0.0048891744975965755,15.4,9.787747442593725,3,0.3748896306094871,0.8286944625328915,0.32035080477505734,0.5083297219669588,0.6,0.5264529239768789,7.0,10.0,26.0,14.0,acc,time,acc_norm,energy_mean of acc_norm
acc_norm__rms,5291.2275041836665,1.0974895219992602,0.012843947891462041,0.011458667209092046,0.003580645055875009,20.4,9.423375191511797,2,0.3656664705741696,0.8287669923955459,0.48225889860008114,0.40691077900123757,0.4,0.4967206281142068,8.0,9.0,19.0,15.0,acc,time,acc_norm,rms of acc_norm
corr__gy__gz,625.330446081201,0.7367216906200524,0.014731152889159976,0.013477490582504054,0.0025955977996531096,14.8,5.403702434442518,4,0.04321537431159124,0.5563338943368556,0.5531188406765648,0.4786015765914817,0.8,0.48625393718329873,59.0,41.0,10.0,16.0,gyro,axis_correlation,"gy,gz",Correlation between gy and gz
axis_gz__std,697.8791146652216,0.6602322560498557,0.013673063093925755,0.013752634123735546,0.0042541537703377486,14.0,6.819090848492928,4,0.048229072090603446,0.49857305255378437,0.5133901510570092,0.4883722480541131,0.8,0.46971290475110206,53.0,58.0,12.0,17.0,gyro,time,gz,std of gz
axis_az__mean,1372.586206683084,0.8704925704257085,0.012296332331664186,0.010838148325957721,0.001301606995253936,20.2,4.764451699828639,3,0.09485677063776636,0.6573507036132492,0.46169727074577205,0.38487542205145026,0.6,0.43975603340964764,25.0,25.0,21.0,18.0,acc,time,az,mean of az
axis_gz__rms,691.1854307908086,0.6561143935383309,0.013221113540685834,0.012179748113426748,0.0024780468794343186,16.8,5.167204273105525,3,0.04776648458032147,0.49546345700834543,0.4964205482829923,0.4325172118569658,0.6,0.414433540345725,55.0,60.0,16.0,19.0,gyro,time,gz,rms of gz
axis_gz__energy_mean,403.08737243129656,0.6555239486881455,0.013530237858169439,0.011593143766182415,0.0028169907097860005,20.6,8.677557259966655,3,0.027856586528064685,0.4950175837741553,0.508027412009,0.4116862000519185,0.6,0.40851755647262766,82.0,62.0,13.0,20.0,gyro,time,gz,energy_mean of gz
axis_az__median,1275.5461368316599,0.8674570467370919,0.012330214784339825,0.010366145271187222,0.001740965372275202,22.6,5.458937625582472,2,0.08815051961779333,0.6550584340404361,0.4629694741560712,0.3681140372234458,0.4,0.39485849300754927,26.0,26.0,20.0,21.0,acc,time,az,median of az
axis_gz__abs_mean,738.4061131961805,0.6501837928529857,0.009629911183306809,0.012048956289382582,0.002755806697624557,17.8,6.220932405998316,3,0.05102981435769798,0.4909849758979847,0.3615796638325898,0.4278726400199745,0.6,0.3862934188216494,50.0,66.0,23.0,22.0,gyro,time,gz,abs_mean of gz
axis_mx__min,1015.302827923185,0.9719548959558151,0.008685440646647252,0.008869912800752293,0.0017445133071992715,29.8,9.47100839404126,1,0.07016560927631538,0.7339697734863382,0.32611710009294376,0.314981058579251,0.2,0.32904670828696964,31.0,14.0,25.0,23.0,mag,time,mx,min of mx
