feature,sensor_group,family,source,description
acc_norm__abs_mean,acc,time,acc_norm,abs_mean of acc_norm
acc_norm__diff_abs_mean,acc,time,acc_norm,diff_abs_mean of acc_norm
acc_norm__diff_rms,acc,time,acc_norm,diff_rms of acc_norm
acc_norm__dominant_freq_ratio,acc,time_frequency,acc_norm,dominant_freq_ratio of acc_norm
acc_norm__energy_mean,acc,time,acc_norm,energy_mean of acc_norm
acc_norm__haar_l1_energy_ratio,acc,wavelet,acc_norm,haar_l1_energy_ratio of acc_norm
acc_norm__haar_l2_energy_ratio,acc,wavelet,acc_norm,haar_l2_energy_ratio of acc_norm
acc_norm__haar_l3_energy_ratio,acc,wavelet,acc_norm,haar_l3_energy_ratio of acc_norm
acc_norm__haar_l4_energy_ratio,acc,wavelet,acc_norm,haar_l4_energy_ratio of acc_norm
acc_norm__high_band_ratio,acc,time_frequency,acc_norm,high_band_ratio of acc_norm
acc_norm__iqr,acc,time,acc_norm,iqr of acc_norm
acc_norm__kurtosis,acc,time,acc_norm,kurtosis of acc_norm
acc_norm__low_band_ratio,acc,time_frequency,acc_norm,low_band_ratio of acc_norm
acc_norm__max,acc,time,acc_norm,max of acc_norm
acc_norm__mean,acc,time,acc_norm,mean of acc_norm
acc_norm__median,acc,time,acc_norm,median of acc_norm
acc_norm__mid_band_ratio,acc,time_frequency,acc_norm,mid_band_ratio of acc_norm
acc_norm__min,acc,time,acc_norm,min of acc_norm
acc_norm__range,acc,time,acc_norm,range of acc_norm
acc_norm__rms,acc,time,acc_norm,rms of acc_norm
acc_norm__skewness,acc,time,acc_norm,skewness of acc_norm
acc_norm__slope,acc,time,acc_norm,slope of acc_norm
acc_norm__spectral_entropy,acc,time_frequency,acc_norm,spectral_entropy of acc_norm
acc_norm__std,acc,time,acc_norm,std of acc_norm
acc_norm__zero_crossing_rate,acc,time,acc_norm,zero_crossing_rate of acc_norm
acc_pca__dominant_axis_var_share,acc,pca,acc_pca,Dominant axis variance share
acc_pca__pca1_var_ratio,acc,pca,acc_pca,PCA variance ratio
acc_pca__pca2_var_ratio,acc,pca,acc_pca,PCA variance ratio
acc_pca__pca3_var_ratio,acc,pca,acc_pca,PCA variance ratio
all9_norm__abs_mean,all9,time,all9_norm,abs_mean of all9_norm
all9_norm__diff_abs_mean,all9,time,all9_norm,diff_abs_mean of all9_norm
all9_norm__diff_rms,all9,time,all9_norm,diff_rms of all9_norm
all9_norm__dominant_freq_ratio,all9,time_frequency,all9_norm,dominant_freq_ratio of all9_norm
all9_norm__energy_mean,all9,time,all9_norm,energy_mean of all9_norm
all9_norm__haar_l1_energy_ratio,all9,wavelet,all9_norm,haar_l1_energy_ratio of all9_norm
all9_norm__haar_l2_energy_ratio,all9,wavelet,all9_norm,haar_l2_energy_ratio of all9_norm
