exercise,feature,cohen_d,abs_cohen_d,stable_subject_ratio,stable_effect_score,mean_subject_diff,sensor_group,family,source,description
db_bench_press,axis_ax__min,1.4957,1.4957,1.0,1.4957,0.9062,acc,time,ax,min of ax
db_bench_press,axis_ax__mean,1.3977,1.3977,1.0,1.3977,0.7956,acc,time,ax,mean of ax
db_bench_press,axis_ax__median,1.3664,1.3664,1.0,1.3664,0.7895,acc,time,ax,median of ax
db_bench_press,axis_az__rms,-1.2683,1.2683,1.0,1.2683,-0.1969,acc,time,az,rms of az
db_bench_press,axis_mx__max,-1.2671,1.2671,1.0,1.2671,-25.6489,mag,time,mx,max of mx
db_bench_press,acc_norm__rms,-1.2558,1.2558,1.0,1.2558,-0.0618,acc,time,acc_norm,rms of acc_norm
db_bench_press,acc_norm__energy_mean,-1.2541,1.2541,1.0,1.2541,-0.1248,acc,time,acc_norm,energy_mean of acc_norm
db_bench_press,axis_az__abs_mean,-1.2514,1.2514,1.0,1.2514,-0.1872,acc,time,az,abs_mean of az
db_bench_press,acc_norm__mean,-1.229,1.229,1.0,1.229,-0.0607,acc,time,acc_norm,mean of acc_norm
db_bench_press,acc_norm__abs_mean,-1.229,1.229,1.0,1.229,-0.0607,acc,time,acc_norm,abs_mean of acc_norm
db_biceps_curl,axis_ax__std,4.1486,4.1486,1.0,4.1486,0.5048,acc,time,ax,std of ax
db_biceps_curl,axis_ax__range,3.8295,3.8295,1.0,3.8295,1.2422,acc,time,ax,range of ax
db_biceps_curl,axis_ax__iqr,3.8271,3.8271,1.0,3.8271,1.0908,acc,time,ax,iqr of ax
db_biceps_curl,gyro_norm__mean,3.609,3.609,1.0,3.609,60.0152,gyro,time,gyro_norm,mean of gyro_norm
db_biceps_curl,gyro_norm__abs_mean,3.609,3.609,1.0,3.609,60.0152,gyro,time,gyro_norm,abs_mean of gyro_norm
db_biceps_curl,gyro_norm__rms,3.5674,3.5674,1.0,3.5674,66.1499,gyro,time,gyro_norm,rms of gyro_norm
db_biceps_curl,gyro_norm__median,3.5191,3.5191,1.0,3.5191,64.7811,gyro,time,gyro_norm,median of gyro_norm
db_biceps_curl,corr__gy__gz,3.5156,3.5156,1.0,3.5156,1.2441,gyro,axis_correlation,"gy,gz",Correlation between gy and gz
db_biceps_curl,axis_gy__abs_mean,3.2762,3.2762,1.0,3.2762,46.9798,gyro,time,gy,abs_mean of gy
db_biceps_curl,axis_gy__rms,3.2112,3.2112,1.0,3.2112,51.8441,gyro,time,gy,rms of gy
db_rdl,axis_ax__max,-3.5236,3.5236,1.0,3.5236,-1.6085,acc,time,ax,max of ax
db_rdl,axis_ax__mean,-3.0424,3.0424,1.0,3.0424,-1.451,acc,time,ax,mean of ax
db_rdl,axis_ax__median,-2.9812,2.9812,1.0,2.9812,-1.4527,acc,time,ax,median of ax
db_rdl,acc_norm__mean,2.5834,2.5834,1.0,2.5834,0.1113,acc,time,acc_norm,mean of acc_norm
db_rdl,acc_norm__abs_mean,2.5834,2.5834,1.0,2.5834,0.1113,acc,time,acc_norm,abs_mean of acc_norm
db_rdl,acc_norm__energy_mean,2.5087,2.5087,1.0,2.5087,0.2208,acc,time,acc_norm,energy_mean of acc_norm
db_rdl,axis_ax__energy_mean,2.4998,2.4998,1.0,2.4998,0.4852,acc,time,ax,energy_mean of ax
db_rdl,acc_norm__rms,2.4872,2.4872,1.0,2.4872,0.1084,acc,time,acc_norm,rms of acc_norm
db_rdl,axis_ax__min,-2.4145,2.4145,1.0,2.4145,-1.3229,acc,time,ax,min of ax
db_rdl,axis_ax__rms,2.2413,2.2413,1.0,2.2413,0.274,acc,time,ax,rms of ax
db_shoulder_press,acc_norm__mean,-1.3991,1.3991,1.0,1.3991,-0.0681,acc,time,acc_norm,mean of acc_norm
db_shoulder_press,acc_norm__abs_mean,-1.3991,1.3991,1.0,1.3991,-0.0681,acc,time,acc_norm,abs_mean of acc_norm
db_shoulder_press,acc_norm__rms,-1.391,1.391,1.0,1.391,-0.0678,acc,time,acc_norm,rms of acc_norm
db_shoulder_press,acc_norm__energy_mean,-1.3777,1.3777,1.0,1.3777,-0.1357,acc,time,acc_norm,energy_mean of acc_norm
db_shoulder_press,axis_ax__min,1.3503,1.3503,1.0,1.3503,0.8209,acc,time,ax,min of ax
db_shoulder_press,axis_ax__mean,1.318,1.318,1.0,1.318,0.749,acc,time,ax,mean of ax
db_shoulder_press,axis_mx__max,-1.2913,1.2913,1.0,1.2913,-26.1126,mag,time,mx,max of mx
db_shoulder_press,axis_ax__median,1.2843,1.2843,1.0,1.2843,0.7422,acc,time,ax,median of ax
db_shoulder_press,acc_norm__median,-1.2554,1.2554,1.0,1.2554,-0.0681,acc,time,acc_norm,median of acc_norm
db_shoulder_press,axis_mx__mean,-1.1731,1.1731,1.0,1.1731,-22.1444,mag,time,mx,mean of mx
db_squat,axis_az__mean,2.6384,2.6384,1.0,2.6384,0.5991,acc,time,az,mean of az
db_squat,axis_az__median,2.5289,2.5289,1.0,2.5289,0.5948,acc,time,az,median of az
db_squat,axis_az__min,2.47,2.47,1.0,2.47,0.7189,acc,time,az,min of az
db_squat,axis_az__max,2.382,2.382,1.0,2.382,0.5079,acc,time,az,max of az
db_squat,corr__ax__gz,-1.8193,1.8193,1.0,1.8193,-0.3516,acc_gyro,axis_correlation,"ax,gz",Correlation between ax and gz
db_squat,axis_az__abs_mean,1.713,1.713,1.0,1.713,0.2734,acc,time,az,abs_mean of az
db_squat,axis_gy__spectral_entropy,1.5799,1.5799,1.0,1.5799,0.2093,gyro,time_frequency,gy,spectral_entropy of gy
db_squat,acc_norm__median,-1.5327,1.5327,1.0,1.5327,-0.0807,acc,time,acc_norm,median of acc_norm
db_squat,axis_az__rms,1.512,1.512,1.0,1.512,0.2507,acc,time,az,rms of az
db_squat,axis_ax__energy_mean,-1.4672,1.4672,1.0,1.4672,-0.3287,acc,time,ax,energy_mean of ax
db_triceps_curl,axis_ay__median,-3.3686,3.3686,1.0,3.3686,-0.6595,acc,time,ay,median of ay
db_triceps_curl,axis_ay__mean,-3.3481,3.3481,1.0,3.3481,-0.647,acc,time,ay,mean of ay
db_triceps_curl,axis_ay__abs_mean,3.1782,3.1782,1.0,3.1782,0.4005,acc,time,ay,abs_mean of ay
db_triceps_curl,axis_ay__min,-3.0666,3.0666,1.0,3.0666,-0.6604,acc,time,ay,min of ay
db_triceps_curl,axis_ay__rms,2.9885,2.9885,1.0,2.9885,0.3964,acc,time,ay,rms of ay
