pair_name,pair_type,feature_x,feature_y,rationale,accuracy,balanced_accuracy,macro_f1,min_class_f1,mean_recall
best_acc_vs_best_spectral,mixed_family,axis_ax__mean,axis_gz__spectral_entropy,Best accelerometer feature vs best spectral feature.,0.7116,0.7104,0.7122,0.4615,0.7104
best_acc_vs_best_gyro,mixed_sensor,axis_ax__mean,axis_gz__std,Best accelerometer feature vs best gyroscope feature.,0.6518,0.6563,0.6517,0.4207,0.6563
best_acc_vs_best_wavelet,mixed_family,axis_ax__mean,axis_gy__haar_l2_energy_ratio,Best accelerometer feature vs best wavelet feature.,0.6493,0.6473,0.6451,0.2635,0.6473
ranked_pair_11,ranked_diverse,axis_ax__rms,acc_norm__abs_mean,High composite relevance with low pairwise redundancy.,0.6498,0.6466,0.6426,0.2713,0.6466
best_acc_vs_best_corr,mixed_family,axis_ax__mean,corr__gy__gz,Best accelerometer feature vs best axis-correlation feature.,0.6423,0.6398,0.6351,0.2657,0.6398
ranked_pair_07,ranked_diverse,axis_ax__median,axis_ax__abs_mean,High composite relevance with low pairwise redundancy.,0.6386,0.6357,0.6347,0.2566,0.6357
acc_axis_time_top2,method_top2,axis_ax__mean,axis_ax__median,Top two ranked features inside acc_axis_time.,0.637,0.6338,0.6321,0.262,0.6338
db_rdl_best_effect_pair,exercise_effect,axis_ax__max,axis_ax__mean,Top two one-vs-rest stable-effect features for db_rdl.,0.625,0.6238,0.6237,0.3274,0.6238
ranked_pair_09,ranked_diverse,axis_ax__median,axis_ay__median,High composite relevance with low pairwise redundancy.,0.6167,0.6165,0.6196,0.2316,0.6165
db_bench_press_best_effect_pair,exercise_effect,axis_ax__min,axis_ax__mean,Top two one-vs-rest stable-effect features for db_bench_press.,0.6163,0.6129,0.6126,0.2967,0.6129
ranked_pair_10,ranked_diverse,axis_ax__median,axis_ay__mean,High composite relevance with low pairwise redundancy.,0.6106,0.6093,0.6112,0.1875,0.6093
one_arm_db_row_best_effect_pair,exercise_effect,axis_ax__max,axis_ax__median,Top two one-vs-rest stable-effect features for one_arm_db_row.,0.6073,0.6073,0.6075,0.3165,0.6073
ranked_pair_01,ranked_diverse,axis_ax__mean,axis_ax__rms,High composite relevance with low pairwise redundancy.,0.6089,0.6079,0.6041,0.249,0.6079
