exercise,signal,method,sets,mean_abs_error,median_abs_error,p80_abs_error,median_relative_abs_error,within_10_percent,within_20_percent
db_bench_press,pca_motion,autocorr,30,184.9833,12.0,170.6,0.0298,0.6333,0.6333
db_bench_press,acc_magnitude,autocorr,30,480.7167,14.0,55.4,0.0321,0.7,0.7667
db_bench_press,transition_energy,autocorr,30,504.95,17.5,637.1,0.0442,0.5667,0.5667
db_bench_press,gyro_magnitude,autocorr,30,388.95,20.0,204.2,0.0588,0.5667,0.5667
db_bench_press,abs_pca_motion,autocorr,30,368.75,23.5,264.8,0.067,0.5333,0.5667
db_bench_press,motion_energy,autocorr,30,420.5833,26.0,419.6,0.073,0.5333,0.5667
db_bench_press,acc_magnitude,fft,30,384.8315,23.1666,177.025,0.1071,0.5,0.5333
db_bench_press,motion_energy,fft,30,383.6753,81.4772,163.8923,0.2751,0.4333,0.4667
db_bench_press,pca_velocity,fft,30,412.9218,88.8305,162.528,0.2758,0.4,0.4333
db_bench_press,pca_velocity,autocorr,30,532.6167,84.25,725.6,0.4503,0.4667,0.4667
db_bench_press,pca_motion,fft,30,107.6013,112.4726,186.9343,0.4519,0.4,0.4667
db_bench_press,abs_pca_motion,fft,30,430.8208,107.2354,177.025,0.4524,0.4333,0.4333
db_bench_press,transition_energy,fft,30,501.5219,126.6191,179.3,0.453,0.3333,0.3333
db_bench_press,gyro_magnitude,fft,30,454.0366,148.9519,190.9286,0.4932,0.2333,0.2667
db_biceps_curl,pca_motion,autocorr,25,84.1,6.0,12.0,0.0188,0.92,0.92
db_biceps_curl,abs_pca_motion,autocorr,25,46.26,7.0,18.4,0.0212,0.88,0.92
db_biceps_curl,acc_magnitude,autocorr,25,76.58,7.0,19.4,0.0217,0.88,0.88
db_biceps_curl,motion_energy,autocorr,25,147.98,8.0,13.4,0.0242,0.88,0.88
db_biceps_curl,gyro_magnitude,autocorr,25,166.18,9.0,234.9,0.0261,0.6,0.6
db_biceps_curl,motion_energy,fft,25,126.9416,10.125,21.5273,0.033,0.88,0.92
db_biceps_curl,transition_energy,autocorr,25,199.22,10.0,130.8,0.0333,0.72,0.76
db_biceps_curl,pca_velocity,autocorr,25,129.18,12.0,56.5,0.0362,0.72,0.8
db_biceps_curl,pca_motion,fft,25,35.1616,12.0833,30.8971,0.0438,0.76,0.84
db_biceps_curl,pca_velocity,fft,25,80.1391,16.5,72.44,0.057,0.72,0.8
db_biceps_curl,abs_pca_motion,fft,25,68.3298,18.6364,178.4056,0.0584,0.64,0.68
db_biceps_curl,transition_energy,fft,25,130.2686,18.6364,76.735,0.0584,0.68,0.8
db_biceps_curl,acc_magnitude,fft,25,94.8812,30.3,188.7667,0.1015,0.48,0.56
db_biceps_curl,gyro_magnitude,fft,25,122.2197,140.16,168.9445,0.4863,0.2,0.24
db_rdl,pca_motion,autocorr,25,66.36,6.0,15.4,0.0185,0.88,0.92
db_rdl,acc_magnitude,autocorr,25,240.72,9.0,136.6,0.0234,0.76,0.76
db_rdl,pca_motion,fft,25,50.0243,9.25,58.0788,0.0276,0.8,0.8
db_rdl,acc_magnitude,fft,25,44.9199,12.5,38.8909,0.0331,0.76,0.84
db_rdl,pca_velocity,fft,25,219.2978,12.5,181.0354,0.0331,0.6,0.64
db_rdl,gyro_magnitude,autocorr,25,249.2,14.0,585.8,0.0372,0.52,0.56
db_rdl,motion_energy,autocorr,25,389.8,14.0,889.2,0.0372,0.6,0.6
db_rdl,abs_pca_motion,autocorr,25,156.2,14.0,147.4,0.0396,0.72,0.76
db_rdl,transition_energy,autocorr,25,264.4,19.0,651.2,0.0506,0.52,0.56
db_rdl,motion_energy,fft,25,224.6888,24.2727,180.113,0.0668,0.6,0.68
db_rdl,abs_pca_motion,fft,25,111.2411,44.1818,198.9963,0.1086,0.48,0.52
db_rdl,transition_energy,fft,25,235.4812,44.1818,203.4709,0.1086,0.48,0.52
db_rdl,gyro_magnitude,fft,25,303.3541,142.0,228.7177,0.4698,0.44,0.44
db_rdl,pca_velocity,autocorr,25,319.04,176.0,628.2,0.4894,0.44,0.44
db_shoulder_press,motion_energy,fft,26,23.56,5.3155,28.6667,0.0155,0.7692,0.9231
db_shoulder_press,pca_velocity,fft,26,29.5584,5.3155,45.5833,0.0155,0.6923,0.8846
db_shoulder_press,pca_motion,autocorr,26,151.9423,9.0,31.5,0.0268,0.8077,0.8462
db_shoulder_press,abs_pca_motion,fft,26,65.1657,10.0834,151.1364,0.0322,0.6154,0.6923
db_shoulder_press,gyro_magnitude,autocorr,26,116.1346,10.5,218.0,0.0353,0.6923,0.7308
db_shoulder_press,abs_pca_motion,autocorr,26,100.25,10.0,97.0,0.0358,0.6923,0.7692
db_shoulder_press,pca_velocity,autocorr,26,146.4038,10.5,343.5,0.0358,0.6923,0.7692
db_shoulder_press,transition_energy,autocorr,26,177.8654,11.0,356.0,0.0372,0.6923,0.7308
db_shoulder_press,motion_energy,autocorr,26,127.3654,13.25,345.5,0.0446,0.7308,0.7692
db_shoulder_press,acc_magnitude,autocorr,26,149.1731,15.25,323.0,0.0506,0.6154,0.6154
db_shoulder_press,transition_energy,fft,26,53.0068,16.6136,99.5,0.0508,0.6538,0.7692
db_shoulder_press,pca_motion,fft,26,75.7819,31.1944,140.68,0.1034,0.4615,0.5769
db_shoulder_press,acc_magnitude,fft,26,116.2746,42.3954,211.8261,0.1274,0.4615,0.5385
db_shoulder_press,gyro_magnitude,fft,26,120.1586,133.1548,208.1,0.4782,0.2692,0.3462
db_squat,pca_motion,autocorr,24,360.0417,7.0,12.2,0.0214,0.9167,0.9167
db_squat,acc_magnitude,autocorr,24,879.2917,7.0,44.6,0.0222,0.7917,0.8333
db_squat,pca_motion,fft,24,84.3296,6.5833,15.8545,0.0225,0.9167,0.9167
