file,subject,exercise,set_id,num_reps,set_length_samples,true_period_samples,signal,method,estimated_period_samples,signed_error_samples,abs_error_samples,relative_abs_error,within_10_percent,within_20_percent
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,13,18662,474.5,pca_motion,autocorr,2095.0,1620.5,1620.5,3.4152,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,13,18662,474.5,pca_motion,fft,124.4133,-350.0867,350.0867,0.7378,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,13,18662,474.5,abs_pca_motion,autocorr,7938.0,7463.5,7463.5,15.7292,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,13,18662,474.5,abs_pca_motion,fft,9331.0,8856.5,8856.5,18.6649,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,13,18662,474.5,acc_magnitude,autocorr,12963.0,12488.5,12488.5,26.3193,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,13,18662,474.5,acc_magnitude,fft,9331.0,8856.5,8856.5,18.6649,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,13,18662,474.5,gyro_magnitude,autocorr,7950.0,7475.5,7475.5,15.7545,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,13,18662,474.5,gyro_magnitude,fft,9331.0,8856.5,8856.5,18.6649,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,13,18662,474.5,pca_velocity,autocorr,7319.0,6844.5,6844.5,14.4247,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,13,18662,474.5,pca_velocity,fft,9331.0,8856.5,8856.5,18.6649,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,13,18662,474.5,motion_energy,autocorr,7319.0,6844.5,6844.5,14.4247,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,13,18662,474.5,motion_energy,fft,9331.0,8856.5,8856.5,18.6649,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,13,18662,474.5,transition_energy,autocorr,7661.0,7186.5,7186.5,15.1454,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,13,18662,474.5,transition_energy,fft,9331.0,8856.5,8856.5,18.6649,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,12,5142,433.0,pca_motion,autocorr,421.0,-12.0,12.0,0.0277,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,12,5142,433.0,pca_motion,fft,214.25,-218.75,218.75,0.5052,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,12,5142,433.0,abs_pca_motion,autocorr,1277.0,844.0,844.0,1.9492,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,12,5142,433.0,abs_pca_motion,fft,214.25,-218.75,218.75,0.5052,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,12,5142,433.0,acc_magnitude,autocorr,429.0,-4.0,4.0,0.0092,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,12,5142,433.0,acc_magnitude,fft,428.5,-4.5,4.5,0.0104,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,12,5142,433.0,gyro_magnitude,autocorr,1279.0,846.0,846.0,1.9538,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,12,5142,433.0,gyro_magnitude,fft,428.5,-4.5,4.5,0.0104,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,12,5142,433.0,pca_velocity,autocorr,1271.0,838.0,838.0,1.9353,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,12,5142,433.0,pca_velocity,fft,428.5,-4.5,4.5,0.0104,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,12,5142,433.0,motion_energy,autocorr,1278.0,845.0,845.0,1.9515,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,12,5142,433.0,motion_energy,fft,428.5,-4.5,4.5,0.0104,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,12,5142,433.0,transition_energy,autocorr,855.0,422.0,422.0,0.9746,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,12,5142,433.0,transition_energy,fft,428.5,-4.5,4.5,0.0104,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,2,12,5387,435.0,pca_motion,autocorr,1045.0,610.0,610.0,1.4023,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,2,12,5387,435.0,pca_motion,fft,149.6389,-285.3611,285.3611,0.656,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,2,12,5387,435.0,abs_pca_motion,autocorr,489.0,54.0,54.0,0.1241,False,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,2,12,5387,435.0,abs_pca_motion,fft,448.9167,13.9167,13.9167,0.032,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,2,12,5387,435.0,acc_magnitude,autocorr,437.0,2.0,2.0,0.0046,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,2,12,5387,435.0,acc_magnitude,fft,489.7273,54.7273,54.7273,0.1258,False,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,2,12,5387,435.0,gyro_magnitude,autocorr,469.0,34.0,34.0,0.0782,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,2,12,5387,435.0,gyro_magnitude,fft,448.9167,13.9167,13.9167,0.032,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,2,12,5387,435.0,pca_velocity,autocorr,464.0,29.0,29.0,0.0667,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,2,12,5387,435.0,pca_velocity,fft,448.9167,13.9167,13.9167,0.032,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,2,12,5387,435.0,motion_energy,autocorr,462.0,27.0,27.0,0.0621,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,2,12,5387,435.0,motion_energy,fft,448.9167,13.9167,13.9167,0.032,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,2,12,5387,435.0,transition_energy,autocorr,459.0,24.0,24.0,0.0552,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,2,12,5387,435.0,transition_energy,fft,448.9167,13.9167,13.9167,0.032,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0,12,4404,330.0,pca_motion,autocorr,339.0,9.0,9.0,0.0273,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0,12,4404,330.0,pca_motion,fft,338.7692,8.7692,8.7692,0.0266,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0,12,4404,330.0,abs_pca_motion,autocorr,337.0,7.0,7.0,0.0212,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0,12,4404,330.0,abs_pca_motion,fft,163.1111,-166.8889,166.8889,0.5057,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0,12,4404,330.0,acc_magnitude,autocorr,337.0,7.0,7.0,0.0212,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0,12,4404,330.0,acc_magnitude,fft,110.1,-219.9,219.9,0.6664,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0,12,4404,330.0,gyro_magnitude,autocorr,338.0,8.0,8.0,0.0242,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0,12,4404,330.0,gyro_magnitude,fft,163.1111,-166.8889,166.8889,0.5057,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0,12,4404,330.0,pca_velocity,autocorr,352.0,22.0,22.0,0.0667,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0,12,4404,330.0,pca_velocity,fft,338.7692,8.7692,8.7692,0.0266,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0,12,4404,330.0,motion_energy,autocorr,338.0,8.0,8.0,0.0242,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0,12,4404,330.0,motion_energy,fft,338.7692,8.7692,8.7692,0.0266,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0,12,4404,330.0,transition_energy,autocorr,341.0,11.0,11.0,0.0333,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,0,12,4404,330.0,transition_energy,fft,338.7692,8.7692,8.7692,0.0266,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,12,4487,373.0,pca_motion,autocorr,372.0,-1.0,1.0,0.0027,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,12,4487,373.0,pca_motion,fft,373.9167,0.9167,0.9167,0.0025,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,1,12,4487,373.0,abs_pca_motion,autocorr,366.0,-7.0,7.0,0.0188,True,True
