signal,method,sets,mean_abs_error,median_abs_error,p80_abs_error,median_relative_abs_error,within_10_percent,within_20_percent
pca_motion,autocorr,207,113.8164,7.0,15.9,0.0217,0.8696,0.8841
acc_magnitude,autocorr,207,256.4251,8.0,75.4,0.0251,0.7585,0.7874
pca_motion,fft,207,50.1975,8.25,50.9454,0.0266,0.7585,0.8019
abs_pca_motion,autocorr,207,194.4638,9.0,143.4,0.0281,0.7198,0.7536
motion_energy,autocorr,207,248.7536,10.0,318.0,0.0298,0.715,0.7295
gyro_magnitude,autocorr,207,194.4831,11.0,198.0,0.0336,0.6522,0.6715
transition_energy,autocorr,207,280.599,12.0,419.4,0.0352,0.6522,0.6763
motion_energy,fft,207,206.2619,11.875,128.1299,0.0362,0.7005,0.7391
pca_velocity,fft,207,200.431,15.2727,158.82,0.0438,0.6135,0.6715
pca_velocity,autocorr,207,283.1932,14.0,370.4,0.0452,0.6039,0.6329
transition_energy,fft,207,216.8409,16.5,161.9714,0.0514,0.6039,0.6473
abs_pca_motion,fft,207,174.2709,20.6364,172.1589,0.0598,0.5556,0.5749
acc_magnitude,fft,207,252.3141,21.7273,169.2834,0.0671,0.5556,0.5942
gyro_magnitude,fft,207,236.135,133.5385,179.4977,0.4821,0.314,0.3333
