exercise,feature,objective,boundaries,mean_abs_error,median_abs_error,p80_abs_error,p90_abs_error,within_25_samples,within_50_samples,within_100_samples
db_bench_press,acc_jerk_max_s21_e21,max,309,61.8091,53.0,101.0,122.4,0.2201,0.479,0.7929
db_bench_press,acc_jerk_max_s21_e51,max,309,65.4531,63.0,104.0,125.2,0.2298,0.4272,0.767
db_bench_press,acc_jerk_max_s21_e81,max,309,71.6472,70.0,108.2,128.0,0.1812,0.3172,0.7443
db_bench_press,acc_jerk_max_s51_e21,max,309,57.123,52.0,94.0,115.0,0.2686,0.4725,0.8479
db_bench_press,acc_jerk_max_s51_e51,max,309,62.5502,60.0,98.0,117.0,0.2233,0.4239,0.822
db_bench_press,acc_jerk_max_s51_e81,max,309,68.5405,66.0,107.0,122.2,0.1618,0.3625,0.7573
db_bench_press,acc_jerk_max_s9_e21,max,309,56.1294,48.0,85.8,113.4,0.1974,0.5275,0.8544
db_bench_press,acc_jerk_max_s9_e51,max,309,62.3107,54.0,102.4,119.2,0.1909,0.4563,0.7864
db_bench_press,acc_jerk_max_s9_e81,max,309,70.4207,69.0,112.4,126.0,0.1715,0.3528,0.754
db_bench_press,acc_magnitude_min_s21,min,309,61.4725,59.0,100.0,115.2,0.2362,0.4369,0.8026
db_bench_press,acc_magnitude_min_s51,min,309,61.767,60.0,100.4,118.0,0.2427,0.4239,0.7994
db_bench_press,acc_magnitude_min_s9,min,309,61.0777,60.0,97.4,114.2,0.233,0.4239,0.8188
db_bench_press,gyro_jerk_max_s21_e21,max,309,59.2524,50.0,93.0,125.0,0.2265,0.5113,0.8155
db_bench_press,gyro_jerk_max_s21_e51,max,309,63.0939,50.0,100.8,120.4,0.1715,0.5049,0.7994
db_bench_press,gyro_jerk_max_s21_e81,max,309,66.7476,61.0,104.0,122.2,0.1942,0.3981,0.7735
db_bench_press,gyro_jerk_max_s51_e21,max,309,55.9223,47.0,95.4,117.0,0.2913,0.5275,0.822
db_bench_press,gyro_jerk_max_s51_e51,max,309,57.4563,48.0,101.0,117.0,0.288,0.5178,0.7961
db_bench_press,gyro_jerk_max_s51_e81,max,309,62.835,55.0,100.0,119.2,0.2168,0.466,0.8026
db_bench_press,gyro_jerk_max_s9_e21,max,309,56.7605,46.0,93.4,117.0,0.246,0.5178,0.8317
db_bench_press,gyro_jerk_max_s9_e51,max,309,64.7087,57.0,105.8,120.2,0.1942,0.4369,0.7605
