subject,feature,objective,boundaries,mean_abs_error,median_abs_error,p80_abs_error,p90_abs_error,within_25_samples,within_50_samples,within_100_samples
haoyu0512workout,acc_jerk_max_s21_e21,max,265,76.8642,78.0,116.0,131.6,0.1509,0.3396,0.6415
haoyu0512workout,acc_jerk_max_s21_e51,max,265,75.8604,77.0,119.2,131.0,0.166,0.3698,0.6453
haoyu0512workout,acc_jerk_max_s21_e81,max,265,81.8226,84.0,124.0,136.0,0.1358,0.3019,0.5925
haoyu0512workout,acc_jerk_max_s51_e21,max,265,78.3925,86.0,119.4,131.0,0.166,0.3019,0.6189
haoyu0512workout,acc_jerk_max_s51_e51,max,265,84.3509,93.0,119.0,131.0,0.1208,0.2604,0.5585
haoyu0512workout,acc_jerk_max_s51_e81,max,265,90.1774,98.0,130.2,139.6,0.0943,0.2377,0.5321
haoyu0512workout,acc_jerk_max_s9_e21,max,265,69.5358,64.0,115.0,130.0,0.1925,0.4151,0.7245
haoyu0512workout,acc_jerk_max_s9_e51,max,265,71.8038,66.0,118.2,131.0,0.1698,0.4226,0.6717
haoyu0512workout,acc_jerk_max_s9_e81,max,265,74.8491,74.0,117.2,131.6,0.1434,0.3774,0.6792
haoyu0512workout,acc_magnitude_min_s21,min,265,90.7283,93.0,125.0,134.0,0.0377,0.1396,0.5811
haoyu0512workout,acc_magnitude_min_s51,min,265,90.6038,94.0,125.0,136.6,0.0491,0.166,0.5698
haoyu0512workout,acc_magnitude_min_s9,min,265,89.7019,92.0,125.0,137.0,0.0453,0.1321,0.6
haoyu0512workout,gyro_jerk_max_s21_e21,max,265,61.0302,54.0,104.0,114.6,0.2642,0.4717,0.7736
haoyu0512workout,gyro_jerk_max_s21_e51,max,265,66.9321,62.0,111.0,123.0,0.1849,0.4377,0.7283
haoyu0512workout,gyro_jerk_max_s21_e81,max,265,70.566,64.0,110.0,126.8,0.1283,0.3736,0.7094
haoyu0512workout,gyro_jerk_max_s51_e21,max,265,53.1509,39.0,99.2,117.6,0.3623,0.566,0.8075
haoyu0512workout,gyro_jerk_max_s51_e51,max,265,54.4189,39.0,103.0,119.0,0.3547,0.566,0.7849
haoyu0512workout,gyro_jerk_max_s51_e81,max,265,61.2075,50.0,99.4,119.0,0.1585,0.5057,0.8
haoyu0512workout,gyro_jerk_max_s9_e21,max,265,69.8755,72.0,111.2,126.0,0.2038,0.3849,0.7358
haoyu0512workout,gyro_jerk_max_s9_e51,max,265,72.9547,74.0,115.0,130.6,0.1547,0.3547,0.717
haoyu0512workout,gyro_jerk_max_s9_e81,max,265,76.3245,73.0,117.0,130.6,0.1283,0.3132,0.6491
haoyu0512workout,gyro_magnitude_min_s21,min,265,47.9434,34.0,86.0,123.0,0.3811,0.683,0.834
haoyu0512workout,gyro_magnitude_min_s51,min,265,48.2906,32.0,82.0,122.2,0.3736,0.6679,0.8377
haoyu0512workout,gyro_magnitude_min_s9,min,265,45.3698,33.0,73.2,112.0,0.3849,0.6717,0.8604
haoyu0512workout,motion_energy_min_s21_e21,min,265,70.4075,64.0,124.0,135.2,0.2189,0.4264,0.6642
haoyu0512workout,motion_energy_min_s21_e51,min,265,73.0038,69.0,124.0,135.0,0.2,0.4113,0.6491
haoyu0512workout,motion_energy_min_s21_e81,min,265,76.7245,76.0,124.0,134.0,0.1509,0.3547,0.6377
haoyu0512workout,motion_energy_min_s51_e21,min,265,74.1962,68.0,124.0,136.0,0.1509,0.3849,0.6755
haoyu0512workout,motion_energy_min_s51_e51,min,265,76.2566,69.0,128.0,141.0,0.1623,0.3887,0.6566
haoyu0512workout,motion_energy_min_s51_e81,min,265,80.2604,78.0,129.0,136.0,0.1396,0.317,0.634
haoyu0512workout,motion_energy_min_s9_e21,min,265,71.8453,69.0,121.0,134.6,0.2075,0.4,0.6642
haoyu0512workout,motion_energy_min_s9_e51,min,265,72.7094,70.0,124.2,134.6,0.2,0.4075,0.6566
haoyu0512workout,motion_energy_min_s9_e81,min,265,74.2075,70.0,123.0,135.0,0.1849,0.3774,0.6528
haoyu0512workout,pca_extreme_max_s21,max,265,69.9019,63.0,104.4,124.6,0.0679,0.3774,0.7849
haoyu0512workout,pca_extreme_max_s51,max,265,73.8226,65.0,113.0,130.6,0.0189,0.317,0.7509
haoyu0512workout,pca_extreme_max_s9,max,265,68.6906,62.0,102.2,121.6,0.083,0.3849,0.7925
haoyu0512workout,pca_velocity_min_s21_e21,min,265,63.1698,55.0,102.6,126.6,0.2264,0.4566,0.7849
haoyu0512workout,pca_velocity_min_s21_e51,min,265,65.2038,59.0,107.0,128.0,0.1925,0.434,0.7698
haoyu0512workout,pca_velocity_min_s21_e81,min,265,72.683,69.0,122.0,134.2,0.1736,0.3774,0.6906
haoyu0512workout,pca_velocity_min_s51_e21,min,265,70.7925,71.0,108.2,127.0,0.1698,0.3623,0.7509
haoyu0512workout,pca_velocity_min_s51_e51,min,265,71.9887,68.0,116.2,134.0,0.1585,0.3925,0.717
haoyu0512workout,pca_velocity_min_s51_e81,min,265,77.117,70.0,126.0,141.0,0.1434,0.3019,0.6755
haoyu0512workout,pca_velocity_min_s9_e21,min,265,62.5057,51.0,105.0,128.0,0.234,0.4943,0.7698
haoyu0512workout,pca_velocity_min_s9_e51,min,265,64.5132,52.0,109.4,132.6,0.2226,0.483,0.7509
haoyu0512workout,pca_velocity_min_s9_e81,min,265,69.2075,60.0,123.0,137.2,0.2302,0.4377,0.6981
haoyu0512workout,transition_energy_max_s21_e21,max,265,64.2415,56.0,110.2,123.0,0.2868,0.4717,0.7245
haoyu0512workout,transition_energy_max_s21_e51,max,265,68.8038,65.0,114.0,127.2,0.1962,0.4453,0.6906
haoyu0512workout,transition_energy_max_s21_e81,max,265,77.0717,74.0,119.0,131.0,0.0792,0.3321,0.6453
haoyu0512workout,transition_energy_max_s51_e21,max,265,69.7283,76.0,118.0,128.6,0.2906,0.3887,0.6528
haoyu0512workout,transition_energy_max_s51_e51,max,265,76.4453,82.0,118.2,130.0,0.2,0.3057,0.6189
haoyu0512workout,transition_energy_max_s51_e81,max,265,73.4981,68.0,117.0,131.0,0.1245,0.4151,0.6679
haoyu0512workout,transition_energy_max_s9_e21,max,265,67.4151,61.0,117.4,129.0,0.2717,0.4528,0.717
haoyu0512workout,transition_energy_max_s9_e51,max,265,72.4679,72.0,117.0,131.0,0.1887,0.4038,0.683
