feature,objective,boundaries,mean_abs_error,median_abs_error,p80_abs_error,p90_abs_error,within_25_samples,within_50_samples,within_100_samples
acc_jerk_max_s21_e21,max,2214,64.0944,65.0,96.4,112.0,0.1942,0.3803,0.827
acc_jerk_max_s21_e51,max,2214,67.4783,72.0,102.0,116.0,0.1874,0.3559,0.7891
acc_jerk_max_s21_e81,max,2214,70.7082,77.0,103.0,117.0,0.1739,0.3144,0.7796
acc_jerk_max_s51_e21,max,2214,65.0935,68.0,97.0,111.0,0.1811,0.3631,0.8338
acc_jerk_max_s51_e51,max,2214,69.0646,73.0,100.4,114.0,0.1572,0.3229,0.7999
acc_jerk_max_s51_e81,max,2214,72.3853,78.0,106.0,119.0,0.1558,0.2981,0.7606
acc_jerk_max_s9_e21,max,2214,60.5705,59.5,93.0,111.0,0.2154,0.4246,0.8473
acc_jerk_max_s9_e51,max,2214,64.7751,66.0,99.0,115.7,0.1987,0.3835,0.8085
acc_jerk_max_s9_e81,max,2214,68.1007,73.0,102.0,117.0,0.1861,0.3496,0.7927
acc_magnitude_min_s21,min,2214,62.294,62.0,96.0,110.7,0.2033,0.4088,0.8388
acc_magnitude_min_s51,min,2214,64.4824,65.0,99.0,113.7,0.2005,0.3889,0.8166
acc_magnitude_min_s9,min,2214,60.4196,60.0,93.0,108.0,0.2154,0.4192,0.8582
gyro_jerk_max_s21_e21,max,2214,58.2389,55.0,92.4,109.0,0.2331,0.4625,0.8541
gyro_jerk_max_s21_e51,max,2214,61.9115,60.0,96.0,112.0,0.1992,0.4309,0.8288
gyro_jerk_max_s21_e81,max,2214,64.785,64.5,100.0,114.7,0.1924,0.378,0.8049
gyro_jerk_max_s51_e21,max,2214,56.2294,53.0,90.0,106.0,0.2466,0.4846,0.8704
gyro_jerk_max_s51_e51,max,2214,57.5068,54.0,91.0,109.0,0.234,0.4747,0.8613
gyro_jerk_max_s51_e81,max,2214,61.3812,60.0,95.0,111.0,0.1978,0.4232,0.8397
gyro_jerk_max_s9_e21,max,2214,59.4738,58.0,93.0,110.0,0.224,0.4399,0.8568
gyro_jerk_max_s9_e51,max,2214,63.0492,64.0,97.0,114.0,0.2091,0.4051,0.8252
gyro_jerk_max_s9_e81,max,2214,66.6766,68.0,102.0,117.0,0.1893,0.369,0.7855
gyro_magnitude_min_s21,min,2214,48.0863,39.0,87.0,104.0,0.3975,0.5786,0.8826
gyro_magnitude_min_s51,min,2214,50.0447,40.0,92.0,107.0,0.3826,0.5682,0.8622
gyro_magnitude_min_s9,min,2214,46.2791,36.5,83.0,102.0,0.4042,0.593,0.8921
motion_energy_min_s21_e21,min,2214,58.4575,57.0,96.0,110.7,0.2873,0.4548,0.8279
motion_energy_min_s21_e51,min,2214,59.1789,59.0,97.0,112.0,0.2827,0.4476,0.8284
motion_energy_min_s21_e81,min,2214,61.248,61.0,99.0,113.7,0.2629,0.4286,0.8098
motion_energy_min_s51_e21,min,2214,60.2502,58.0,98.0,113.0,0.262,0.4458,0.8211
