feature,objective,boundaries,median_abs_error,p80_abs_error,within_25_samples,within_50_samples,within_100_samples,worst_exercise_within_50,exercise_within_50_std,subject_within_50_std,universal_score
gyro_magnitude_min_s9,min,2214,36.5,83.0,0.4042,0.593,0.8921,0.4143,0.108,0.2063,0.5066
gyro_magnitude_min_s21,min,2214,39.0,87.0,0.3975,0.5786,0.8826,0.3944,0.0968,0.2009,0.4924
gyro_magnitude_min_s51,min,2214,40.0,92.0,0.3826,0.5682,0.8622,0.3785,0.0963,0.1996,0.4766
pca_velocity_min_s21_e21,min,2214,50.0,90.0,0.2945,0.5045,0.8753,0.3944,0.0641,0.1483,0.4505
pca_velocity_min_s9_e21,min,2214,48.0,91.0,0.294,0.5158,0.8627,0.3267,0.0982,0.1572,0.4362
gyro_jerk_max_s51_e21,max,2214,53.0,90.0,0.2466,0.4846,0.8704,0.3732,0.073,0.0931,0.4335
gyro_jerk_max_s51_e51,max,2214,54.0,91.0,0.234,0.4747,0.8613,0.3486,0.082,0.0822,0.4216
pca_velocity_min_s9_e51,min,2214,50.0,95.0,0.2981,0.5009,0.8446,0.2908,0.1,0.1522,0.4195
gyro_jerk_max_s21_e21,max,2214,55.0,92.4,0.2331,0.4625,0.8541,0.3486,0.0663,0.1243,0.4141
pca_velocity_min_s21_e51,min,2214,54.0,94.0,0.2706,0.477,0.8464,0.2869,0.0882,0.1693,0.4069
pca_extreme_max_s9,max,2214,54.0,91.0,0.2191,0.4706,0.8735,0.3134,0.0987,0.1621,0.4043
pca_velocity_min_s51_e21,min,2214,55.0,91.0,0.2371,0.4621,0.8604,0.2829,0.0718,0.1332,0.4024
gyro_jerk_max_s9_e21,max,2214,58.0,93.0,0.224,0.4399,0.8568,0.3204,0.0932,0.1269,0.3961
motion_energy_min_s21_e21,min,2214,57.0,96.0,0.2873,0.4548,0.8279,0.2709,0.1089,0.1603,0.3954
motion_energy_min_s9_e21,min,2214,56.0,95.0,0.2873,0.4557,0.8451,0.255,0.1164,0.1501,0.3939
pca_extreme_max_s21,max,2214,55.0,93.0,0.2114,0.4607,0.8636,0.2817,0.1093,0.1553,0.3901
motion_energy_min_s9_e51,min,2214,59.0,96.0,0.2868,0.4508,0.8338,0.247,0.1208,0.1604,0.3882
pca_velocity_min_s9_e81,min,2214,56.0,99.0,0.2624,0.4603,0.808,0.251,0.1085,0.1553,0.3852
transition_energy_max_s21_e21,max,2214,60.0,95.0,0.2267,0.4277,0.841,0.3063,0.1079,0.1375,0.3851
gyro_jerk_max_s51_e81,max,2214,60.0,95.0,0.1978,0.4232,0.8397,0.3063,0.0645,0.1158,0.3832
motion_energy_min_s21_e51,min,2214,59.0,97.0,0.2827,0.4476,0.8284,0.2311,0.1212,0.1604,0.3819
gyro_jerk_max_s21_e51,max,2214,60.0,96.0,0.1992,0.4309,0.8288,0.3028,0.0722,0.1407,0.3819
motion_energy_min_s51_e21,min,2214,58.0,98.0,0.262,0.4458,0.8211,0.255,0.1065,0.1697,0.3816
acc_magnitude_min_s9,min,2214,60.0,93.0,0.2154,0.4192,0.8582,0.2908,0.0695,0.1575,0.3816
pca_extreme_max_s51,max,2214,58.0,95.0,0.21,0.439,0.8491,0.2923,0.1037,0.1711,0.3815
transition_energy_max_s9_e21,max,2214,58.5,93.0,0.2281,0.4381,0.8568,0.2519,0.1436,0.1321,0.3782
gyro_jerk_max_s9_e51,max,2214,64.0,97.0,0.2091,0.4051,0.8252,0.3239,0.0918,0.1273,0.3771
pca_velocity_min_s51_e51,min,2214,59.0,97.0,0.2254,0.435,0.8229,0.251,0.0855,0.1335,0.3757
motion_energy_min_s9_e81,min,2214,60.0,97.0,0.2692,0.4381,0.8243,0.2231,0.1235,0.1586,0.3745
acc_magnitude_min_s21,min,2214,62.0,96.0,0.2033,0.4088,0.8388,0.2988,0.0739,0.1611,0.373
motion_energy_min_s51_e51,min,2214,61.0,100.0,0.2584,0.4413,0.8013,0.2231,0.1211,0.1776,0.3688
motion_energy_min_s21_e81,min,2214,61.0,99.0,0.2629,0.4286,0.8098,0.2271,0.1161,0.1722,0.3681
acc_jerk_max_s9_e21,max,2214,59.5,93.0,0.2154,0.4246,0.8473,0.2252,0.1417,0.1287,0.3663
transition_energy_max_s21_e51,max,2214,64.0,99.0,0.2087,0.411,0.8112,0.2824,0.1087,0.1457,0.3656
pca_velocity_min_s21_e81,min,2214,59.0,99.0,0.2475,0.4395,0.8103,0.2032,0.1047,0.1754,0.365
transition_energy_max_s51_e21,max,2214,65.0,96.4,0.2069,0.3866,0.8306,0.2612,0.0953,0.109,0.3594
transition_energy_max_s9_e51,max,2214,63.0,97.0,0.2105,0.4042,0.8229,0.229,0.1409,0.1414,0.3532
acc_jerk_max_s21_e21,max,2214,65.0,96.4,0.1942,0.3803,0.827,0.2649,0.1027,0.1546,0.3524
gyro_jerk_max_s21_e81,max,2214,64.5,100.0,0.1924,0.378,0.8049,0.2606,0.0747,0.1379,0.3489
acc_magnitude_min_s51,min,2214,65.0,99.0,0.2005,0.3889,0.8166,0.2366,0.0957,0.1532,0.348
motion_energy_min_s51_e81,min,2214,64.0,102.0,0.2502,0.4097,0.7909,0.1833,0.1252,0.1797,0.3455
gyro_jerk_max_s9_e81,max,2214,68.0,102.0,0.1893,0.369,0.7855,0.2708,0.0965,0.1226,0.3439
acc_jerk_max_s51_e21,max,2214,68.0,97.0,0.1811,0.3631,0.8338,0.2443,0.1036,0.1343,0.3405
